sodium benzoate	natriumbenzoat
askorbinsyre	ascorbinsyre
food colouring	farvestof
betakarotin	betacaroten
exclamation mark	udråbstegn
virtual	virtuel
dopamine	dopamin
Mark	Markus
Scotland	Skotland
Reuben	Ruben
bear	bjørn
dragée	dragé
harbour	havn
climate	klima
request	bøn
cane	stok
dark	mørk
otter	odder
well	godt
galosh	galoche
pharmacy	apotek
small	bygd
compote	kompot
suitcase	kuffert
trader	handler
week	uge
postcard	postkort
seasick	søsyg
fee	gebyr
siblings	søskende
masculine	maskulin
tractor	traktor
Jeannette	Jeanette
bizarre	bizar
beat	sparto
contemporary	samtidig
silage	ensilage
trumpet	trompet
med	børn
sin	synd
fatherland	fædreland
clarinet	klarinet
musical instrument	musikinstrument
flute	fløjte
drum	tromme
trombone	basun
Adelaide	Ida
vertical	vertikal
weave	væve
date	d.
booze	sprut
noun	substantiv
recommend	anbefale
four	firer
crowbar	koben
jemmy	brækjern
land mine	landmine
gospel	evangelium
turkey	kalkun
retelling	referat
bromine	brom
knee	knæ
nail	negl
sheath	skede
shake	rokke
prostitute	prostituere
rudder	ror
quarter	kvartal
mammoth	mammut
Asia	Asien
kiosk	automat
toot	tutte
ford	vadested
experienced	erfaren
cup	pokal
record	rekord
antepenultimate	Æ
communist	kommunist
concrete	konkret
consul	konsul
contact	kontakt
continental	kontinental
control	kontrol
crane	kran
creditor	kreditor
transitive	transitiv
intransitive	intransitiv
coupon	kupon
course	kurs
send	sende
epithet	epitet
parrot	papegøje
feminine	feminin
lab	laborant
leksikoner	leksika
associate professor	lektor
jump	springe
-less	-løs
-ous	-øs
titrate	titrator
spectrum	spektrum
sapphire	safir
Nikolaus	Claus
monologue	monolog
subtrahér	subtrahere
huge	kraftidiot
herder	hyrde
philosophy	filosofi
Jeanette	Jeannette
photography	fotografi
larva	larve
antenna	antenne
halo	glorie
tragedy	tragedie
rat	rotte
currency	valuta
tarragon	estragon
finely	fint
lamp	lampe
folder	mappe
very	selve
Fury	furie
swell	bugne
battery	batteri
despotism	despoti
sociology	sociologi
introduce	introducere
usury	åger
usurer	ågerkarl
dermatology	dermatologi
school	stime
damp	klam
shot	skud
school	skole
peach	fersken
roar	brøl
Marsala	marsala
zinc	zink
cactus	kaktus
grey	grå
portable	bærbar
most	flest
mix	blande
upsilon	ypsilon
salmon	laks
lose	miste
astrology	astrologi
jasper	jaspis
brave	modig
jealous	jaloux
colon	kolon
autonomy	autonomi
claw	klo
nightfall	skumring
orgy	orgie
red	rød
physicist	fysiker
musician	musiker
Joseph	Josef
Samoa	Amerikansk Samoa
semifinal	semifinale
nomad	nomade
Saxony	Sachsen
eczema	eksem
tower	tårn
overbite	overbid
Assyriology	assyriologi
pathology	patologi
Zealand	Sjælland
Elisabeth	Lilly
profitable	rentabel
colossus	kolos
unit	alen
mean	mene
yum	mums
Pentecost	pinse
yearly	årlig
motive	motiv
