hatred	dumot
bleed	dumugo
attend	dumugok
stick	dumukot
pause	dumulog
guest	dumuluaw
audience	dumulugok
alien	dumuluong
harbor	dumungka
natural resources	dunang manggad
convention	dungan
temple	dungandungan
rain cats and dogs	dungdung
bigwig	dungganon
harbor	dungkaan
firewood	dungkul
honor	dungog
firewood	dunkul
decayed	dunot
crush	dunoton
place	duog
duplicate	duplikado
breeze	dupoy
earthly	dutan-on
patrimony	dutang panublion
cradle	duyan
swing	duyanon
inclination	duyog
dugong	duyong
janitor	dyanitor
gospel	ebanhelyo
education	edukasyon
example	ehemplo
exercise	ehersisyo
eclipse	eklipse
test	eksamen
election	eleksyon
electricity	elektrisidad
elephant	elepante
herpes	empeine
magical	enkantado
attendant	enpermera
essence	esensya
scandal	eskandalo
brush	eskoba
sculptor	eskultor
square	eskwala
mirror	espeho
Holy Ghost	Espiritu Santo
pupil	estudyante
evening	gab-i
pull	gabut
ignorant	gago
clatter	gahud
raincloud	gal-um
scythe	galab
grind	galing
grinder	galingan
cracker	galyetas
weed	gamhon
use	gamit
conflict	gamo
velvet	gamosa
root	gamot
door	ganhaan
gander	gansa
crochet hook	gansilyo
attract	ganyat
cut down	gapas
garage	garahe
chickpea	garbanso
filth	garuk
milk	gatasan
firewood	gatong
branch	sanga
window	gawahan
dangle	gaway
starch	gawgaw
conduct	gawi
snow pea	gesantes
guide	gia
junction	gibungan
junction	gibwangan
always	gihapon
origin	gikan
cut	gikas
gingham	ginggon
beginning	gingikanan
domain	ginharian
breath	ginhawa
trachea	ginhawaan
dominion	ginsakpan
elementary	ginsugoran
center	gintung-an
sir	ginuo
interlude	ginutlan
broken	gipak
bake	gisa
rend	gisi
crack	gision
follow up	godgod
grace	grasya
gratuity	gratipikasyon
faucet	gripo
crew	grumete
disrupt	gub-on
brigade	guban
mature	gulang
cast	gumulua
streak	guray
stripe	guray-guray
rib	gusok
tight	gutok
famished	gutom
drag	guyod
ant	guyum
gloves	gwantes
southwest monsoon	habagat
inflamed	habal
loosen	habok
