copper	ϧⲁⲗⲕⲓⲛ
Serapis	ⲥⲁⲣⲁⲡⲓⲱⲛ
Olympus	ⲟⲗⲩⲙⲡⲟⲥ
pond	ⲃⲉⲣϭⲱⲧ
god	ⲑⲉⲟⲥ
Isis	ⲉⲥⲟⲩⲏⲣⲉ
Tawaret	ⲑⲟⲩⲏⲣⲓ
Horus	ϩⲁⲣⲙⲁϣⲓ
Sekhmet	ϣⲟϣⲙⲓ
Zeus Ammon	ⲍⲉⲩⲥⲁⲙⲙⲱⲛ
Hermes	ϩⲉⲣⲙⲁⲛⲟⲩⲡ
Dionysus	ⲧⲁⲩⲣⲟⲥ
feces	ϩⲟⲥ
Tyche	ⲧⲩⲭⲏ
epithet	ⲛⲉⲧⲟ
walk	ⲙⲟⲟϣⲉ
walk	ϩⲉ
Anhur	ⲟⲛⲟⲩⲣⲓⲥ
cup	ⲁⲡⲁⲧ
Thoth	ⲑⲟⲟⲩⲧ
Chimera	ⲭⲓⲙⲁⲣⲣⲁⲓⲥ
commander	ⲥⲧⲣⲁⲧⲏⲅⲟⲥ
Egyptian god	ⲃⲏⲥⲁ
Thoth	ⲑⲱⲧⲑ
senate	ⲥⲩⲛⲕⲗⲏⲧⲟⲥ
Heracles	ⲓⲉⲣⲁⲕⲗⲁⲥ
town	ⲭⲱⲣⲓⲟⲛ
Tawaret	ⲧⲟⲩⲏⲣⲉ
crocus	ⲕⲣⲟⲕⲟⲥ
epithet	ⲁⲗⲉⲝⲓⲕⲁⲕⲱⲥ
Chrysaor	ⲭⲣⲩⲥⲁⲱⲣ
god Nefertum	ⲛⲉϥⲑⲏⲙ
ancient Greek politician	ⲡⲉⲣⲓⲕⲗⲁⲥ
Lageion	ⲗⲁⲅⲉⲓⲟⲛ
granary	ⲥⲏⲓⲛⲓ
Pharos	ⲫⲁⲣⲉϩ
Parthenon	ⲡⲁⲣⲑⲉⲛⲱⲛ
altar	ⲑⲩⲥⲓⲁⲥⲧⲏⲣⲓⲟⲛ
theater	ⲑⲉⲁⲧⲣⲟⲛ
sail	ⲡⲗⲉⲁ
Turkey	ⲕⲓⲗⲓⲕⲓⲁ
Diocletian	ⲇⲓⲟⲕⲗⲏϯⲁⲛⲟⲥ
Caesarea	ⲕⲁⲓⲥⲁⲣⲓⲁ
carpet	ⲕⲟⲩⲫⲁⲧ
watchman	ⲫⲁϯⲟⲩⲉⲣϣⲓ
beauty	ⲙⲛⲧⲥⲁⲉⲓⲉ
embalmer	ⲣⲉϥⲕⲱⲥ
may it happen	ⲅⲉⲛⲟⲓⲧⲟ
Mesopotamia	ⲙⲉⲥⲁⲡⲟⲇⲁⲙⲓⲁ
Media	ⲙⲏⲇⲟⲥ
preacher	ⲕⲏⲣⲩⲝ
pagan priest	ϩⲟⲛⲧ
Pontius Pilate	ⲡⲓⲗⲁⲧⲟⲥ
Dionysus	ⲇⲓⲟⲛⲏⲥⲟⲥ
roman	ⲧⲣⲁⲓⲁⲛⲟⲥ
Serapis	ⲥⲁⲣⲁⲡⲓⲟⲛ
praetorium	ⲡⲣⲁⲓⲧⲱⲣⲓⲟⲛ
Mithras	ⲙⲓⲑⲣⲁⲥ
Severium	ⲥⲉⲃⲏⲣⲓⲟⲛ
unconquered	ⲁⲧϭⲱⲧⲡ
young man	ⲛⲉⲁⲛⲓⲥⲕⲟⲥ
Byzantine Empire	ⲃⲉⲗⲓⲥⲁⲣⲁⲓⲟⲥ
king	ⲁⲗⲉⲝⲁⲛⲇⲣⲟⲥ ⲡⲟ
Capricorn	ⲙⲉⲛⲇⲏⲥ
stade	ⲥⲧⲁⲇⲓⲟⲛ
father	ⲡⲁⲧⲣⲟⲥ
monastery	ϩⲉⲛⲉⲉⲧⲉ
Adonis	ⲁⲇⲱⲛⲓⲥ
Persephone	ⲡⲉⲣⲥⲉⲫⲟⲛⲏ
chariot	ⲃⲣϭⲟⲟⲩⲧ
pond	ⲃⲉⲣϭⲟⲟⲩⲧ
benefactor	ⲉⲩⲉⲣⲅⲉⲧⲏⲥ
Word	ⲗⲟⲅⲟⲥ
Brahmin	ⲃⲣⲁⲭⲙⲁⲛⲏⲥ
harbor	ⲉⲙⲡⲣⲱ
Gaia	ⲅⲏ
Pan	ⲡⲁⲛ
Nilus	ⲛⲉⲓⲗⲟⲥ
spring	ⲉⲁⲣ
word	ϣⲉϫⲓ
money	ⲛⲟⲩϥ
rose	ⲟⲩⲏⲗⲧ
woman	ⲥⲓⲙⲓ
woman	ⲥⲓⲙⲉⲓ
human	ϩⲁⲟⲩⲧ
laurel	ⲇⲁϥⲛⲏⲥ
Hathor	ϩⲁⲑⲱⲗ
February	ⲡⲁⲁⲡⲓ
August	ⲡⲁⲣⲙⲟⲩⲧⲓ
keep	ⲁⲗⲉϩ
human	ϩⲁⲩⲧ
