messenger	ܐܝܙܓܕܐ
messenger	ܐܝܙܓܕܘܬܐ
gazelle	ܛܒܝܐ
noon	ܛܗܪܐ
good	ܛܘܒܐ
example	ܛܘܦܣܐ
spleen	ܛܚܠܐ
tiger	ܛܝܓܪܝܣ
mud	ܛܝܢܐ
shade	ܛܠܠܐ
shadow	ܛܠܢܝܬܐ
zeal	ܛܢܢܐ
fingernail	ܛܦܪܐ
idol	ܦܬܟܪܐ
earth	ܝܒܫܐ
load	ܝܓܪܐ
Judean	ܝܗܘܕܝܐ
Judean	ܝܗܘܕܝܬܐ
day	ܝܘܡܐ
growler	ܢܥܘܪܬܐ
growler	ܢܥܘܪܐ
horseshoe	ܢܥܠܐ
today	ܝܘܡܢܐ
dove	ܝܘܢܐ
miscarriage	ܝܚܛܐ
childbirth	ܝܠܝܕܘܬܐ
sea	ܝܡܐ
lakelet	ܝܡܬܘܢܝܬܐ
right	ܝܡܝܢܐ
left	ܣܡܠܐ
jasmine	ܝܣܡܐ
care	ܝܨܝܦܘܬܐ
conflagration	ܝܩܕܬܐ
weight	ܝܩܝܪܘܬܐ
weight	ܝܩܪܐ
jackal	ܝܪܘܪܐ
nun	ܢ
month	ܝܪܚܐ
herb	ܝܪܩܐ
heir	ܝܪܬܐ
inheritance	ܝܪܬܘܬܐ
jasper	ܝܫܦܐ
existence	ܝܬܐ
suffering	ܟܐܒܐ
liver	ܟܒܕܐ
sulfur	ܟܒܪܝܬܐ
beth	ܒ
aleph	ܐ
gamal	ܓ
daleth	ܕ
he	ܗ
waw	ܘ
zayn	ܙ
heth	ܚ
yodh	ܝ
kaph	ܟ
lamed	ܠ
meem	ܡ
samekh	ܣ
Syriac	ܥ
pe	ܦ
sadhe	ܨ
qoph	ܩ
resh	ܪ
shin	ܫ
taw	ܬ
teth	ܛ
priest	ܟܗܢܐ
priesthood	ܟܗܢܘܬܐ
spy	ܓܫܘܫܐ
spying	ܓܫܘܫܘܬܐ
mule	ܟܘܕܢܝܐ
mule	ܟܘܕܢܬܐ
celestial body	ܟܘܟܒܐ
asterisk	ܟܘܟܒܘܢܐ
kidney	ܟܘܠܝܬܐ
sickness	ܟܘܪܗܢܐ
seat	ܟܘܪܣܝܐ
bag	ܟܝܣܐ
rock	ܫܘܥܐ
tooth	ܟܟܐ
molar	ܥܪܫܐ
canine tooth	ܢܝܒܐ
crown	ܟܠܝܠܐ
cumin	ܟܡܘܢܐ
side	ܟܢܦܐ
dropsy	ܟܢܫ ܡܝܐ
together	ܒܟܢܫ
silver	ܟܣܦܐ
pagan	ܟܦܘܪܐ
pagan	ܟܦܘܪܬܐ
hamlet	ܟܦܪܐ
small	ܟܦܪܘܢܐ
record	ܟܪܛܝܣܐ
book	ܟܬܒܐ
affair	ܫܘܓܠܐ
booklet	ܟܬܒܘܢܐ
handwriting	ܟܬܒܬܐ
linen	ܟܬܢܐ
shoulder	ܟܬܦܐ
heart	ܠܒܐ
frankincense	ܠܒܘܢܬܐ
clothing	ܠܒܘܫܐ
brick	ܠܒܬܐ
legion	ܠܓܝܘܢܐ
vessel	ܠܓܝܢܐ
almond	ܠܘܙܐ
almond	ܫܓܕܬܐ
tablet	ܠܘܚܐ
Devil	ܠܘܝܬܢ
whisper	ܠܚܫܐ
lexicon	ܠܟܣܝܩܘܢ
night	ܠܠܝܐ
robber	ܠܣܛܐ
sound	ܠܥܙܐ
libra	ܠܝܛܪܐ
dish	ܠܩܢܐ
tongue	ܠܫܢܐ
speech	ܡܐܡܪܐ
spring	ܡܒܘܥܐ
tower	ܡܓܕܠܐ
altar	ܡܕܒܚܐ
direction	ܡܕܒܪܢܘܬܐ
leader	ܡܕܒܪܢܐ
province	ܗܘܦܪܟܝܐ
city	ܡܕܝܢܬܐ
relative	ܐܚܝܢܐ
relative	ܐܚܝܢܬܐ
relation	ܐܚܝܢܘܬܐ
knowledge	ܡܕܥܐ
burden	ܡܘܒܠܐ
gift	ܡܘܗܒܬܐ
brain	ܡܘܚܐ
dowry	ܡܗܪܐ
birth	ܡܘܠܕܐ
death	ܡܘܬܐ
seat	ܡܘܬܒܐ
hair	ܡܙܬܐ
example	ܡܚܙܝܬܐ
needle	ܡܚܛܐ
thought	ܡܚܫܒܬܐ
booth	ܡܛܠܬܐ
water	ܡܝܐ
messenger	ܡܠܐܟܐ
kingdom	ܡܠܟܘܬܐ
ruler	ܡܠܟܬܐ
learned	ܡܠܦܢܐ
learned	ܡܠܦܢܝܬܐ
word	ܡܠܬܐ
Mammon	ܡܡܘܢܐ
speech	ܡܡܠܠܐ
candlestick	ܡܢܪܬܐ
balance	ܡܣܐܬܐ
shoe	ܡܘܩܐ
sandal	ܛܠܪܐ
sandal	ܣܢܕܠܐ
footwear	ܣܐܘܢܐ
poverty	ܡܣܟܝܢܘܬܐ
footwear	ܡܣܐܢܐ
razor	ܡܣܦܪܐ
bowel	ܡܥܝܐ
fountain	ܡܥܝܢܐ
entrance	ܡܥܠܐ
entering	ܡܥܠܬܐ
departure	ܡܦܩܬܐ
midst	ܡܨܥܬܐ
height	ܡܪܘܡܐ
sickness	ܡܪܥܐ
pasturing	ܡܪܥܝܬܐ
gall bladder	ܡܪܪܬܐ
boat	ܡܪܟܒܐ
vehicle	ܡܪܟܒܬܐ
blowing	ܡܫܒܐ
oil	ܡܫܚܐ
anointed	ܡܫܝܚܐ
ܡܐܬ	ܡܐܬܐ
weight	ܡܬܩܘܠܬܐ
prophet	ܢܒܝܐ
prophetess	ܢܒܝܬܐ
chasm	ܢܐܪܒܐ
fish	ܢܘܢܐ
temple	ܢܘܣܐ
sarcophagus	ܢܘܫܐ
kiss	ܢܘܫܩܬܐ
nose	ܢܚܝܪܐ
tonsil	ܢܚܢܚܬܐ
quiet	ܢܝܚܐ
quietness	ܢܝܚܬܐ
arrow	ܓܐܪܐ
guile	ܢܟܠܐ
leopard	ܢܡܪܐ
tibia	ܢܚܘܪܬܐ
border	ܡܪܙܐ
brother-in-law	ܝܒܡܐ
sister-in-law	ܝܒܡܬܐ
mint	ܢܢܚܐ
mint	ܢܢܥܐ
mint	ܢܥܢܥ
temptation	ܢܣܝܘܢܐ
soul	ܢܦܫܐ
female	ܢܩܒܬܐ
axe	ܢܪܓܐ
narcissus	ܢܪܩܝܣ
silver	ܣܐܡܐ
oak	ܣܕܝܢܐ
grade	ܣܕܪܐ
witness	ܣܗܕܐ
witness	ܣܗܕܬܐ
testimony	ܣܗܕܘܬܐ
moon	ܣܗܪܐ
cloth	ܣܘܕܪܐ
serving	ܬܫܡܫܬܐ
branch	ܣܘܟܬܐ
helm	ܣܘܟܢܐ
understanding	ܣܘܟܠܐ
horse	ܣܘܣܬܐ
end	ܣܘܦܐ
adversary	ܣܛܢܐ
knife	ܣܟܝܢܐ
name	ܟܘܢܝܐ
fool	ܣܟܠܬܐ
pin	ܣܟܬܐ
drug	ܣܡܐ
bush	ܣܢܝܐ
ship	ܣܦܝܢܬܐ
ark	ܟܘܝܠܐ
sailor	ܣܦܢܐ
sword	ܣܦܣܝܪܐ
lip	ܣܦܬܐ
sackcloth	ܣܩܐ
crab	ܣܪܛܢܐ
winter	ܣܬܘܐ
service	ܥܒܕܘܬܐ
moment	ܥܕܢܐ
congregation	ܥܕܬܐ
bosom	ܥܘܒܐ
energy	ܥܘܙܐ
toddler	ܫܒܪܬܐ
riches	ܥܘܬܪܐ
goat	ܥܙܐ
goat	ܬܝܫܐ
