statement	word
planet	tungol
rust	rusten
pour	helden
lunch	dyner
span	spanne
roof	rof
ramsons	ramson
dream	sweven
Samson	Sampson
keen	kene
tenth	disme
groaning	gron
sheaf	scheef
narcotics	nercotikes
diminutive	pety
comparative	-more
childishly	childly
evenhead	evenhood
Jesus	Crist
had	hadde
cotton	coton
tollkeeper	toller
bereave	belanden
bag	walet
stakes	staken
iron	iren
vixen	fixen
stack	stak
locust	locuste
crime	forfait
bar	taverne
care	bicaren
yogh	ȝ
barred	ybarred
bathed	ybathed
bedded	ybedded
begun	ybegunne
blamed	yblamed
year	yeer
April	Aprill
valley	clough
hammer	hameren
happen	happenen
sempiternal	sempiterne
Geoffrey	Geffrey
refuge	scheld
demon	þurs
provide	feden
nourishment	fode
hostess	hostesse
track	tracen
library	librarie
guard dog	curre
bear	beren
slate	sclate
lettrure	letterure
ascendant	mountant
recuperation	recoverer
generation	akennednesse
loose	untressed
knead	kneden
poison	dwalen
verse	versicle
birchwood	birchen
consecration	hading
fermented	therf
beauty	pulcritude
tax	taske
child	gerle
bold	bolde
vassal	homager
shove	schoven
sound	soun
fruit	pome
wankill	wankel
hagiography	legende
fabric	canevas
penis	ters
nor	nother
bastard	avetrol
madness	derverye
wife	matrone
pace	paas
Commiphora myrrha	mirre
Anethum graveolens	dile
chapel	oratorie
town	toun
fifth	fifte
various span	stounde
wool	wolle
patron saint	patronesse
piglet	pigge
spleen	milte
historian	historier
tear	renden
lack	wanten
move	faren
felt	felten
conundrum	probleme
command	heste
barrel	barel
lint	lynet
king	erle
sapphire	saphir
quarrel	flyt
hit	knappen
staff	staf
verse	verset
herring	hering
go	trynen
scoute	schuit
close in	pennen
lighthouse	beken
leave	balken
trap	trappe
short	schort
favourable	towardly
packer	pakker
fork	forke
pressure	twisten
ride	riden
fowl	poleyn
hent	hente
poor	povre
end	enden
maggot	magot
while	stound
syons	syon
siouns	sioun
alack	weylawey
dove	douve
hasty	rakel
seldom	seldomly
marshy	fenny
why	forwhy
cut	kerven
vair	veir
command	hoten
