bialy	ביאַלי
valley	טאָל
Ashkenazi	אַשכּנזי
Nazism	נאַציזם
shoe	שוך
whiskey	וויסקיי
bottle	פֿלאַש
Jesus	ישו
shoulder	אַקסל
porcupine	שטעכל־חזיר
ice cream	אײַזקרעם
shofar	שופֿר
suspenders	שלייקעס
lemon	זיצטרין
taxi	טאַקסי
radio	ראַדיאָ
bicycle	ראָווער
bicycle	ביציקל
bicycle	וועלאָסיפּעד
bicycle	ביציקלעט
song	ליד
chin	גאָמבע
ineffectual	שלימיל
penis	פּאָץ
crazy	משוגע
twelve	צוועלף
Mercury	מערקור
end	סוף
madman	משוגענער
crazy	משוגעדיק
birdie	פֿייגעלע
sweat	שוויצן
steam bath	שוויצבאָד
bath	באָד
hat	היטל
country	מדינה
hat	הוט
bathing cap	באָדהיטל
bathing suit	באָדקאָסטום
hat	קאַפּעליוש
fox	פֿוקס
puppy	הינטעלע
sausage	וווּרשט
hot dog	וווּרשטל
pea	אַרבעס
peach	פֿערשקע
pear	באַר
apple	עפּל
gooseberry	אַגרעס
fruit	פֿרוכט
cauliflower	קאַליפֿיאָר
leaf	בלאַט
leaflet	בלעטל
American	אַמעריקאַניש
whiskey	בראָנפֿן
liquor	שנאַפּס
say	זאָגן
by	בײַטאָג
by	בײַנאַכט
morning	מאָרגן
silver	זילבער
fisherman	פֿישער
apple cider	עפּלזאַפֿט
juice	זאַפֿט
apple tree	עפּלבוים
coffee	קאַווע
פֿיש	געפֿילטע פֿיש
coffee pot	קאַוועניק
raincoat	רעגן־מאַנטל
bedroom	שלאָפֿצימער
room	צימער
bloom	בליִען
bloom	צוויט
country	לאַנד
one	איין
read	לייענען
flag	פֿאָן
fifth	פֿינפֿט
tenth	צענט
tenth	צענטל
autumn	האַרבסט
autumn	אָסיען
autumnal	האַרבסטיק
early	פֿרי
early	פֿריִיִק
winter	ווינטער
dawn	פֿרימאָרגן
spring	פֿרילינג
compatriot	לאַנדסמאַן
tomato	פּאָמידאָר
pain	שמערץ
orphan	יתום
school	שולע
shul	שול
twin	צווילינג
matzo	מצה
chair	שטול
chair	בענקל
small	קליין
hell	גיהנום
spirit	גײַסט
spiritual	גײַסטיק
account	קאָנטע
nose	שנאָז
nose	נאָז
lightning	בליץ
new	נײַ
linguistic	שפּראַכיק
-y	־יק
push	שטופּן
push	שטופּ
guard	שמירה
thank you	אַ דאַנק
thank you	אַ דאַנק דיר
thank you very much	אַ שיינעם דאַנק
goose	גאַנדז
same to you	גם־אתּם
וויי	וויי איז מיר
וויי	וויי איז צו מיר
ווינד	ווינד איז מיר
woe is me	אַ בראָך איז מיר
woe is me	אַ קלאָג איז מיר
gosling	גענדזל
knife	מעסער
ice	אײַז
icy	אײַזיק
Arctic Ocean	אײַז־ים
Atlantic	אַטלאַנטיש
fork	גאָפּל
silverware	גאָפּל־לעפֿל
cream	קרעם
hedgehog	שטעכלער
gold	גאָלד
golden	גאָלדן
crack	בראָך
pain	וויי
gentile	גוייִש
beggar	שנאָרער
Scotland	שאָטלאַנד
thirst	דאָרשט
orange	מאַראַנץ
pink	ראָזעווע
pink	ראָזע
שבת	שבת גוי
meat	פֿלייש
fleischig	פֿליישיק
-ish	־יש
peppery	פֿעפֿערדיק
child prodigy	עילוי
split	פּלאַצן
place	פּלאַץ
smith	שמיד
sledgehammer	שמידהאַמער
hammer	האַמער
doctor	דאָקטאָר
doctor	דאָקטער
rosy	ראָזיק
lament	קלאָג
to	צו
time	צײַט
soldier	זעלנער
provisional	צײַטווײַליק
tense	צײַטפֿאָרמע
soldier	סאָלדאַט
while	אַ צײַט
overnight	איבערנאַכטיק
periodical	צײַטשריפֿט
writing	שריפֿט
France	פֿראַנקרײַך
buy	קויפֿן
איבער	איבערן
writer	שריפֿטשטעלער
written	שריפֿטלעך
overturn	איבערקערן
overly	איבעריקס
above	אַריבער
אין	אינעם
smile	שמאָך
rabbi	רבֿ
yet	דאָך
idle	שמועס
talk	שמועסן
piece	שטיק
piece	שטיקל
partridge	קוראָפּאַטע
sick	קראַנק
power	קראַפֿט
vigorous	קראַפֿטיק
foreword	הקדמה
arrive	אָנקומען
explain	דערקלערן
error	גרײַז
big	גרויס
sing	זינגען
master	מײַסטער
grass	גראָז
child	קינד
dream	טרוים
pregnant	טראָגעדיק
eat	עסן
drink	טרינקען
give	געבן
lick	לעקן
dream	טרוימען
a	קיין
cheese	קעז
majority	רובֿ
Orthodox	ראַבינער
rabbi	הרבֿ
rabbi	רביצין
dragonfly	ליבעלע
shegetz	שייגעץ
skin	הויט
Hannah	חנה
muzzle	פּיסק
African	אַפֿריקאַנער
destroy	צעשטערן
manure	דרעק
matchmaker	שדכן
Jewish	חינוך
aunt	טאַנטע
state	שטאַט
villagelike	שטעטלדיק
town	שטעטל
woman	פֿרוי
wife	ווײַב
virgin	בתולה
under	אונטער
windy	ווינטיק
wind	ווינט
mother tongue	מוטער־שפּראַך
mother	מוטער
mother	מאַמע
mother	מאַמען
מאַמע	מאַמע־לשון
parents	טאַטע־מאַמע
father	פֿאָטער
father	טאַטע
sheath	שייד
vagina	מוטערשייד
vagina	וואַגינע
man	מאַן
motherly	מוטערלעך
under	דערונטער
underground railway	אונטערגרונט
undertaking	אונטערנעמונג
-ing	־ונג
take	נעמען
put	אונטערשטעלן
מוטער	מוטער־צייכן
tongue	צונג
long-winded	קילן די צונג
gift of the gab	אַ צונג אויף רעדער
gift of the gab	אַ צונג און ביינער
צונג	געשליפענע צונג
אַרויס	אַרויסשטעלן אַ צונג
put	שטעלן
on the tip of one's tongue	אויף שפּיץ צונג
hold one's tongue	בײַסן זיך די צונג
Poland	פּוילן
Polish	פּויליש
out	אַרויס
over	אויס
sleepless	שלאָפֿלאָז
-less	־לאָז
sleeplessness	שלאָפֿלאָזיקייט
housecoat	שלאָפֿראָק
swim	שווימען
at	בײַ
linguist	לינגוויסט
Germany	דײַטשלאַנד
German	יעקע
German	דײַטשיש
Yom Kippur	יום־כּיפּור
major	יום־טובֿ
birthday	געבוירן־טאָג
born	געבוירן
these days	הײַנטצוטאָג
every day	טאָג־טעגלעך
daily	טעגלעך
day	טאָגשול
astronomy	אַסטראָנאָמיע
prophet	נבֿיא
prophetess	נבֿיאה
village	דאָרף
rural	דאָרפֿיש
e-mail	בליצבריוו
e-mail	בליצבריוול
e-mail	בליצפּאָסט
lip	ליפּ
spinach	שפּינאַט
zipper	בליצשלעסל
zipper	שלעסל
queen	מלכּה
farmer	פּויער
king	־ין
childbirth	קימפּעט
newborn	קימפּעטקינד
maternity ward	קימפּעט־פּאַלאַטע
European	אייראָפּעיִש
European	אייראָפּעער
