big	be
hesitation	akanakana
denial	fandavana
denier	mpandà
dentist	mpanao nify
departed	lasana
department	sokajy
departure	fiaingana
depot	fanandronana entana
depth	halalina
derange	mamotofoto
description	visavisa
deserving	mendrika
capricious desire	aingitraingitra
despair	famoizam-po
dessert	zavatra hanina aorian'ny sakafo
share	anjara
destroyer	firintsy
destruction	fandravana
verse	andininy
deviate	manota
Devil	devoly
dial	kapila
diamond	diamondra
diaper	salaka
diarrhea	tsiririka
dice	kodiakely
dictatorship	fangejana
dictionary	diksionary
die	miamboho
different	hafahafa
difficulty	fahasarotana
dig	ahady
digest	mandevona
digestion	fandevonan-kanina
dignitary	olom-baventy
dike	fefiloha
diligence	fahazotoana
smoke	donaka
dimensions	fahalehibiazana
small	bitika
dimple	fandaingana
religion	fivavahana
dinner	girandine
dip	manitrika
diploma	mari-pankasitrahana
diplomacy	diplômasia
dipper	fanovozana
direction	fiadidian-drahara-ha
director	filoha
disagreeable	mafai-koditra
disappointment	fola-tana-manondro
disaster	mahita angano
disclose	manambara
disclosure	fanambarana
discouragement	fahakiviana
discovery	fahitam-baovao
discriminant	mpanasaraka
division	avakavaka
discussion	mikabary
disdain	anjona
practices	famono mosavy
disengage	manafaka
disgrace	henatra
disgust	mahadikidiky
disgusting	mahatofoka
dishcloth	lamba famaohana
dishonor	manala baraka
disparage	manambany
disperse	mamafy
dispersion	fielezana
display	mampiseho
angry	dikitra
disregard	mamotsifotsy
disrespect	kivalavala
dissociate	manalangalana
distance	halavirana
distraction	radarada
distribution	fizarana
district	fileovana
disturbance	hotakotaka
disunion	fikorontanana
mournful	beheza
dive	manara-miritra
divide	manefitra
divination	sikidy
divine	misikidy
diviner	mpimasy
act	antsitrika
division	mizara
divorce	fisaorana
do	manome
doctor	dokotera
doll	saribakoly
dolphin	fesotra
dominant	mahery vaika
donation	fanomezana
done well	alavorary
donkey	ampondra
door	varavarambe
doorway	tokonam-baravarana
dose	fatrany
double	fandroroa
doubt	ahanahana
dough	fesana
dove	ho aiza
dowel	kitro kely
under	ambany
downpour	vatravatra
dowry	haren-jazavavy
dozen	dozena
dragonfly	angidina
drainpipe	fantsona
drape	misampina
draw	antsapaka
drawer	vatasarihina
dream	manonofy
drench	manditsaka
drink	manao gagaka
drinker	mpisotro
drive	mandroaka
driver	mpamily
driving	roaka
drop	midifika
dropsy	manirano
drugstore	fivarotam-panafody
drunk	gohina
dry	karankaina
dry season	main-tany
Anas melleri	angàka
duckweed	ompoadambo
dug	hadihadina
thin	fisaka
dunghill	firinga
dupe	manome voan-dambo
duplicity	fitaka
dusk	maizim-bava vilany
dwarf	mahabotry
dwell	mitoetra
dwelling	fonenana
eager	faraka
Madagascan fish eagle	ankoay
ear	sofina
earnest	marisika
earring	kavina
earthquake	horohoron-tany
earwig	amboalambokely
east	andafiatsinanana
eating	fihinanana
eccentric	hafa fiaina
ornamentation	angareso
eclipse	fanakonana
edge	amorona
edition	fanontana
editor	mpanonta
eel	amalona
effect	mahalaitra
effluence	ngorodana
serious effort	ezaka
egg	atody
cattle egret	vorompotsy
eighth	ampahavalony
elastic	lasitika
elation	hakohako
elder	zoky
elect	mifidy
election	fifidianana
electric	elektrika
electronic	elektrônika
eleven	iraika ambin'ny folo
embarrassing	fandrebirebena
embarrassment	fahasahiranana
embroidery	amboradara
attentiveness	fahamaikana
clod	bonga
emollient	fontena
employ	mampiasa
employee	mpiasa
employer	mpampiasa
empty	babangoana
camp	lasy
encouragement	fampirisihana
encroach	manao angady be lela
ending	fiafarana
enema	fanasana tsinay
sikidy	dovy
engine	milina
person	anglisy
enigma	famantatra
enjoyment	fahafaliana
enmity	halavolo
enslavement	fanandevozana
enter	mandroso
enterprise	orinasa
enthusiasm	hafaliandehibe
enthusiast	mifaifay
entrance	fidirana
entreat	miangavy
entreaty	fifonana
epilepsy	androbe
equal	ampitovina
equality	fitoviana
equator	ekoatera
equipment	fitaovana
eraser	famonoan-tsoratra
err	mandiso
skin eruption	bonobono
escape	milefa
escort	manotrona
essence	tena izy tokoa
estimate	maminavina
estrange	mamono biby
estuary	vavarano
evasion	bolila
even	ankasa
every day	andavanandro
evil	haratsiana
evolution	fivoarana
exaggeration	boriaka
exaltation	fiamboniana
exam	fandinihana
question	adina
examine	mamakafaka
examiner	mpanadina
example	lamy
excellence	fahatsarana
excitation	kitra
excrescence	foi-jaza
excursion	fitsangatsanganana
please	aza fady
exercise	maka rivotra
exhaust	mandisaka
exhumation	famokarana
exit	fivoahana
hope	fanantenana
experience	mahatsapa
experiment	fitsapana
expert	fentifenty
translation	dikany
exposition	famoasana
exposure	harihary
expression	fitenenana
extend	manampatra
region	faritra
exterior	ivelany
extortion	fia zana-borona
extra	fanota
eye	fanenty
eye teeth	famakifary
eyetooth	anakandrianify
eyeball	voamaso
eyebrow	manjamaso
eyelid	hodimaso
faction	laniny
cause	anton-javatra
factory	ozinina
fade	mandazo
failsafe	miaraka amin'ny antoka
wrong	diso
fairness	fahamarinana
faithful	mpivavaka
bird of prey	bemanana
land	antorabody
false	sandoka
falsehood	lainga
falsification	hosokosoka
fame	hanoanana
familiar	mahazatra
habit	fahazarana
famine	mosary
fare	totozy
fascism	fasisma
fashion	hejaka
fashionable	maoderina
faster	ndaifara
fatality	fatim-balala
father-in-law	rafozana
fatherland	tanindrazana
fathom	refy
favor	manambina
favoritism	fiangarana
favour	lalam-po
fear	fahatahorana
feed	afahy
feed	mamahana
feet	fandrevo
felicity	fahasambarana
fell	mifira
felt	tsongoina
female	vaviny
feminism	fanavakavahana ara-dahivavy
thighbone	taolam-pe
fence	fanjoam-borompotsy
fertilizer	zezi-bazaha
festival	fety
festoon	fisitona
fetish	Ikelimalaza
fever	fanaviana
fiancé	fofom-bady
fiction	hagà
fidget	mijifajifa
one fifth	ampahadiminy
tree	amontana
filament	farora-dandy
fill	faralahy
filter	filitra
find	mahita
little finger	ankihikely
end	fahataperana
finishing	fahavitana
divide	efarina
fireplace	fatana
flint	afovato
firewood	kitay
hard	fafatra
fish	hazandrano
fishing rod	haranjono
fishnet	harato
fist	fetrika
make suitable	mahamety
fivepence	ilasiroa
flag	fanevamena
flake	mielakelaka
movement	dedadeda
flannel	filanelina
flap	mikopaka
flapping	kopaka
flash	helatra
flask	fongo-doha
flat	fisa-dany roa
flatter	mandangolango
flea	parapandy
fled	rifatra
flee	andosirana
flintlock	ampingaharatra
float	atsinkafona
flog	mamioka
flogging	dinaka
flood	manafotra
floodwater	ranontrambo
flounder	manao dian-omby jamba
flour	koba
flow	korianana
flower	mamelana
beach cabbage	bararaka
flu	fofoka
flying fox	fanihy
foam	mandroatra
fold	foritra
pocket	poketra
folklore	vakodrazana
folly	ahonahona
food	hanina
foot	tongotra
football	baolina kitra
footbridge	fiampitana
footprint	hitsaka
for	manafatrafatra
forage	vilona
forced labor	fanompoana
ford	fitana
foreigner	vahiny
forever	mandrakizay
forge	manefy
forgotten	afoy
fork	fitrebika
fort	rova
et cetera	etsetra
share	anjady
forty	efapolo
obstinate	bohihy
foul language	fiompana
foundation	fanambaniny
founding	fanorenana
fountain	fantsakàna
one quarter	ampahefany
falanouc	amboahaolo
fragment	bakilana
franc	iraimbilanja
frank	tso-po
fray	manakotika
free	afaka
freedom	fahafahana
freeze	mandry
young	darony
Friday	zomà
frill	filirana
fringe	ramborambo
frizz	manangita
frolic	mihinjakinjaka
front	atrika
frost	fanala
froth	mandoa vory
fruit	voankazo
fry	manendy
frying pan	lapoely
fuel	ataina
full moon	fenomanana
full stop	girigirika
pleasure	fahafinaretana
funnel	latonatra
fur	volom-biby haingo
