that	on
dog	chichiton
child	piltontli
child	conetontli
girl	ichpochtontli
man	telpochtli
boy	telpochtontli
diminutive	-pil
meat stew	nacamolli
maguey worm	meocuilin
cloth	ayatl
weapon	yaotlatquitl
craft weapons	yaotlatquichihchihua
armorer	yaotlatquichihchiuhqui
gulf	aihtectli
gate	altepetenancoyoctli
delimit	altepetenanquetza
property	tlatquitl
parent	telpocheh
ācaltica nemiliztli	acaltica nemiliztli
stem	-xoh
fatty	tlaixxoh
sea	hueyatl
huēyi ātezcatl	hueyi atezcatl
cold	cecec
water	cacahuaatl
seashore	ilhuicaatentli
bank	atentli
antler	cuacuahuitl
skin	ehuatl
rind	nochehuatl
wing	ahaztli
wing	ahaztontli
palm-leaf basket	tanahtontli
hay	mazatlacualli
bird	tototontli
beak	tototentli
bird	tototepiton
small	tepiton
mouse	quimichton
mouse	quimichpil
sentinel	quimichtin
mouse trap	quimichtlapehualli
spawn	michtetl
fire	tletontli
fire	tletepiton
fire	tletzintli
rabbit	tochtepiton
rabbit	tochconetl
smallness	tepitonyotl
trough	acaxtontli
board game	patolli
bowl	caxtepiton
broom	izquiztepiton
broom	izquiztli
smoke	popocani
smoky	pocyoh
childishness	pipillotl
pigeon	oquichhuilotl
dovecote	huilocalli
chick	huilopiltontli
chick	huiloconetl
priesthood	teopixcayotl
soothsayer	tonalpouhqui
mermaid	cihuatlacamichin
woman	cihuatepiton
parrot	cochotl
scarlet macaw	alomeh
hare	cihtontli
hare	cihtepiton
sleep	cochiztli
sleep	cochiliztli
nun	cihuateopixqui
nocturnal bird	yohualtototl
vision	yohualtetzahuitl
conch shell	cilin
woman	cihuatontli
star	citlaltontli
starry	cicitlalloh
widower	cihuamicqui
widower	icnooquichtli
widowhood	icnooquichchotl
widow	cihuamiqui
sleepy	cochmiquini
partridge	tepezolconetl
wind	tepeehecatl
bull	oquichcuacuahueh
slave	cihuatlacohtli
stew	michmolli
if only	macel
fawn	mazaconetl
deer	mazayotl
forest	cuauhtlah
forest	cuahcuauhtlah
butterfly	papalotontli
butterfly	papalotepiton
settlement	callah
locative	-tlah
mountain range	tepetlah
sand	xallah
tehtetlah	tetlah
Rocky	tehtetlah
old woman	ilamapil
old age	ilamayotl
solitary	ilamatototl
old woman	ilamaton
old woman	ilamatcatontli
zahzacatlah	zacatlah
grassland	zahzacatlah
rainbow	cozamalotl
palace	tecpancalli
gravel	xaltetlah
gravel	xaltetl
death	miquiztlacualli
missal	misal amoxtli
wind	ehēcatl
bloody	ehezzoh
urine	axixtli
latrine	axixcalli
latrine	cuitlacalli
latrine	nemanahuilcalli
chamber pot	axixcomitl
tepōleh cihuātl	tepoleh cihuatl
chamber pot	cuitlacomitl
Mexico	mexihcopa
Mexico	mexihcopahuic
-wards	-pahuic
ewe	cihuaichcatl
hello	nicca
Manzanillo	Cozcatlan
sunflower	chimalxochitl
he	yehhuatl
they	yehhuan
we	tehhuan
you	amehhuan
spicy	chilmolli
wound	chipelihuiztontli
fresh water	chipahuacatl
fresh water	yecatl
hamlet	altepemaitl
marking	altepecuaxochtli
marking	altepetepantli
townsman	altepehuah
communal land	altepetlalli
dewy	ahhuachchoh
dew	ahhuachtli
dewy	ahhuechchoh
dew	ahhuechtli
dew	yohualahhuachtli
dew	yohualahhuechtli
flower	yollohxochitl
caterpillar	zacaocuilin
caterpillar	quilocuilin
parrot	quiliton
pond	michamanalli
minter	tominchiuhqui
winter	tonalco
winter	tonallan
chili plant	tonalchilli
ointment	pahatl
hand	matepiton
hand	matontli
adze	matepoztontli
adze	matepoztli
adze	matepoztlaximaloniton
sperm	tlacaxinachtli
stew	epahuaxmolli
cook	epahuaxtli
cultivate	emillah
bean field	emilli
bean field	etlah
bean	etextli
scale	michehuatl
scale	mixxonehuatl
scale	mixxincayotl
snake egg	coatetl
fishbone	michomitl
fishbone	michahhuatl
fishhook	michcoyolli
catfish	tlacamichin
mushroom	cuauhnanacatl
woodworm	cuauhocuilin
tree leaf	cuauhizhuatl
bark	cuauhehuatl
wicker seat	cuauhicpalli
youth	telpochchotl
shard	tapalcatemalacatl
rock	tetontli
wheel	temalacatl
mountain	tepetontli
page	xoloton
servant	xolo
male servant	xolotl
slave	tlacohtontli
bird	tototapahzolli
bird	tototecaxtli
shell	ayotapalcatl
middle	ayollohco
reed bed	aacatlah
reed bed	acatlah
chick	totoconetl
dust	teuhtontli
stable	mazacalli
foam	cacahuapozonallotl
clothes moth larva	tilmahocuilin
landrace dog	tlalchichi
American badger	tlalcoyotl
foam	pozonallotl
water foam	apozonallotl
round	tepeyahualli
round	tepeololli
return	iloti
chess	cuappatolli
pigsty	pitzocalli
pigsty	coyamecalli
pig	coyametontli
pig	coyameconetl
pig	pitzoconetl
pig	coyametepiton
pig	coyametl
lard	coyamechiyahuacayotl
coyote	coyopil
coyote	coyotontli
demon	colelehtli
demon	colelectli
grave	miccapetlacalli
songbook	cuicaamatl
cricket	cuicuicaniton
book	amoxtepiton
book	amoxtontli
Inca dove	cocohton
Inca dove	cocohtli
sooty	cuichchoh
sooty	calcuichchoh
stem	-choh
childishness	coconeyotl
widow	icnocihuatl
widowhood	icnocihuayotl
intersex	cihuaoquichtli
palm grove	zoyacuauhtlah
palm grove	zoyatlah
palm tree	zoyatepiton
palm grove	zotollah
sandal	zotolcactli
stew	cueyamolli
edible viscous	cocolin
flea	tecpin
flea	tecpintlah
sauce	chilchomolli
green	chilchotl
sauce	chilhuacmolli
drink	chilcacahuatl
drink	chilloh cacahuatl
spice	chilloh
red plumage	chiltototl
chimney	tlecalli
stream	tleatoyatl
stream	atoyatontli
river	atoyatl
stream	atoyapitzactontli
river	atoyapitzactli
cultivate	ahuacamilli
acorn	ahuatomatl
acorn	ahuacuauhtomatl
oak tree	ahuacuahuitl
grove	ahuacuauhtlah
grove	ahuatlah
grove	ahahuatlah
grove	ahahuacuauhtlah
woolly caterpillar	ahuatecolotl
anthill	azcaxalli
slowly	ayaxcan
dish	caxpechtontli
orchard	xochihcualcuauhtlah
fruit tree	xochihcualcuahuitl
sacrificial victim	xochimicqui
edible larva	azcamolli
stew	quilmolli
hunting net	totomatlatl
net	matlatontli
net	matlatepiton
little finger	mahpiltontli
clay pot	chachapahtontli
clay pot	chachapahtli
bell clapper	campana yollohtli
parchment	ehuaamatl
Spanish ship	Caxtillan acaltepiton
Spanish ship	Caxtillan acaltontli
mirror	tezcatepiton
mirror	tezcatontli
artifact	tlachihualtontli
artifact	tlachiuhtontli
rake	tlazololololoniton
wormy	ocuilloh
weevil larva	ocuilton
rake	tlazololololoni
oven	tlaxcaltexcalli
oven	texcalli
ring	tlaxcalmimilyahualtontli
sexual	totomicqui
opossum	tlacuachin
immense	ixachipol
hot water	atotonilli
earwax	nacazcuihcuitlatl
wax	xicohcuitlatl
ear	cuitlacochin
candle	xicohcuitlaocotl
chandler	xicohcuitlaocochiuhqui
umbilical cord	xicmecayotl
snakeskin	coaehuatl
animal hide	mazaehuatl
skin	oceloehuatl
sheepskin	ichcaehuatl
lamb	ichcaconetl
sheep pen	ichcacalli
cotton cloak	ichcatilmahtli
shave	xima
child	tecpilconetl
member	tecpilli
offspring	tecuampiltontli
offspring	tecuanconetl
snakelet	tecuancoaconetl
snake	tecuancoatl
skin	tecuanehuatl
underworld	mictlan
groin	quexilli
pebble	atoyatetl
metal lance	tepoztopiltontli
donkey	axnoh
donkey	axnoh conetl
green bean	exotl
down	tlachcayotl
dusty	teuhtlah
snake venom	coaiztlactli
stew	totoltemolli
lining	totolteehuatl
chicken excrement	totolcuitlatl
chicken coop	totolcalli
rooster	Caxtillan huehxolotl
eggshell	totoltecahcalli
hen	Caxtillan totolin
stew	totolayotl
stew	nacaayotl
loincloth	maxtli
once	ceppa
clove	Caxtillan chilli
eye	ixtelolohtontli
wheat	Caxtillan tlaolli
star	citlalli
star	citlaltepiton
star	citlalton
ossuary	omicalli
fireplace	tlecuiltontli
tree branch	cuammaitl
lever	cuammitl
pole	cuammimiltontli
latex	olloh
ashy	nexxoh
shadow	cehualli
chia	chiyan
chia	chiyamatl
lime	tenextli
rock	tenextetl
stone	miccatetl
turquoise piece	yacaxihuitl
duckling	canauhconetontli
purslane	canauhquilitl
streambed	anantli
womb	nantontli
womb	nanyotl
tablecloth	mantelexton
tablecloth	mantelex
hut	xahcaltontli
glove	mayehuatl
bow	acalyacatl
bed sheet	cochihuaniton
ivory	tlanomitl
ivory	mazatl elefante icoatlan
fang	coatlantli
Caxtīllān tlaxcalli	Caxtillan tlaxcalli
wheat bread	trigo tlaxcalli
huēyi teōpixcātlahtoāni	hueyi teopixcatlahtoani
governor	teopixcatlahtoani
large	hueyi
papacy	hueyi teopixcatlahtohcayotl
huēyi citlālin	hueyi citlalin
huēyi mahpilli	hueyi mahpilli
greatness	hueyicayotl
saker falcon	hueyi tlohtli
huēyi cihuāpilli	hueyi cihuapilli
huēyi āltepētl	hueyi altepetl
huēyi tlahtoāni	hueyi tlahtoani
huēyi ātēntli	hueyi atentli
huēyi ānālli	hueyi analli
huēyi āehēcatl	hueyi aehecatl
war canoe	yaoacalli
Caxtīllān yāōācalli	Caxtillan yaoacalli
card game	amapatolli
paper mask	amaxayacatl
coastal lagoon	amaitl
coastal lagoon	ilhuicaamaitl
ilhuicac chāneh	ilhuicac chaneh
nine	chiucnahui
underworld	chiucnauhmictlan
milk	chichihualayotl
core	meyollohtli
architecture	calmanaliztli
wrist	maquechtli
stick	cuauhtontli
wood	cuauhhuatzalli
stick	cuauhhuatzaltontli
huēyi ātl	hueyi atl
wood	cuappantontli
ball	icpatetontli
ball	icpatetl
holy water	tlateochihualatl
water	ayoh
great-grandchild	iuctontli
tomorrow	ihciuh
poor	icnotlacualli
coarse clothing	icnotlaquemitl
orphanage	icnopilcalli
ixachin	ixachi
death	ixachim mimicqueh
five	chiuc-
seven	chicome
eight	chicueyi
six	chicuace
boat	macal
