wicked	pakkaana
worker	töönikkä
everybody	jokahiin
selfsame	sesama
crimson	aaloi
stove	kiukkaa
warmth	lämmää
workshop	masterskoi
entryway	porstaa
region	teenoo
bucket	uhluu
free	vappaa
indefinite	indefinittiin
certain	muutomanz
various	monenlaajain
anything	mikäle
whichever	kukale
whichever	kaikenlaajain
someone	kenikke
whoever	kenle
something	mikäikke
some	kukaikke
rarely	harvaa
immediately	järestä
at once	järkennää
invariable	mööhä
late	mööhää
recently	nietauno
day	päivääl
now	nykyizii
sometimes	toizinaa
today	tänäpään
often	tihhii
at night	ööl
nights	öittee
day after tomorrow	ylihoomen
matter	assiia
shame	häppiiä
broad-shouldered	lammiia
sweet	maikkia
round	pööriä
eleven	ykstoist
twelve	kakstoist
thirteen	kolttoist
fourteen	neljätoist
seventeen	seitsentoist
eighteen	kaheksantoist
nineteen	yheksäntoist
through	möita
in	mööt
opposite	vassaa
only	ainava
harpoon	arriina
inhabitant	ellääjä
vertical	hörkkä
boring	ikkäävä
flexible	nodra
so that	nii etti
so	siiz
vestibule	euksi
twenty	kakskymment
thirty	koltkymment
forty	neljäkymment
seventy	seitsenkymment
eighty	kaheksankymment
ninety	yheksänkymment
birchbark	toohi
home	kottii
home	kottoon
from	kotont
here	tääl
from	täält
rope	köyz
nail	kynz
forearm	kynzvarz
sixtieth	kuuvveezkymmenääz
only	aimastaa
at least	ainakki
perhaps	ehki
shipment	ahassoz
riddle	arvutoz
separation	erraahuz
vestibule	euz
yawn	haikutoz
heart	syän
next	enz
exercise	harjutoz
hair	hiuz
admiration	ihassoz
homestead	ikkunaluz
boredom	ikkäävyz
parting	jakkaahuz
division	jaotuz
sled	jalaz
remainder	jätöz
shed	katoz
leanness	laihuz
chatter	lörkötyz
discovery	löyvvöz
sleeping	makkaahuz
witchcraft	noijjitoz
rein	ohjaz
embroidery	omppeeloz
helper	apilain
early	aikahiin
far	etempäin
yesterday	eglelliin
insect	itikkain
double	kahellain
poor	köyhykkäin
cooling	kylmenömmiin
flue	lakiain
similar	näkköin
end	ottsain
chap	ahavojja
spacious	avvaaro
eve	aattoon
live	ellää
fishhook	onkikokka
together	yhtee
top	ottsa
chirp	ciukkia
example	ezimerkki
for example	ezimerkiks
food	rooka
answer	vasata
New Year	uuz vooz
see	nähhä
branchy	oksakaz
know	tiitää
miserable	onnetoin
comparative	-mp
hit	löövvä
nail	naagla
red-capped scaber stalk	punapääopokka
fly	kärpäin
opokka	kärpäizen opokka
walk	käyvvä
do	tehhä
drying	kuivahuz
fish	kuivakala
Sun	päivyt
tehhä	tehhä töötä
short story	jutto
hammer	vassaara
lower	laskia
go down	laskiissa
vooz	vooz-vuuvvelt
ei	eijolt
behind	perääl
behind	perält
school	škoulu
counter-	vassa-
-like	-hiin
adult	aikuhiin
oat	kagrahiin
paint	kraaska
paint	kraazata
hour	tunni
talk	läätä
Ingrian	ižora
keel	vennääen keel
antaa	antaa antiiks
soldier	sottiilaz
daughter	tyär
poet	poeetta
poetess	poeettakkoi
Friday	päädettsä
move	kulkia
each other	toin-toizen
forward	etez
earlier	enneppäi
premier	enzi-
helper	apinikka
Christmas	Joulu
headache	päätauti
runny nose	nenätauti
diarrhoea	syäntauti
diagnosis	tauvvinmääritöz
symptom	tauvvinoire
stomachache	vatsantauti
Monday	ezmessarki
Tuesday	toissarki
Wednesday	sereta
Thursday	neljääzpäivä
Saturday	suuvotta
Swedish	roottsa
Russian	venäläin
alphabet	alfavitta
brother	veljä
form	klaassa
catch	ottaa kiin
soap	muila
basin	taasi
primer	bukvari
wash	pessä
wash	pessiissä
run	joossa
protection	sooja
swim	uijua
watch	kattsoa
be	näkkyyä
south	lounat
stand	seissooa
stand	seissa
tiptoe	varpaisillaa
up	yllää
maxilla	yläsokka
down	allaa
kolkhoz	kolhoza
bed	koikka
bed	rovatti
bed	vooe
keep	pittää
hurt	obidna
olla	olla obidnaal
ewe	utoi
naked	paljaz
get used to	aattua
consonant gradation	steeppenivaihto
thence	seelt
goat	voohi
lamb	voonna
alone	yksintää
nut	päähkänä
first	ensimäin
vowel harmony	vokalagarmonia
vowel	vokala
harmony	garmonia
grade	steeppeni
adjective	laajasana
numeral	cislasana
number	cisla
pronoun	nimensihallisi
preposition	prepositia
postposition	postpositia
conjunction	sojuza
conjunction	konjunktsia
interjection	kiljahhussana
interjection	interjektsia
inflection	painutos
genitive case	genetiva
accusative case	akkusativa
inessive case	inessiva
elative case	elativa
adessive case	adessiva
exessive case	eksessiva
abessive case	abessiva
instructive case	instruktiva
comitative case	komitativa
prolative case	prolativa
horse	hepoin
bumblebee	kimalain
honey bee	mehiläin
ant	muurahain
birdie	lintuin
girlie	tytökkäin
strawberry	mancikka
bilberry	mussikka
iron	rautain
golden	kultain
stonen	kivviin
steel	teräksiin
sheet	kartain
clayen	savviin
plank	lautain
yellow	keltain
red	punain
green	rohoin
singular	yksikköforma
plural	monikkoforma
barn	tanvas
rich	kalakas
sandy	liivakas
clayey	savekas
stony	kivekäs
branched	haarikas
geminate	geminatta
repair	parentaa
fishing net	parennos
inset	syvennös
law	oikehus
acquaintanceship	tuttahus
youth	noorus
length	pittuus
height	korkehus
shortness	lyhhyys
strength	vahvus
dryness	kuivus
wide	levviä
depth	syvvyys
brave	jurma
bravery	jurmus
needle	neegla
sieve	seegla
sleigh	saahka
sovkhoz	sovhoza
right	oikial
hillock	kämärä
just	ikkee
fisherman	rьbakka
member	clena
publishing house	izdateljstva
foreword	esisana
Ingrian	inkeroin
swan	luikko
ruble	rublja
polar bear	valkia karhu
walrus	morža
Eskimo	eskimosa
mirror	speili
farmhand	trenki
equipment	nevvo
log	hersi
tongue	keeli
Ingrian	ižoran keeli
literary language	kirjakeeli
hedgehog	jožikka
beautiful	käppiä
crumbly	rappia
beautiful	korria
beautiful	naasti
beautiful	päpi
cheerful	vesselä
spring	lähe
leave	lähtiä
sheaf	lyhe
cradle	kätyt
morning	hoomus
sixth	kuuvves
tenth	kymmenäs
eleventh	ykstoist kymmenäs
twelfth	kakstoist kymmenäs
thirteenth	kolttoist kymmenäs
fourteenth	neljätoist kymmenäs
fifteen	viistoist
fifteenth	viistoist kymmenäs
sixteen	kuustoist
sixteenth	kuustoist kymmenäs
seventeenth	seitsentoist kymmenäs
eighteenth	kaheksantoist kymmenäs
nineteenth	yheksäntoist kymmenäs
-kymmenännä	-kymment
twentieth	kakskymmenäs
thirtieth	kolmaskymmenäs
fortieth	neljäskymmenäs
fifty	viiskymment
fiftieth	viijeskymmenäs
sixty	kuuskymment
sixtieth	kuuvveskymmenäs
seventieth	seitsemäskymmenäs
eightieth	kaheksaskymmenäs
ninetieth	yheksäskymmenäs
hundredth	sattais
urbanite	linnalain
Finn	soomalain
both	kumpain
both	kumpainki
compass	kumpassi
scale	masštaaba
pond	pruuda
power station	elektrostantsia
geomap	geografiakartta
with	kerallee
out	sisest
like	niin ku
a few	monikas
one	meikäläin
local	sikäläin
local	täkäläin
what	miltain
similar	samanlaajain
special	erityin
write	kirjuttaa
both	molommat
ask	kyssyä
read	lukkia
clean up	ilata
eat	söövvä
sell	möövvä
shared	yhtein
pencil	krantossi
notebook	tetretti
chair	stooli
say	sannoa
nursery	jaslit
tere	tere päivää
good day	hyvvää päivää
play	tiukkaa
worker	tööläin
carry	veejä
seeder	sejalka
news	uutiin
mention	mainia
seine	nootta
