where	may
jaguar	uturunku
tongue	qallu
abstract	llulmiy
lie	llullay
untrue	llulla
mislead	pallquy
rub	thupay
crowd	ch'unku
win	mayway
evasion	ayqi
lucky	ataw
money	qullqi
milk	ch'away
wide	chaway
poverty	muchuy
defense	amachay
not yet	manaraq
dawn	rankhi
thigh	chanka
become	t'ikray
rear	t'ikra
hang	warkuy
cook	yanuy
hunger	yarqay
thirsty	yarqa
prepare	allichay
correct	allichiy
go	tiyamuy
hollow	p'uru
feather	phuru
long	suyru
virtual	rikch'ay
immediately	kunallan
advice	kunay
bundle	q'ipi
carry	q'ipiy
soft	hak'u
accountant	khipukamayuq
responsible	kamayuq
rumble	kunununuy
melt	unuyay
cheery	chikchi
hail	chikchiy
snow	rit'i
snow	rit'iy
jar	p'uyñu
more	aswan
surround	kanchay
light	k'ancha
comb	ñaqch'ay
comb	ñaqch'a
cleaning	pichay
build	pirqay
wall	pirqa
sprout	qawa
honor	yupaychay
kneel	ullpukuy
flour	ullpu
heat up	qunuy
close	kaylla
burn	ninay
campfire	kaña
power	kanay
shining	lliphlliy
reflected	lliphlli
adverse	qhincha
bring	qhinchachay
build	qinchay
common	khuska
place	kuska
sad	llaki
forecast	watuy
biggest	hatuchaq
skinny	raphi
wing	raphra
root	saphi
sprout	saphiy
celebration	raymi
toast	watyay
baked potato	watya
small	achiwa
shaded	llanthu
quiet	upallay
chubby	p'uti
work	qaray
disrobe	q'aray
naked	q'ara
be sick	qishyay
salvation	qispichiy
track	saruy
foundation	takay
plough	yapuy
remembrance	yarpay
rise	yarquy
seek	ashiy
loss	chinka
punch	kutay
read	liyiy
graze	michiy
pressure	ñit'iy
untie	paskay
expression	rikuchiy
fleece	rutuy
sit	takuy
salty	millu
ventilate	wayrachiy
blast furnace	wayrachina
seat	tiyana
boiling	t'impuy
boil	t'impuchiy
fast	utqay
hustle	utqaychay
upper	wichay
origin	yuriy
stop	alqay
arrange	allinchay
amusement	awsay
go	ayway
raise	huqariy
urination	ispay
urinate	ispapakuy
urine	ispa
grasp	chariy
kick	hayt'a
elevation	huqari
fall	ishkiy
knot	iskiy
knot	khipuy
bite	khachuy
bite	khachu
twist	kachuy
open	kichay
try	malliy
lickspittle	llaqwaq
arm	marq'a
swallow	millp'uy
rite	hayway
adapt	amañay
communal	mink'ay
service	mink'a
division	rak'iy
part	rak'i
sale	rantikuy
satisfaction	saksay
insertion	sat'iy
rain	tamyay
rain	tamya
be	ikmayay
widow	ikma
assemble	tantay
old	thanta
become	thantay
make	t'antay
laundry	t'aqsay
collapse	thuñiy
abyss	thuñi
night	tutay
enjoy	achiy
sneeze	achhiy
dam	hark'a
victory	llalli
motorcycle	mutur phirunku
fertilize	wanuy
weight	llasay
weight	llasa
hungry	mallay
tire	pisipay
narrow	pisiy
squeeze	q'apiy
handful	q'api
burn	ruphachiy
braid	simp'ay
braid	simp'a
belly	pach'a
harvest	tipiy
tear off	t'ipiy
very	t'ipi
bridge	chaka
subordinate clause	-pti
bird	pisqu
also	utaq
woven	lliklla
intrative	-pura
male	qhari
tropical	yunka
