he	de
COVID-19	bwtbingh binghdoeg gvanhcang yienghmoq
self-colony	banfunghgen bancizminzdi sevei
that	haenx
here	gizneix
there	gizhaenx
joke	lexhe
traditional handloom	congzrok
anus	conghhaex
earhole	conghrwz
guest	bouxhek
Han Chinese	Bouxhek
local dialect	vahdoj
news	siusik
Zhuang	Bouxdoj
weak	neux
store	diemq
competition	doxdax
mythological bird	fungh
Miao	Bouxmiuz
yinzminz	yinzminz-veijyenzvei
for	vih
motherland	guekcoj
liberate	gaijfang
glucose	buzdauzdangz
Islam	Yihswhlanzgyau
Buddhism	Fuzgyau
carbon dioxide	wyangjvadan
loosen	hoiz
take	aeu
vaccine	yizmyauz
situation	yizcingz
open up	dajdoeng
last	gatsat
woman	mehmbwk
lotus	ngaeux
badminton	yijmauzgiuz
xiangqi	geizciengh
Chinese checkers	geizdiuq
Thai	Bouxdaez
Yao	Bouxmienh
mandarin duck	roegyaemyieng
penguin	gingoz
