dog	qimmeq
alive	uumassuseq
alive	uumassusilik
monkey	aapakaaq
colony	nunasiaq
colonialism	nunasiaqarneq
wash clothes	errorsivoq
wash clothes	errorpaa
do the dishes	erruivoq
therefore	taamaattumik
thus	taamaappoq
entire	-vip
spouse	aappaq
married person	aappalik
shaking	sajunneq
East Greenland	Tunu
Greenland cod	uugaq
clearing	arsamik peersineq
defensive midfielder	qeqqani kinguarsimanerusoq
direct free kick	toqqaannartumik isertitseriarsinnaaneq
referee	dommeri
accelerant	akoq sukkatsisaat
accelerant	akoq ikummarissaat
adapter	sarfamut nuutsissut
veterinarian	uumasunut nakorsaq
coroner	eqqartuussinermi nakorsaq
judge	eqqartuussisoq
gynaecologist	arnat nappaataannut nakorsaq
pediatrician	meeqqanut nakorsaq
dentist	kigutinik nakorsaq
tired	-katag
direction	-pasig
good	-ssaqqig
guenon	aapakaatsiaq
only	-tuaq
lamb	savaaraq
goat	savaasaq
kid	savaasaaraq
fry	erniaq
anthropologist	inunnik misissuisoq
French	tuloruseq
work	suliaq
work	sulivoq
workplace	suliffik
workplace	sullivik
company	suliffeqarfik
well	ajunngilaq
see	takuaa
these	tamakku
tell	oqarfigaa
ladybug	aamanganiaq
dolphin	aarluarsuk
crab spider	aasiak assagiarsungasoq
orbweaver	aasiak masarsummiu
crab	assagiarsuk
-toq	-soq
swamp	masarsuk
coast	sineriak
wolf spider	aasiak sineriammiu
spot	toorneq
orbweaver	aasiak sisamanik toornilik
spider	aasiak sissarmiu
sea butterfly	aataaliannguaq
harp seal	aataaq
shade	alanngoq
lanternfish	alanngialasoq
shifting light	alanngialavoq
sailray	allernaq tarraleqisaaq
ray	tarraleqisaaq
sailray	kamillartartoq
bootjack	kamillartaat
skate	eqalussuup nulia
ray	allernaaraq
wolf	amaroq
arm	taleq
squid	amikoq
capelin	ammassak
herring	ammassassuaq
beaked whale	anarnaq
Pluvialis apricaria	anngilik
grey plover	anngilik sissarmiu
beak	sigguk
common murre	appa sigguttooq
little auk	appaliarsuk
razorbill	apparluk
bowhead whale	arfivik
crab	assagiaq
Arctic wolf spider	avannaarsuata aasiaa
Greenland	Avannaa
north wind	avannaq
lemming	maajooq
lemming	narlumukaaq
polar cod	eqalugaq
polar cod	eqalugaasaq
claw	kukik
animal	kukilik
spiny dogfish	eqalussuaq kukilik
flense	pilappoq
saw	pilattuut
sawfish	eqalussuaq pilattuutitalik
basking shark	eqalussuarnaq
ill	eqalussuannguvoq
porbeagle	eqalussuaq qaamasoq
white wagtail	eqqoqqortooq
posterior	eqqoq
sea urchin	eqqusaq
copepods	illeraq
Mya arenaria	imaneq
sculpin	kanajoq
arctic tern	imeqqutaalaq
grenadier	imminnguaq
scale	tattak
small intestine	inalugaq
sea cucumber	inalugalik
large	-qqortooq
large	-qqortu
gnat	ippernaq
mosquito larva	eqisaavaq
mosquito net	ippernaaqqut
plagued	ippeqivoq
mosquito larva	ippernap eqisaavaa
swarm	niviorpaa
brood	niviorpoq
chironomid	ippernaq niviortartoq
larva	ippernap niviortartup eqisaavaa
hover	agiorpoq
chironomid	ippernaq agiortoq
skin bag	ippiarsuk
scalding hot	uunarpoq
