year	ᠠᠨᡳᠶᠠ
nimenggi	ᠨᡳᠮᡝᠩᡤᡳ
malanggū	ᠮᠠᠯᠠᠩᡤᡡ
malanggv	malanggū
sahaliyan malanggū	ᠰᠠᡥᠠᠯᡳᠶᠠᠨ ᠮᠠᠯᠠᠩᡤᡡ
sahaliyan malanggv	sahaliyan malanggū
malanggū nimenggi	ᠮᠠᠯᠠᠩᡤᡡ ᠨᡳᠮᡝᠩᡤᡳ
malanggv nimenggi	malanggū nimenggi
malanggū misun	ᠮᠠᠯᠠᠩᡤᡡ ᠮᡳᠰᡠᠨ
malanggv misun	malanggū misun
sunja hacin i jeku	ᠰᡠᠨᠵᠠ ᡥᠠᠴᡳᠨ ᠊ᡞ ᠵᡝᡴᡠ
jeku	ᠵᡝᡴᡠ
talkiyan	ᡨ᠋ᠠᠯᡴᡳᠶᠠᠨ
bodokū	ᠪᠣᡩ᠋ᠣᡴᡡ
bodokv	bodokū
jakūn biyai tofohon	ᠵᠠᡴᡡᠨ ᠪᡳᠶᠠᡳ ᡨ᠋ᠣᡶ᠋ᠣᡥᠣᠨ
jakvn biyai tofohon	jakūn biyai tofohon
biyangga inenggi	ᠪᡳᠶᠠᠩᡤᠠ ᡳᠨᡝᠩᡤᡳ
jilan muke	ᠵᡳᠯᠠᠨ ᠮᡠᡴᡝ
hūwai ho bira	ᡥᡡᠸᠠᡳ ᡥᠣ ᠪᡳᡵᠠ
hvwai ho bira	hūwai ho bira
duin bilten	ᡩ᠋ᡠ᠋ᡳ᠌ᠨ ᠪᡳᠯᡨᡝᠨ
uyan lala	ᡠᠶᠠᠨ ᠯᠠᠯᠠ
booi buhū	ᠪᠣᠣᡳ ᠪᡠᡥᡡ
booi buhv	booi buhū
buhū	ᠪᡠᡥᡡ
buhv	buhū
aja jeje	ᠠᠵᠠ ᠵᡝᠵᡝ
mafa gurun	ᠮᠠᡶᠠ ᡤᡠᡵᡠᠨ
pi jio	ᡦᡳ ᠵᡳᠣ
boo nimaha	ᠪᠣᠣ ᠨᡳᠮᠠᡥᠠ
basa	ᠪᠠᠰᠠ
uyungge inenggi	ᡠᠶᡠᠩᡤᡝ ᡳᠨᡝᠩᡤᡳ
muyari	ᠮᡠᠶᠠᡵᡳ
mase muyari	ᠮᠠᠰᡝ ᠮᡠᠶᠠᡵᡳ
mase	ᠮᠠᠰᡝ
hibsu	ᡥᡳᠪᠰᡠ
master	ᡝᠵᡝᠨ
hibsu ejen	ᡥᡳᠪᠰᡠ ᡝᠵᡝᠨ
niongniyaha	ᠨᡳᠣᠩᠨᡳᠶᠠᡥᠠ
republic	ᡳᡵᡤᡝᠨ ᡤᡠᡵᡠᠨ
common people	ᡳᡵᡤᡝᠨ
broadcast	ᠶᠠᠪᡠᠪᡠᡶᡳ ᡳᠯᡤᡝ᠋
Aisin Gioro	ᠠᡳᠰᡳᠨ ᡤᡳᠣᡵᠣ
home	ᠪᠣᠣ
tree	ᠮᠣᠣ
vegetables	ᠰᠣᡤᡳ
katuri	ᡴᠠᡨᡠ᠋ᡵᡳ
pig	ᡠᠯᡤᡳᠶᠠᠨ
bovine	ᡳᡥᠠᠨ
bear	ᠯᡝᡶᡠ
chicken	ᠴᠣᡴᠣ
rabbit	ᡤᡡᠯᠮᠠᡥᡡᠨ
tiger	ᡨᠠᠰᡥᠠ
lion	ᠠᡵᠰᠠᠯᠠᠨ
Korean	ᠰᠣᠯᡥᠣ
elder brother	ᠠᡥᡡᠨ
younger brother	ᡩᡝᠣ
elder sister	ᡝᠶᡠᠨ
younger sister	ᠨᠣᠨ
ear	ᡧᠠᠨ
nose	ᠣᡶᠣᡵᠣ
mouth	ᠠᠩᡤᠠ
tongue	ᡳᠯᡝᠩᡤᡠ
tooth	ᠸᡝᡳᡥᡝ
hand	ᡤᠠᠯᠠ
foot	ᠪᡝᡨᡥᡝ
leaf	ᠠᠪᡩᠠᡥᠠ
man	ᠨᡳᠶᠠᠯᠮᠠ
boy	ᡥᠠᡥᠠ ᠵᡠᡳ
daughter	ᠰᠠᡵᡤᠠᠨ ᠵᡠᡳ
wife	ᠰᠠᡵᡤᠠᠨ
husband	ᡝᡳᡤᡝᠨ
grandson	ᠣᠮᠣᠯᠣ
be	ᠣᠴᡳ
my	ᠮᡳᠨᡳ
no	ᠠᡴᡡ
few	ᡴᠣᠮᠰᠣ
many	ᠯᠠᠪᡩᡠ
big	ᠠᠮᠪᠠ
small	ᠠᠵᡳᡤᡝ
fifteen	ᡨᠣᡶᠣᡥᠣᠨ
eleven	ᠵᡠᠸᠠᠨ ᡝᠮᡠ
twelve	ᠵᡠᠸᠠᠨ ᠵᡠᠸᡝ
fourteen	ᠵᡠᠸᠠᠨ ᡩᡠᡳᠨ
thirteen	ᠵᡠᠸᠠᠨ ᡳᠯᠠᠨ
sixteen	ᠵᡠᠸᠠᠨ ᠨᡳᠩᡤᡠᠨ
seventeen	ᠵᡠᠸᠠᠨ ᠨᠠᡩᠠᠨ
eighteen	ᠵᡠᠸᠠᠨ ᠵᠠᡴᡡᠨ
nineteen	ᠵᡠᠸᠠᠨ ᡠᠶᡠᠨ
fox	ᡩᠣᠪᡳ
donkey	ᡝᡳᡥᡝᠨ
crow	ᡤᠠᡥᠠ
tortoise	ᡝᡳᡥᡠᠮᡝ
bone	ᡤᡳᡵᠠᠩᡤᡳ
neck	ᠮᠣᠩᡤᠣᠨ
mouse	ᠰᡳᠩᡤᡝᡵᡳ
monkey	ᠮᠣᠨᡳᠣ
ape	ᠪᠣᠨᡳᠣ
spider	ᡥᡝᠯᠮᡝᡥᡝᠨ
butterfly	ᡤᡝᡶᡝᡥᡝ
fly	ᡩᡝᡵᡥᡠᠸᡝ
mosquito	ᡤᠠᠯᠮᠠᠨ
ocean	ᠨᠠᠮᡠ
