dictionary	woordenboek
optimisation	optimalisatie
shingles	gordelroos
lamb	zooglam
illusion	begoocheling
animal worship	dierendienst
moral collapse	zedenbederf
female singer	zuchtmeisje
low dike	zomerdijk
Visé	Wezet
Waremme	Borgworm
Oreye	Oerle
Bassenge	Bitsingen
Petit-Lanaye	Klein-Ternaaien
Lixhe	Lieze
Lanaye	Ternaaien
Wonck	Wonk
Roclenge-sur-Geer	Rukkelingen-aan-de-Jeker
Geer	Jeker
Boirs	Beurs
Glons	Glaaien
Wihogne	Nudorp
Otrange	Wouteringen
Oleye	Liek
Bettincourt	Bettenhoven
Corswarem	Korsworm
Rosoux-Crenwick	Roost-Krenwik
Crenwick	Krenwik
Trognée	Truielingen
Lincent	Lijsem
Racour	Raatshoven
Jauche	Geten
Orp-Jauche	Adorp-Geten
Noduwez	Nodevoorde
Hélécine	Heilissem
Piétrain	Petrem
Perwez	Perwijs
Flemish Brabant	Oorbeek
Jodoigne-Souveraine	Opgeldenaken
Jodoigne	Geldenaken
Lathuy	Laatwijk
Zétrud-Lumay	Zittert-Lummen
Saint-Jean-Geest	Sint-Jans-Geest
Saint-Remy-Geest	Sint-Remigius-Geest
Gobertange	Gobertingen
Piétrebais	Neerbeek
Tongeren	Sluizen
Beauvechain	Bevekom
Nodebais	Nodebeek
Antwerp	Deurne
Wavre	Waver
Rosières	Rozieren
La Hulpe	Terhulpen
Braine-l'Alleud	Eigenbrakel
Nivelles	Nijvel
Ittre	Itter
Braine-le-Château	Kasteelbrakel
Oisquercq	Oostkerk
Arras	Atrecht
Bastogne	Bastenaken
Tournai	Doornik
Hazebrouck	Hazebroek
South African	Zuid-Afrikaan
South American	Zuid-Amerikaan
South American	Zuid-Amerikaans
South Holland	Zuid-Hollander
South Korean	Zuid-Koreaan
South Korean	Zuid-Koreaans
Gdańsk	Danswijk
presstitute	hoernalist
pommel	zwaardknop
zonal	zonaal
television viewer	televisiekijker
chant	spreekkoor
political regime	Orde Baru
treason	landverraad
traitor	landverrader
village bank	dorpsbank
matrix sign	matrixbord
Swede	Zweed
y-axis	y-as
spread	kunstboter
transfat	transvet
oil	zaadolie
mountain slope	berghelling
Burman	Birmaan
Burman	Birmees
muskrat	bisamrat
field pea	raasdonder
liberalisation	liberalisatie
deathbed	doodsbed
deathbed	sterfbed
bituminous	bitumineus
winding path	slingerpad
abacterial	abacterieel
shameless	schaamteloos
cattle thief	runderdief
affinity	affiniteit
aesthetic	esthetisch
deification	vergoddelijking
automation	automatisering
authorisation	machtiging
axis of symmetry	symmetrieas
aye-aye	vingerdier
house number	huisnummer
rube	boerenpummel
icy	ijzig
flee	ontvlieden
ignite	ontvonken
in force	vigeren
gallows humour	galgenhumoristisch
toot	getoeter
banner	spandoek
division	Marva
women	vrouwenring
spina bifida	open rug
be fed up	de pee in hebben
pericranium	bekkeneelvlies
pericranium	schedelvlies
bean slicer	snijbonenmolen
Capuchin	kapucijner
instrument	brandmiddel
crowd	mensenmassa
powder ship	kruitschip
partition plan	verdelingsplan
strap-on dildo	voorbinddildo
peat moss	veenmos
panorama deck	panoramadek
great black-backed gull	mantelmeeuw
wall in	omwallen
strong	standvastig
fasten	voorbinden
laundry	wasgoed
keep	afblijven
Napoleonic	napoleontisch
shrew	feeks
caravel	karveel
rose field	rozenveld
crossing guard	klaarover
slip	ontglippen
behead	onthalzen
question	overhoren
overpower	overmannen
quality of life	opzoomeren
five	vijfjarenplan
snot	besnot
complete sewing	afnaaien
thoroughly moisten	doorvochtigen
sound	beieren
stroll	aandrentelen
stroll	drentelen
emasculate	ontmannen
wood nymph	bosnimf
get off	afstappen
air traffic	luchtverkeer
narcostate	narcostaat
ceremonial	ceremonieus
register	doodboek
certify	certificeren
soil survey	bodemonderzoek
go like a dream	lopen als een trein
investigate	onder de loep nemen
tell time	klokkijken
nest box	nestkast
lantern	dievenlantaarn
suet cake	vetbol
mature	volgroeien
complete	voleinden
fulfill	volvoeren
carry out	voldragen
abuse	machtsmisbruik
murder	lustmoord
murderer	lustmoordenaar
strangulation	wurging
kill	verwurgen
drop	drup
sprain	verstuiten
balance	balansmaker
postage	briefloon
mailbag	postzak
lemon vla	citroenvla
brotherless	broederloos
aft	achterschip
cyanosis	blauwzucht
wind instrument	blaasspeeltuig
playground equipment	speeltuig
criminalisation	strafbaarstelling
zoo	dierenpark
chyle production	chijlmaking
die game	dobbelspel
cylindrical oxygen canister	zuurstofcilinder
measuring cylinder	maatcilinder
top hat	cilinderhoed
top hat	hoge hoed
bloodlust	moordlust
overcome hardship	boven Jan zijn
red giant	rode reus
supergiant	superreus
overlap	overlappen
subtitles	ondertiteling
giggle	aangrinniken
giggle	grinniken
conciliar	conciliair
note	aantekenaar
integrate	inburgeraar
fleshly	vleselijk
shoot	aanschieten
syrup waffle	stroopkoek
bathwater	badwater
urnfield	urnenveld
force field	krachtveld
baseball player	honkballer
footballer	voetbalspeler
football player	voetbalspeelster
statute	statuut
polysemic	meerzinnig
main series	hoofdreeks
preach to the choir	voor eigen parochie preken
indisputable	ontegenzeggelijk
disputable	tegenzeggelijk
miscarriage	abortie
sense	werkelijkheidszin
real	reëel
bay leaf	laurierblad
laurel wreath	laurierkrans
laurel wreath	lauwerkrans
laurel	lauwer
watercress	waterkers
cinnamon sugar	kaneelsuiker
Noah	Noach
Noah	Noë
curry powder	kerriepoeder
milk powder	melkpoeder
rat poison	rattengif
rat poison	rattenvergif
skimmed milk	magere melk
mutton	schapenvlees
stationery	schrijfgerei
presuppose	vooronderstellen
preview	voorvertonen
underappreciate	onderwaarderen
forestall	ondervangen
breadstick	soepstengel
hurrah	houzee
somewhere	iewers
nappy rash	luieruitslag
swing carousel	zweefmolen
border war	grensoorlog
treasure island	schateiland
treasure hunter	schatzoeker
chicken feed	kippenvoer
chicken wire	kippengaas
chicken farmer	kippenboer
chicken run	kippenren
profiterole	moorkop
cordial	limonadesiroop
dessert	vlaflip
sugar	confituur
bride	paranimf
notice	lont ruiken
salad dressing	slasaus
chocolate bar	chocoladereep
chop suey	tjaptjoi
raise	aanhijsen
hideous	afzichtig
cellophane noodle	glasmie
tasteless	patjepeeër
nutritional table	voedingswaardetabel
tabulate	tabelleren
tabular	tabulair
storm	stormparaplu
sing	afzingen
garage owner	garagehouder
boxlike beehive	bijenkast
bakmi goreng	bami goreng
intensive educational course	stoomcursus
rapidly prepare	klaarstomen
propel	stomen
peahen	pauwin
variant spelling	spellingvariant
variant	variatie
starvation wage	hongerloon
allophone	allofoon
tree	doornboom
hedge	doornhaag
crown of thorns	doornenkroon
constipated	hardlijvig
political order	Orde Lama
cowmilk	koemelk
rice porridge	rijstepap
soldering iron	soldeerbout
thigh	kippenbout
chicken leg	kippenpoot
search query	zoekopdracht
see-through blouse	doorkijkblouse
eureka experience	aha-erlebnis
church constitution	kerkorde
mark	aanschrappen
ithyphallic	ithyfallisch
approach	aanhuilen
sense	voorvoelen
ring	beringen
indication	indicatie
evening rush hour	avondspitsuur
morning rush hour	ochtendspitsuur
morning rush hour	ochtendspits
lane	spitsstrook
steering wheel	autostuur
handlebar	fietsstuur
power steering	stuurbekrachtiging
steering wheel	stuurrad
herbicide	onkruidverdelger
herbicide	onkruiddoder
shamelessness	schaamteloosheid
courtesan	hofpop
joker	grapjas
joker	lolbroek
slovenly	onverzorgd
entertainment	vertrossen
drainage channel	suatiekanaal
drainage channel	uitwateringskanaal
disappeared	ribbedebie
war hero	oorlogsheld
World War II	vooroorlogs
war correspondent	oorlogsverslaggever
tiny	miniem
acclamation	gejuich
Mandarin	Mandarijn
as a rule	in de regel
brain-dead	hersendood
indoor plant	kamerplant
weed	wieden
organ pipe cactus	orgelpijpcactus
organ pipe	orgelpijp
Katyusha	stalinorgel
mustard gas	mosterdgas
field	bollenveld
chrysanthemum	chrysant
opium poppy	opiumpapaver
grubby	groezelig
forget-me-not	vergeet-mij-niet
Sleeping Beauty	Doornroosje
spiny	stekelig
twig	wilgenteen
beech tree	beukenboom
elm tree	iepenboom
birch	berkenboom
majesty	hoogheid
beauty ideal	schoonheidsideaal
fast asleep	slapen als een roos
principle	stelregel
blind as a bat	stekeblind
bookshelf	boekenplank
full	volle melk
washbowl	lampet
love letter	minnebrief
pit viper	groefkopadder
bushmaster	bosmeester
saltwater crocodile	zeekrokodil
polyglot	polyglottisch
rescue worker	reddingswerker
forceful vomiting	projectielbraken
horse breeder	paardenfokker
animal	fokker
racehorse	renpaard
horse breed	paardenras
horse racing	paardenrennen
horse	paardentram
horserider	paardrijder
gunboat	kanonneerboot
attack	kanonneren
bryozoan	mosdiertje
cute	kjoet
team sport	teamsport
sound law	klankwet
city wall	stadsmuur
city centre	stadskern
provincial city	provinciestad
trading city	handelsstad
clandestine drug dealer	nachtapotheker
binge-watch	comakijken
sodomite	sodomiet
premature birth	vroeggeboorte
inkstick	inktstaaf
vegetation	vegetatie
vegetation	begroeiing
heterogeneity	heterogeniteit
overwhelm	overdonderen
overwhelm	overbluffen
overgrow	overgroeien
bridge	overbruggen
surpass	overtroeven
overexpose	overbelichten
fatty	vetklep
conceptual framework	begrippenkader
abroad	in den vreemde
untameable	onbeteugelbaar
Western Asia	West-Azië
horseshoe magnet	hoefijzermagneet
refrigerator magnet	koelkastmagneet
magnetic force	magneetkracht
magnetic head	magneetkop
natural magnet	natuurmagneet
science class	natuurscheikunde
urban legend	broodje aap
urban legend	broodjeaapverhaal
Americansky	Amerikanski
health insurance	zorgverzekering
health insurer	zorgverzekeraar
insurance company	verzekeringsmaatschappij
car insurance	autoverzekering
spare wheel	reservewiel
spare tyre	reserveband
reserve army	reserveleger
fat reserve	vetreserve
fight	vechtpartij
touch	bevoelen
Flemish	vervlaamsen
roadside location marker	hectometerpaal
metadata	metagegevens
step	traptree
thermos	thermoskan
thermos	thermosfles
window	portierraam
official	waarsman
work	concullega
bank robbery	bankroof
yokel	boerenlul
objectionable	kutlul
discontinue	stopzetten
pillar	minizuil
postern	achterpoort
goat leather	geitenleer
propulsion	voortstuwing
vituperative prose	scheldproza
caption	ondertitelen
asexual	aseksueel
microchemistry	microchemie
optimate	optimaat
gold ingot	goudbaar
birth defect	geboortedefect
borrow	afborgen
textile mill	bandfabriek
space shuttle	spaceshuttle
withstand	hufterproof
top priority	topprioriteit
source protection	bronbescherming
standard work	standaardwerk
land	droogmakerij
genetics	erfelijkheidsleer
salute shot	saluutschot
gegadigder	gegadigd
impulse	stuwkracht
mailcoach	postkoets
dimorph	dimorf
driveway	oprijlaan
mess around	hannesen
roof	fietsenhok
proverb	tegeltjeswijsheid
rest	pleisterplaats
nasty child	kutkind
daily press	dagbladpers
control unit	besturingseenheid
home telephone	huistelefoon
telephone connection	telefoonverbinding
Holy Land	Heilige Land
sugar cane	zuurstok
accompanying	bijhorend
silicon	keiaarde
apple beignet	appelbeignet
dictionary	dictionaire
welkin	uitspansel
mutual	wederkerig
well-brought-up	welopgevoed
continuous	duurvorm
ten behoeve van	ten behoeve van
insurrection	opruiing
burst	openbarsten
underground	ondergrond
recover	uitbrakken
seal	dichtplakken
breakdown	autopech
female superhero	superheldin
underfloor heating	vloerverwarming
Christmas dinner	kerstdiner
Christmas music	kerstmuziek
jeans	texasbroek
jump	slootjespringen
alcohol-free	alcoholvrij
school holiday	kerstvakantie
list	bangalijst
youth culture	jeugdcultuur
South Holland	Pijnacker
relief	geruststelling
slave ship	slavenschip
galley slave	galeislaaf
slave labour	slavenarbeid
house slave	huisslaaf
sex slave	seksslaaf
subversive	subversief
about	zieltogen
forked	gevorkt
locked	op slot
bay window	erker
office	bureel
zone	bezettingszone
toilet seat	toiletbril
toilet seat	wc-bril
folding chair	klapstoel
Weimar Republic	Weimarrepubliek
slavish	slaafs
fold	opklapbed
diabetic	suikerziek
kidney failure	nierfalen
constitutional	grondwettelijk
saddler	zadelmaker
operating theatre	operatiekamer
darkroom	doka
mark	ereteken
New Latin	Neolatijn
trade	moedernegotie
amateur painter	amateurschilder
sail	spelevaren
sexuality	seksualiteit
mortality rate	sterftecijfer
delivery	tangverlossing
breech position	stuitligging
breech delivery	stuitbevalling
throat cancer	keelkanker
Caprivi Strip	Caprivistrook
Gaza Strip	Gazastrook
waiting room	wachtkamer
North Frisian	Noordfries
seventieth	zeventigste
kindred	gelijkaardig
brag	stoefen
avarice	gierigheid
brag	snoeven
keyhole surgery	kijkoperatie
cactus	bladcactus
tin foil	bladtin
Blue Helmet	blauwhelm
public employment programme	werkverschaffing
stamp duty	dagbladzegel
boarding school	internaat
guide dog	geleidehond
flowered dress	bloemetjesjurk
block	huizenblok
barefoot	blootsvoets
gross national product	bruto nationaal product
food poisoning	voedselvergiftiging
consumer fireworks	consumentenvuurwerk
illicit trade	morshandel
seaworthy	zeewaardig
female	bodybuildster
Buddhist	boeddhist
Buddhism	boeddhisme
Buddha	Boeddha
book knowledge	boekenwijsheid
flower bouquet	ruiker
flower bouquet	handruiker
higher bid	opbod
division	boedelscheiding
monastery farm	kloosterboerderij
seated	zijn broek verslijten
powerlessness	machteloosheid
pair	veiligheidsbril
four-eyes	brilsmurf
diving mask	duikbril
eyeglass	brillenglas
spectacle frame	brilmontuur
addict	verslaafde
temple	brillenpoot
ecotone	ecotoon
Mesolithic	mesolithisch
Mesolithic	mesolithicum
hunter-gatherer	jager-verzamelaar
Paleolithic	paleolithisch
undergrowth	ondergroei
turn of the year	jaarwisseling
Statue of Liberty	Vrijheidsbeeld
steward	rentmeester
climate striker	klimaatspijbelaar
subtitle	tussentitel
add	bijtellen
alcohol test	alcoholtest
fashion show	modeshow
Texan	Texaans
heresiarch	aartsketter
abominable	verfoeilijk
clamor	gedruis
widower	weduw
onder vermelding van	o.v.v.
double plural	stapelmeervoud
debut single	debuutsingle
copyist	kopiist
female copyist	kopiiste
strong	mannetjesputter
animal skin	dierenhuid
convent school	kloosterschool
dairy drink	aardbeienmelk
born	geboortig
New Year's Eve	nieuwjaarsnacht
Surinamese creole	stadsneger
dry	wasrek
dry	droogrek
butter market	botermarkt
valuable	kleinood
testator	erflater
Euregion	Euregio
thin	flinterdun
bomb shelter	schuilkelder
trade	handelsembargo
edge	bosrand
soundscape	klankwereld
wind damage	windschade
water damage	waterschade
law enforcement	lokprofiel
bicycle	lokfiets
decoy bird	lokvogel
decoy duck	lokeend
official shirt	bolletjestrui
cake tin	cakeblik
oops	oeps
damage	aardbevingsschade
nasty weather	pokkenweer
deep-fried	gehaktstaaf
electoral deceit	kiezersbedrog
tow truck	takelwagen
carsickness	wagenziekte
shame	vliegschaamte
ice cap	ijskap
railway bridge	spoorbrug
frogspawn	kikkerdril
frogspawn	kikkerschot
bank statement	bankafschrift
convexity	convexiteit
fitting room	paskamer
patriotic	vaderlandslievend
unshaved	ongeschoren
greyhound	hazewindhond
fight	vechthond
pure-bred dog	rashond
sled dog	sledehond
street dog	straathond
assistance dog	hulphond
classy hat	hondenkot
East Frisian	Oostfries
East Frisia	Oostfriesland
euro banknote	donnie
aesthetic taste	wansmaak
petty	kleinzielig
Christmas	kerstnacht
self	zelfverrijking
allodium	zonneleen
terrible job	hondenbaan
dog dirt	hondenpoep
rule of law	rechtsstatelijk
initial	paraaf
baleen whale	baardwalvis
predatory mammal	roofzoogdier
sweet food	zoetigheid
clothes rack	kledingrek
introduce	nieuwlichter
polder windmill	molengang
pitchblende	pekblende
Lord's Prayer	Onzevader
French	fransijn
participant	deelneemster
chancellor	kanselier
high	brisantgranaat
bullion	goudstaaf
convent garden	kloostertuin
player	selectiespeler
Surinamese	Afro-Surinamer
music chart	hitlijst
retable	retabel
arrest warrant	arrestatiebevel
arrest warrant	aanhoudingsbevel
Java Sea	Javazee
Javanese	Javaan
pine marten	edelmarter
stepfather	bonusvader
stepmother	bonusmoeder
boat refugee	bootvluchteling
climate denier	klimaatontkenner
fish	boomkorvisserij
celebrant	jubilaresse
drug policy	drugsbeleid
unregulated	ongeregeldheid
queef	kutscheet
vaccination	inenting
video game	videospel
valve	ventiel
vegan	veganistisch
heroic courage	heldenmoed
convert	bekeerling
programme guide	programmagids
swine flu	varkensgriep
wartime censorship	oorlogscensuur
flu epidemic	griepepidemie
Spanish influenza	Spaanse griep
risk group	risicogroep
Botswana	Botswaan
Botswana	Botswaans
endemic organism	endeem
residential construction	woningbouw
eager	bouwlustig
avidity	bouwlust
bucket list	bucketlist
paperwork	papierwerk
architectural	bouwkundig
beach pole	strandpaal
language acquisition	taalverwerving
safe	brandkast
goalpost	doelpaal
pole dance	paaldans
lamppost	lantaarnpaal
revision history	bewerkingsgeschiedenis
goat cheese	geitenkaas
rhyme word	rijmwoord
eenendertigste	31e
tweeëndertigste	32e
drieëndertigste	33e
vierendertigste	34e
vijfendertigste	35e
zesendertigste	36e
zevenendertigste	37e
achtendertigste	38e
negenendertigste	39e
veertigste	40e
tweeënveertigste	42e
drieënveertigste	43e
vierenveertigste	44e
vijfenveertigste	45e
zesenveertigste	46e
zevenenveertigste	47e
achtenveertigste	48e
negenenveertigste	49e
vijftigste	50e
eenenvijftigste	51e
tweeënvijftigste	52e
drieënvijftigste	53e
vierenvijftigste	54e
vijfenvijftigste	55e
zesenvijftigste	56e
zevenenvijftigste	57e
achtenvijftigste	58e
negenenvijftigste	59e
zestigste	60e
eenenzestigste	61e
tweeënzestigste	62e
drieënzestigste	63e
vierenzestigste	64e
vijfenzestigste	65e
zesenzestigste	66e
zevenenzestigste	67e
achtenzestigste	68e
negenenzestigste	69e
zeventigste	70e
eenenzeventigste	71e
tweeënzeventigste	72e
drieënzeventigste	73e
vierenzeventigste	74e
vijfenzeventigste	75e
zesenzeventigste	76e
zevenenzeventigste	77e
achtenzeventigste	78e
negenenzeventigste	79e
tachtigste	80e
eenentachtigste	81e
tweeëntachtigste	82e
drieëntachtigste	83e
vierentachtigste	84e
vijfentachtigste	85e
zesentachtigste	86e
zevenentachtigste	87e
achtentachtigste	88e
negenentachtigste	89e
negentigste	90e
eenennegentigste	91e
tweeënnegentigste	92e
drieënnegentigste	93e
vierennegentigste	94e
vijfennegentigste	95e
zesennegentigste	96e
zevenennegentigste	97e
achtennegentigste	98e
negenennegentigste	99e
flammability	brandbaarheid
break	breking
effervescent tablet	bruistablet
fragment	brokstuk
howler monkey	brulaap
a bridge too far	een brug te ver
sham marriage	schijnhuwelijk
belly fat	buikvet
humpback whale	bultrugwalvis
Byzantine	Byzantijn
Byzantine	Byzantijns
nuclear bunker	atoombunker
drunk	zegedronken
verbannen	verbannens
smoke grenade	rookgranaat
grenade shard	granaatscherf
shard	scherf
flash grenade	flitsgranaat
smoke bomb	rookbom
writing	schrijfkunst
humming top	bromtol
potassium bromide	broomkali
potassium bromide	kaliumbromide
potassium bromide	broomkalium
troglodyte	troglodiet
garnet	granaatsteen
summer dress	zomerjurk
tax collector	tollenaar
Cape Verdean	Kaapverdiaan
Cape Verdean	Kaapverdisch
thingamajig	huppeldepup
areola	tepelhof
price index	prijsindex
inhabitant	ingezetene
rural	buitenlui
asexual	geslachtloos
loose	soepjurk
Cape Verdean	Kaapverdiër
storm surge barrier	stormvloedkering
storm surge	stormvloed
sea channel	Veerse Gat
brackish lake	Veerse Meer
born	het levenslicht zien
autism spectrum	autismespectrum
autism spectrum disorder	autismespectrumstoornis
blood pressure monitor	bloeddrukmeter
pour	stortregen
farmgirl	boerenmeid
radio signal	radiosignaal
massif	bergmassief
crew	scheepsbemanning
command centre	commandocentrum
vaccination programme	vaccinatieprogramma
government subsidy	overheidssubsidie
bantustan	bantoestan
thirst quencher	dorstlesser
neophyte	neofiet
summer	zomermaand
spring	lentemaand
great martyr	grootmartelaar
great martyress	grootmartelares
protomartyr	protomartelaar
protomartyress	protomartelares
girl	meisjesschool
chambermaid	kamermeisje
boy	jongensschool
Sunda	Soenda
Sundaland	Soendaland
safety advisor	veiligheidsadviseur
related origin	stamverwant
livestock farmer	veeboer
shake	aanschudden
now	alsnu
street vendor	straatverkoper
calyx	bloemkelk
paint spray	verfspray
cannoneer	busschieter
rocky mountain range	rotsgebergte
tumbleweed	tuimelkruid
joke	fatoe
liquidation	liquidatie
tonology	tonologie
flatulence	broekhoest
autosegmental	autosegmenteel
segmental	segmentaal
word formation	woordvorming
psychological description	zielsbeschrijving
play game	playstationen
secret service	geheime dienst
paperboy	krantenjongen
street boy	straatjongen
orphan boy	weesjongen
boyish	jongensachtig
boy	jongensdroom
street girl	straatmeisje
orphan girl	weesmeisje
excessive fear	koudwatervrees
stable girl	stalmeid
war of attrition	uitputtingsoorlog
spiral	geweldsspiraal
war	tankoorlog
granulate	granulaat
mosquito	malariamug
knee-length boot	kaplaars
rubber boot	rubberlaars
hip boot	lieslaars
hit single	hitsingle
male courtship behaviour	haantjesgedrag
ring-necked parakeet	halsbandparkiet
barwoman	barvrouw
psittacosis	psittacose
meta-analysis	meta-analyse
fearful	benepen
good luck	werk ze
soggy	klef
herd immunity	groepsimmuniteit
gobbet	homp
all the time	te pas en te onpas
battle cry	strijdkreet
war cry	oorlogskreet
call to arms	wapenkreet
tumble	tuimelen
leash	aanlijnen
single	eenoudergezin
agoraphobic	agorafobisch
agoraphobe	agorafoob
law	dijkrecht
auxiliary fleet	hulpvloot
surround	omdijken
mummify	mummificeren
mummification	mummificatie
mummification	mummificering
Low Countries	Lage Landen
under the rug	onder het kleed
expert	-mens
firefighter	brandweermens
craftsperson	vakmens
ik weet	kweenie
ovum	eicel
cyberattack	cyberaanval
bicycle bell	fietsbel
Cambodian	Cambodjaan
condition	vestigingsklimaat
front runner	koploper
ornamental vase	siervaas
vase painting	vaasschildering
lava lamp	lavalamp
desk lamp	bureaulamp
lamp oil	lampolie
reading light	leeslamp
neon lamp	neonlamp
lampshade	lampenkap
corrupt	corrumperen
Brabantian	Brabo
crowd	dranghek
prosper	floreren
single	eenpersoonsbed
quilt pad	donsdeken
seed capital	zaaikapitaal
tidal pool	getijdenpoel
car mirror	autospiegel
sewerage	riolering
shower recess	douchecel
ideally	idealiter
shower recess	douchecabine
soap dish	zeepbak
toilet paper	wc-papier
toilet brush	wc-borstel
rent control	huurbescherming
disinfection	ontsmetting
secularism	secularisme
pinch	nijpen
compensation	retributie
excess	eigen risico
rubbish bin	afvalbak
general waste	restafval
host plant	waardplant
oaf	sufkut
Uyghur	Oeigoer
Uyghur	Oeigoers
rubbish bin	vuilnisemmer
legal proposal	wetsvoorstel
superconductor	supergeleider
floorcovering	vloerbedekking
seep	zijpen
weird	kniftig
superconductivity	supergeleiding
roundworm	rondworm
cloth	zeemleer
washing powder	waspoeder
respect	eerbieding
profit	winstbejag
glyphosate	glyfosaat
Honolulu	Honoloeloe
Europhile	eurofiel
bioweapon	biowapen
water gun	waterpistool
semiconduction	halfgeleiding
call	gsm'en
clothespin	knijper
waffle	kniepertje
clothespin	wasknijper
washing machine	wasautomaat
centrifugal	middelpuntvliedend
clothesline	waslijn
Trotskyist	trotskist
gravy	vleesnat
teapot	theepot
tin	bakvorm
assassination attempt	moordaanslag
stagflation	stagflatie
refrigerate	koelwagen
fusebox	stoppenkast
air ticket	vliegticket
Neutral Moresnet	Neutraal Moresnet
overcharge	overbeladen
overshadow	overschaduwen
overheat	oververhitten
oversleep	overslapen
Lapland	Samenland
overstimulate	overprikkelen
overreact	overreageren
overcompensate	overcompenseren
cover	overkappen
drag on	aanslepen
gravedigger	grafdelver
African linguistics	afrikanistiek
protectorate	beschermgebied
Californian	Californiër
Californian	Californisch
Cambodian	Cambodjaans
canonical	canoniek
overshadow	overlommeren
overhaste	overijlen
overfeed	overvoeden
overarch	overkluizen
profession	professie
shout	overroepen
pull	overtijgen
shout	overschreeuwen
cold	koudwaterkraan
warm	warmwaterkraan
outshine	overschitteren
beam	overstralen
oversee	overschouwen
freezer	vrieskast
talk	overpraten
God-fearing	godvrezend
which	hetwelk
which	dewelke
thoughtless	paniekvoetbal
blood moon	bloedmaan
chest freezer	vrieskist
vegetable crisper	groentela
work force	beroepsbevolking
charitable	charitatief
social distancing	social distance
caries	cariës
carnelian	carneool
carotene	caroteen
Cartesian	cartesiaans
castration	lubbing
root	broodwortel
portcullis	valhek
portcullis	valpoort
cavalry soldier	cavalerist
rename	overnoemen
overeat	overvreten
cedar	cederboom
cell wall	celwand
celibate	celibatair
brain cell	hersencel
nucleus	celkern
prison cell	gevangeniscel
overact	overacteren
overpopulate	overbevolken
census suffrage	censuskiesrecht
cement mixer	cementmolen
cellular	cellulair
ceinture	ceintuur
cetological	cetologisch
Chaldean	Chaldeeuws
Chaldean	Chaldeeër
crooner	charmezanger
undercool	onderkoelen
underfeed	ondervoeden
sublet	onderverhuren
build	ondertunnelen
undertake	ondertrouwen
support	onderstutten
suppress	onderschikken
boiling point	kookpunt
food stamp	voedselbon
underperform	onderpresteren
underpay	onderbetalen
underfinance	onderfinancieren
underline	onderlijnen
support	onderschragen
posttraumatic	posttraumatisch
tighten	onderspannen
boundary	onderschrijden
Allium ursinum	daslook
heartwarming	hartverwarmend
food source	voedselbron
protocollary	protocollair
enemy	volksvijand
damned	verwaten
shelf stacker	vakkenvuller
depillarize	ontzuilen
desanctify	ontwijden
shock	ontzetten
well	ontwellen
outgrow	ontwassen
flay	ontvellen
conceal	ontveinzen
escape	ontvaren
slip out	ontvallen
play game	Nintendoën
great tit	koolmees
break open	openbreken
open	opendraaien
push open	openduwen
open up	openzetten
swing open	openzwaaien
open	openwerken
livestock market	veemarkt
labour market	arbeidsmarkt
masculinity	mannelijkheid
hastily	inderhaast
rebury	herbegraven
captivity	krijgsgevangenschap
slip away	ontglijden
decolorize	ontkleuren
glow	ontgloeien
granular	korrelig
global health crisis	coronacrisis
swordfighter	zwaardvechter
martial artist	vechtsporter
membership	ledenbestand
cerebral cortex	hersenschors
deaerate	ontluchten
dive bomber	duikbommenwerper
stone	ontpitten
solve	ontraadselen
take away	ontweldigen
disenchant	onttoveren
armpit hair	okselhaar
unswell	ontzwellen
unbraid	ontvlechten
wring	ontwringen
rise	ontstijgen
sneak away	ontsluipen
die	ontslapen
ball sport	balsport
sporty	sportief
desulfurize	ontzwavelen
unseal	ontzegelen
unsaddle	ontzadelen
usury	ontwoekeren
emancipate	ontvoogden
distress signal	noodsein
change	koersverandering
course correction	koerswijziging
unstain	ontvlekken
unrig	onttuigen
hoarder	hamsteraar
roll	wc-rol
unstop	ontstoppen
suppress interference	ontstoren
dismantle	onttakelen
challenge	ontstrijden
telegraph	telegraferen
sports car	sportauto
sportsman	sportman
sportswoman	sportvrouw
evil	inslecht
unmake	ontmaken
demix	ontmengen
demine	ontmijnen
remelt	ontmunten
suck full	volzuigen
pour full	volgieten
pour full	volschenken
load full	volladen
sign language interpreter	doventolk
baseball field	honkbalveld
baseball club	honkbalclub
baseball bat	honkbalknuppel
baseball player	honkbalspeler
bench	bankzitter
housekeeping	huishouding
fly upon	bevliegen
banknote	banknoot
sperm bank	spermabank
atomic	atomair
allow	gedulden
spelling reform	Kollewijns
video call	beeldbellen
wrap around	omspinnen
main suspect	hoofdverdachte
discount voucher	kortingsbon
lumpenproletariat	lompenproletariaat
contraceptive	anticonceptiemiddel
inevitable	noodwendig
emergency aid	noodhulp
accomplish	volstrekken
cold	berekoud
disturb	ontrusten
virological	virologisch
wrong	tegenzitten
resist	tegenstaan
stroll	ommetje
continue	geduren
grind	vermalen
bankruptcy	faling
emergency hospital	noodhospitaal
narrow	vernauwen
amorousness	verliefdheid
strangeness	vreemdheid
femininity	vrouwelijkheid
shrewdness	spitsvondigheid
inaccessibility	ongenaakbaarheid
baby boom	geboortegolf
sound law	klankwettig
bedwetter	bedplasser
rise again	herrijzen
unlimited	onbegrensd
upper city	bovenstad
electrolyte	elektrolyt
wiring	bedrading
probe	sonderen
fast traffic	snelverkeer
bandage	snelverband
emergency bandage	noodverband
marshalling yard	rangeerterrein
shunt	rangeren
physique	lichaamsbouw
death	hongerdood
