dictionary	woordenboek
evening	avond
road	baan
library	bibliotheek
brother	broer
bridge	brug
belof	belofte
bottom	bodem
roof	dak
century	eeuw
box	doos
fact	feit
jail	gevangenis
tool	gereedschap
vegetable	groente
corner	hoek
animal	beest
lid	deksel
gold	goud
chocolate	chocolade
grandfather	grootvader
hemel	hemel
quantity	hoeveelheid
year	jaar
candle	kaars
breathe	ademen
finish	afmaken
depend	afhangen
build	bouwen
cover	bedekken
decide	beslissen
pay	betalen
dry	drogen
stay	blijven
serve	dienen
break	breken
bring	brengen
move	bewegen
bite	bijten
float	drijven
contain	bevatten
brush	borstelen
enjoy	genieten
cry	huilen
hate	haten
understand	begrijpen
win	winnen
sit	zitten
surprise	verrassen
come	komen
neighbour	buurman
shower	bui
profession	beroep
mad	boos
blue	blauw
close	dichtbij
cloudy	bewolkt
transparent	doorzichtig
complete	compleet
electric	elektrisch
dark	donker
normal	normaal
content	tevreden
awake	wakker
cruel	wreed
sunny	zonnig
heavy	zwaar
sick	ziek
soft	zacht
friendly	vriendelijk
