all	विश्व
after	अनु-
support	भर्मन्
pebble	शर्कर
coconut	नारिकेल
cow	गोष्ठ
so	आत्
act	दहन
in this manner	इति
younger brother	अनुज
wisdom	मेधा
praise	स्तुति
speech	वाद्य
equipment	उपकरण
groats	करम्भ
coagulated milk	दधि
buttermilk	तक्र
mix in	मेक्षयति
connection	बन्धु
break	रुजति
crown	मुकुट
sun	दिनेश
large piece	स्वरु
youth	यौवन
celery	अजमोद
deviation	भ्रंश
Sun	सूर
barren cow	स्तरी
laudable	ईड्य
salt	लवण
exhaust	जासयति
assembly	परिषद्
oil	तैल
friend	सखा
brother	सगर्भ्य
maternal uncle	मातुल
maternal aunt	मातुला
paternal uncle	पितृव्य
paternal aunt	पितृव्या
sororal nephew	यामेय
splendor	देवन
pastime	देवना
man	स्याल
brother-in-law	आबुत्त
man	स्याली
leg	टङ्का
maternal aunt	मातुलानी
kinsman	ज्ञाति
kinsman	बान्धव
glass	काच
edge	धारा
approach	आचरति
awaken	जागर्ति
rope	रज्जु
rope	रश्मि
hedgehog	जहका
chew	भर्व्
woman	देवन्
co-wife	सपत्नी
sitting	साद
elbow	अरत्नि
clothing	वस्मन्
heard	श्रुत
sound	स्वनति
उत्तराधिकारिन्	उत्तराधिकारी
Aśvini	अश्विनी
Jina	जिन
sail	प्लवते
ray	भानु
declare	शंसति
err	स्रेधति
summer	उष्णकाल
forget	मृष्यति
missile	हेषस्
axe	कुठार
see	लोक्
ant	वम्र
procuring	उपार्जन
scatter	स्तृनाति
front	अग्रिम
tender	श्लक्ष्ण
dig	खनति
known	ज्ञात
locative	युक्त
lick	रिहति
lick	लिहति
wheat	गोधूम
dishonest	कुटिल
wasted	क्षीण
urinate	मेहति
radio	आकाशवाणी
competition	स्पर्धा
compete	स्पर्धते
urine	मेह
tear	दृणाति
sing	गायति
fast	उपवास
come forth	उदच्यते
son	देवपुत्र
fear	भयते
listen	शृणोति
bear	भार
jealousy	मत्सर
right	कुशल
authorship	कर्तृत्व
bite	दशति
Huna people	हूण
eating	खान
sharp	तेजते
hasty	त्वरित
chaff	पलाव
crushed	पिष्ट
neglect	उपेक्षा
good taste	सुस्वादु
smear	लिम्पति
light	रोचस्
kshatriya woman	क्षत्री
seize	गृभ्णाति
dwell	वस्
mixed	मिश्र
play	खेलन
measure	वितस्ति
boil	क्वथते
strong	शूर
opposite case relation	व्यधिकरण
karmadharaya	कर्मधारय
repetition	आम्रेडित
ministry	मन्त्रालय
Punjab	खश
resound	स्तनति
worth	अर्घ
worth	अर्हति
tatpuruṣa compound	द्विगु
leprosy	कुष्ठ
track	वर्त्मन्
rub	घर्षति
learn	शिक्षति
confide in	श्लाघते
donation	दक्षिणा
Piyadasi	प्रियदर्शिन्
will	वष्टि
agreeable	गूर्त
burn	घृणोति
self	आत्मनेपद
accustomed	उच्यति
water	जलद
bark	रायति
abstract noun	-त्व
quay	घट्ट
tremble	त्रसति
strength	सहस्
old	जीर्यति
emaciated	कृश
fight	युध्यते
envy	ईर्ष्यति
स्वार्थिन्	स्वार्थी
division	विभाजन
envied	ईर्षित
rice	शालि
application	प्रबन्ध
leave	रिणक्ति
however	अपितु
go	गा
forgive	मृडति
dead	अतीत
mace	गदा
sink	मज्जति
healer	भिषज्
curative	भेषज्य
sleep	स्वपति
sacred thread	यज्ञोपवीत
happiness	श्रिया
stone	पाषाण
fall	पद्यते
smell	जिघ्रति
say	वक्ति
river	स्रोतस्
increase	वक्षति
burnt	उष्ट
peg	मयूख
प्रत्याशिन्	प्रत्याशी
arrived	आयात
bound	बद्ध
abandoned	हीन
squeeze	पीडयति
may be	स्यात्
diminutive masculine nominal suffix	-क
southern path	दक्षिणापथ
deep	गभीर
custom	स्वधा
without	सनितुर्
stop	संनिरुणद्धि
heap	निचय
danger	अपाय
hole	कोटर
skillful	ऋभु
cleanse	पवयति
amazement	विस्मय
genesis	उत्पाद
grass	एरका
cotton	कर्पास
kindle	छर्दति
violent	निर्भर
mutually	मिथस्
young	शावक
sitting	संलयन
conglomeration	संदेह
anyone	कश्चन
sea	मीर
fraud	छल
sleep	स्वपिति
attentive	प्रचेतस्
murder	वध्या
murder	वध
exert	विचेष्टति
bent	उन्नत
रजनी	रजनि
cow	अही
movement	आन्दोलन
genesis	उत्पत्ति
moon	मास्
enthusiasm	उत्साह
trust	प्रतीति
elevate	रोपयति
अव गम्	अवगच्छति
half	नेम
eloquent	वाङ्मय
good work	स्वपस्
carp	शफर
see	चष्टे
injury	रेष
hurt	रिष्ट
fruit	फलन
law	अचर
arrow	सृक
fourth	तुरीय
boat	वहित्र
wooden hammer	काज
glory	यशस्
ill-repute	कुख्याति
alliteration	अनुप्रास
refuge	आश्रय
fear	त्रास
flow	क्षरति
home	अस्त
path	अयन
best	वसिष्ठ
crowd	सार्थ
hoof	खुर
pretense	अपदेश
spell	शाप
gain	लभ्
praise	ईडयति
go	ऋणोति
stream	सिरा
nest	नीळ
one	वोढृ
one	वोळ्हृ
inauguration	उद्घाटन
offspring	अपत्य
triṣṭubh	त्रिष्टुभ्
being	भुवन
indigestion	अजीर्ण
mleccha	म्लेच्छ
washed	निक्त
procedure	उपचार
sandhi	भोस्
thou	भवत्
great God	महादेव
swelling	शोथ
Mars	भूमिपुत्र
milk	दोह
udder	आपीन
flag	पताका
iron smith	अयस्कार
resting	आशय
unequalled	अतुल्य
surrounding	आसार
property	रेक्णस्
wrapped	पिनद्ध
decorating	भूषण
departed	प्रेत
streak	लेखा
bad thing	अपद्रव्य
measure	मिमीते
shine	अर्चति
first	आदिम
distribute	भजति
favourable	हितकार
divide	भाजयति
break	भनक्ति
better	वस्यस्
cause	कारयति
did	अकर्
flowing	स्रुत
thrive	पुष्यति
grown	वृद्ध
buy	क्रीणाति
inspect	परीक्षते
scratch	रदति
irritated	क्रुद्ध
away	सनुतर्
quarrel	ऋति
seat	सदस्
organ	श्रोत्र
made	अधात्
tumultuous	तुमुल
bring	आनयति
glide	ध्रजति
woman	नारि
unobstructed	अनिरुद्ध
quickness	शीघ्रता
pot	तलक
cover	गूहति
covered	गूढ
covered	गूळ्ह
spoon	दर्वी
sixteen	षोडशन्
give out	विदा
carried	ऊढ
ignorant	अविद्वस्
-ful	-वत्
empty	तुच्छ्य
emulous	स्पृध्
large house	हर्म्य
visible	दृष्ट
manly	पौरुष
fixed	दृळ्ह
owl	पेचक
riddle	प्रहेलिका
entering	समावेश
eleven	एकादश
twelve	द्वादश
thirteen	त्रयोदश
fourteen	चतुर्दश
fifteen	पञ्चदश
seventeen	सप्तदश
eighteen	अष्टादश
nineteen	ऊनविंशति
twenty-one	एकविंशति
nineteen	नवदश
twenty-two	द्वाविंशति
twenty-three	त्रयोविंशति
great	प्रौढ
Hanuman	अञ्जना
blossom	उत्पल
spider	लूता
tail	पुच्छ
twenty-four	चतुर्विंशति
twenty-five	पञ्चविंशति
twenty-six	षड्विंशति
twenty-seven	सप्तविंशति
twenty-eight	अष्टाविंशति
twenty-nine	नवविंशति
twenty-nine	ऊनत्रिंशत्
cause	योधयति
adhere	स्निह्यति
hunger	क्षुध्
see	ददर्श
injury	द्रुह्
earthly	पार्थिव
earth	पृथिवी
संन्यासिन्	संन्यासी
bad	अघ
mighty	विभूति
night	ध्वान्त
Kharosthi	खरोष्ठी
star	तृ
dense	निरन्तर
scatter	स्तृणोति
powerful	ओजिष्ठ
wish	सीक्षते
wishing	उशिज्
foul	पूयति
purulent matter	पूय
satisfaction	तृप्ति
satiated	तृप्त
accompanied	सटीक
abandonment	त्यजस्
iron	कृष्णायस्
be	विद्यते
old	जरत्
peak	शिखर
time	अवसर्पिणी
billion	महापद्म
eyelid	नेत्रच्छद
eyelid	नयनपुट
eyelid	अक्षिपुट
eyelid	असितभ्रू
deeply	भावगम्भीरम्
word	वचस्
Mahavira	महावीर
smile	स्मेरता
lips	उत्तराधर
mouth	उत्तराधरविवर
mouth	च्युप
mouth	तुण्ड
female leader	नेत्री
plant	पादप
bound	सित
negligible	नगण्य
sharp	तिग्म
cheek	कपोल
embarrassed	त्रपते
dress	वेष
class	अप्सरस्
coffee	पीयूष
nectar	पीयूषभुज्
cut	छिद्
mouse	सारक
सर्जन	सर्जनात्मक
ice cream	पयोहिम
cut	परिच्छिद्
cream	दुग्धाग्र
fostered	भावित
मया तव अनुचरेण	भवितव्य
Moon	पीयूषधाराकिर्
embarrassing	लज्जास्पद
bought	तावत्क
laughable topic	हास्यास्पद
smile	स्मेर
ajwain	भूकदम्बक
wood apple	भूकपित्थ
Bhutan	भोटान्त
put on	प्रवस्ते
where do you live	भवान् कुत्र वसति
dependence	वशत्व
cow	वशात्व
gambling	द्यूत
Lucknow	लक्ष्मणपुर
day	वासर
doubt	शङ्के
cystitis	बस्तिकोप
booty	गोग्रह
booty	नष्टाप्तिसूत्र
winning	तरुतृ
Sakyamuni	शाक्यमुनि
vyuha	शकटव्यूह
goose	कादम्ब
minister	शकटाल
contrary	प्रतिलोम
harlot	वारा
blog	जालवृत्ति
coast	वेलाभूमि
you	भवती
mine	मदीय
spy	स्पश्
somewhere	कुत्रापि
there	तत्रैव
how much	कियद्
आ	आगच्छति
I don't want to go	गन्तुन्नेच्छाम्यहम्
food	क्षु
oral	मौखिक
impartial	मध्यस्थ
telephone	दूरवाणी
well	सूद
phone	दूरवाणीं करोति
phone number	दूरभाषसङ्ख्या
mobile	जङ्गम
for	कृते
leave	त्यजति
left	वाम
thick	बहुल
mother	मातापिता
तव	गुरवस्
move	उपन्यस्यति
fax	समकार
unite	समाकुरुते
moving out	अपगम
kind	व्यन्तर
scarlet leadwort	कृष्णव्याल
turn around	विपरिवर्तन
go	वलते
turn out	उद्रुणद्धि
turn off	अवकर्षति
turn out	प्रपद्यते
turn off	च्यवते
go	छ्यवते
turn	ह्वरते
go	सेधति
twist	वृक्ते
desire	आकाङ्क्षते
turn up	उद्धन्ति
turn to	अभिषचते
turn	अववर्जति
subdue	उब्जति
suffering	उत्कटदुःख
pass away	वियाति
go away	संनिर्गच्छति
became	अभवत्
go	याति
return	प्रतिगच्छति
wished	ऐच्छत्
did	अकरोत्
penis	मेढ्र
remembering	स्मृत्वा
crossed	तीर्त्वा
filled	पूर्त्वा
awakened	बुद्ध्वा
obtained	लब्ध्वा
done	कृत्वा
grieved	शुचित्वा
having said	उक्त्वा
mist	मिह्
horn	शरभ
cake	पुरोळाश्
in front	पुरस्
property	रै
was	आसीत्
overcome	सहते
large tooth	दंष्ट्र
laughing	जक्षत्
hospital	चिकित्सालय
war	युध्य
king	राजभट
eating	भक्ष
play	क्रीळति
unpleasant	अश्रीर
body hair	रोमन्
straight	ऋजिप्य
voiced	निर्
seventy	सप्तति
eighty	अशीति
ninety	नवति
dislike	द्वेषस्
war	युध्
cardamom	एलीका
night	नक्
burn	टहति
pain	पीडा
nearer	नेदीयस्
nearest	नेदिष्ठ
blame	पीयति
goad	अष्ट्रा
autumn	शरदा
violence	हठ
companion	द्वितीया
famous	सुश्रवस्
aboriginal	देशज
true	भूतमय
true	जेन्य
doctrine	सच्छास्त्र
genuine jewel	जात्यरत्नमय
virtuous	गुणज्ञ
deceptive	द्रुह्वन्
sailor	नावाज
decorating	अलंकार
do	कृणोति
deity	भगवत्
yoke	युनक्ति
shower	धाराखान
wet	आर्द्रक
zenith	पराकाष्ठा
invite	आमन्त्रयते
tip	पालि
girl	बालिका
offspring	तनस्
dry	शुष्यति
dry	शोषयति
female breast	कूच
old	जूर्ण
satiable	सिन्व
girl	कनीनिका
sambar	क्वथित
millimetre	सहस्रिमान
plus sign	आधिक
wind	वातायन
developer	व्युत्पादक
bird	खग
data	दत्तांश
database	दत्तनिधि
electronic	वैद्युतक
hunter	लुब्धक
blue jay	किकि
blue jay	कीकि
foxtail millet	भावज्ञा
leap	हठति
wait for	ऊहति
opposition	प्रतिरोध
leave behind	शिनष्टि
cut	कृन्तति
Jaina	गच्छ
torment	लुम्बति
measure	ऊर्दते
know	बोधते
run	सरति
flow	रिणाति
wander	वञ्चति
steal	स्तेनयति
press	बाधति
direct	राजति
desire	काङ्क्षति
quit	उज्झति
suffer	सहति
chatter	लपति
delight	रणति
burst	स्फलति
awaken	बोधयति
number	सङ्ख्या
keep	स्थापयति
Mahabharata	धर्मयुद्ध
let it be	अस्तु
dance	नृत्
hold	धृ
present	सम्प्रददाति
went	अगन्
heard	अश्रोत्
very wonderful	अत्यद्भुत
cause	मोचयति
free	मुञ्चति
cheat	मोचते
know	ज्ञापयति
rising	होरा
teacher	उपाध्याय
hurt	उभ्नाति
bag	स्यूत
double	द्वय
twice	द्विस्
thrice	त्रिस्
your	युष्माक
think	चिन्तयति
tell	कथयति
steal	चोरयति
run	द्रवति
run	द्रावयति
remember	मनति
agitate	इङ्ग्
move	इङ्गति
protect	त्रै
save	परित्रै
impel	चुद्
incite	चोदति
behave insolently	इरस्यति
ill-will	इरस्
swell	शू
covet	गृध्
covet	गृध्यति
deceive	गर्धयते
set free	जस्यति
bend	नमति
grow	वर्धति
worship	पूजयति
protect	पालयति
shine	शुम्भति
grasp	घिण्ण्
grasp	घिण्णते
fear	बिभेति
blush	जिह्रेति
fill	पॄ
nourish	बिभर्ति
go	जिहीते
wash	नेनेक्ति
separate	वेवेक्ति
shine	जिघर्ति
besprinkle	घृ
take away forcefully	जिहर्ति
go	इयर्ति
escape	सिसर्ति
chew	बभस्ति
obtain	साध्नोति
prosper	एध्
ask	नाथ्
bore	बभार
bore	बभ्रे
lament	क्लिन्द्
confused	क्लन्द्
greatness	महस्
play	खेलति
bark	बुक्कति
bark	बुक्कयति
bull	बलीवर्द
spite	असूया
existing	मनोगत
Shiva	अहिभृत्
Himalayas	उदगद्रि
letter	ओकार
tree	वन्
comprehend	चित्
curious	कौतुकिन्
brown	कपिला
beautiful	सुन्दरी
therefore	ततस्
gliding	एष
your	तव
them	तेभ्यः
their	तेषाम्
them	तेषु
his	तस्य
yarn	ओतु
little	अदर
mocking	निद्
consumer	अशिर
ray	असिर
cleaning	दाधाव्यते
polish	उल्लिखति
curved	कोचति
ornament	अलङ्करण
excrement	सर्ग
अत्र हस्ताक्षरं	स्थापयतु
उपरि	उत्पीठिकायाः
drink	पास्यति
cold	हिम्
strip	अपनह्यति
approach	उपसंगम्
opposite	परा-
stagger	हूर्छति
call	आह्वयति
sing	स्वरति
come	गमति
prakriya	जग्मथुर्
see	पश्य्
field name	क्षेत्रनाम
name	प्रवदति
be	आस्ते
give	पृणक्ति
remove	वृणक्ति
discern	विनक्ति
contract	तनक्ति
bathe	उनत्ति
wound	हिनस्ति
bruise	तृणेढि
enjoy	भुनक्ति
grind	पिनष्टि
time being	भवन्ति
licked	रीळ्ह
licked	लीढ
bright	रुक्म
remain	गाधते
successful	सनुते
corn	सस्य
corn	सस
consonant	𑆒
consonant	𑆓
consonant	𑆔
consonant	𑆕
swell	क्षोदस्
dawn	उष्
soup	यूस्
praise	गिर्
split	भिनत्ति
strong	बाळ्ह
question	पृच्छा
wish	जुघुक्षति
thought	मीमांसा
sleep	सस्
conquering waters	अब्जित्
sleep	सस्ति
disgust	अरुचि
flute	पिच्छोरा
straightest	रजिष्ठ
hair	चूडा
jewel	चूडामणि
yielding	दुह्
excellent	ज्येष्ठ
licking	लिह्
recitation	शंस
bier	खडु
chaff	थुष
man	पुंस्
black	काट
exchange	विनिमय
restraint	संयम
fill	पृणाति
highest	बर्हिष्ठ
felly	वृत्
die	मृ
mārga	वर्तिस्
cleave	तृन्त्ते
oblique	जिह्म
consecrator	दीक्षितृ
abstain	अनाहार
limited	अन्तवत्
forever	अनन्तवत्
guiltless	अनापत्ति
gambling	दीव्
flashing up	उद्द्योत
broken	रुग्ण
freedom	अनास्रव
impermanent	अनित्य
mind	अनिन्द्रिय
instructor	अनुशासक
garment	अन्तरीय
concealment	अन्तर्धि
gynaeceum	अन्तःपुर
immeasurable	अपरिमाण
bad	अपशब्द
imagination	अध्याशय
stand above	अधितिष्ठति
unpardonable	आनन्तर्य
soul	अन्तराभवदेह
obstacle	अन्तराय
attainment	अनागति
hurting	प्रमाथ
disfavor	अप्रसाद
recognition	अभिज्ञा
represent	अभिनयति
understanding	अभिसमय
accusation	अभ्याख्यान
anger	आमर्ष
assembly	सङ्घ
cat	बिडाला
felly	नेमि
man	मनुस्
house	दम्
gift	दुवस्
valiant	दानु
soul	जनु
wife	जानि
woman	जनी
even	युग्म
buttock	स्फिगी
join	युज्
yoke	धुर्
yoke	धुर
burden	धुरा
offspring	तोक
ashes	भस्मन्
ashes	भस्
feast	प्सरस्
food	प्सुरस्
worship	यजस्
rider	यावन्
heaven	यह्वी
water	यहस्
magic	सैयशास्त्र
thicket	गुल्म
quick	जू
Asvins	ऋतप्सु
cow	गु
bladder	वस्ति
home	दुरोण
home	दुर्योण
gate	दुर्
enter	विशति
magic	सैय
should	दैय
dying	मारुक
desert	मरुस्थली
mortal	मर्त्य
Indra	सदस्पति
bearer	धर्तृ
destruction	दरीमन्
bearer	धर्मन्
bursting	दर्त्नु
supporting	भरीमन्
rapacious	भरिष
breaker	दर्म
breaker	दर्मन्
spoon	दर्वि
spread	स्तीर्ण
thief	स्तेन
theft	स्तेय
thief	स्तायु
enemy	स्तरु
bed	स्तरिमन्
lord	भरु
bearing	भरत्
table	भार्मन्
bounty	परीमन्
bounty	परेमन्
angry	परिमन्यु
length	द्राघिमन्
length	द्राघ्मन्
mantle	द्रापि
sparrow	कलविङ्क
sieve	तितउ
majestic	द्युम्निन्
manhood	नृम्ण
drunk	पाय्य
penis	शेप
penis	शेपस्
penis	शेफ
penis	शेफस्
dear	शेव
gracious	सुशेवस्
audacious	शूशुजान
sheath	शुङ्ग
sheath	शुङ्गा
thunderbolt	अशनि
pure	शुच
mustard	सर्षप
all	विश्वश्चन्द्र
cooked	सुश्रप
glittering beautifully	सुश्चन्द्र
enjoyment	वीति
lonely	रहस्
enemy	रिपुघ्न
enemy	रिपुघातिन्
deceiver	रिपु
fraud	रिप्
strength	शवस्
fearless	वीतभी
propitiated	प्रैणान
crawling	त्सरु
brilliant power	त्वेषनृम्ण
conqueror	तुरस्पेय
quick	तुर
injurious	हिंस्र
mischief	एनस्
chewed	प्सात
chew	बप्सति
earth	ग्मा
stunning	वपुष
spot	रेपस्
dirt	रिप्र
violence	रभस्
ray	अर्क
worship	अर्चा
ray	अर्चि
ray	अर्चिस्
wealthy	रैवत
riches	रैवत्य
accomplishment	राद्धि
succeed	राध्
ironical	सोल्लुण्ठ
worshipping	दुवस्यु
pain	दोमन्
shock	तुञ्ज
battle	तरुस्
terrifying	त्वेष्य
energy	त्वेषस्
violence	त्वेषथ
violence	चण्डिमन्
sharpness	तीव्र
power	तविषी
violence	तविष्या
spirited	तविषीयु
strong	तव्य
strong	तवस्
strength	तवस्य
strong	तविष
imperishable	अक्षित
strengthening	वर्धन
free will	अवशिन्
staying	आवासिक
chest	वक्षस्
news	वार्त्ता
hellish	नारक
manly	नर्य
intermediate kalpa	विकल्प
direct	राष्टि
noise	वग्नु
direction	रजि
rope	रशना
rope	रश्मन्
envious	ईर्षु
envious	ईर्ष्यु
seeing	ईक्ष
Soma	इष्टि
buttock	स्फिच्
buttock	स्फिज्
clinging	सक्त
noble	आजानेय
bite	आदंश
affecting	आपादन
meat	आमिष
delight	चनस्
base	आलम्बन
shoulder	अंसकूट
judge	कुलिक
shoulder-blade	अंसफलक
ungrateful	अकृतज्ञ
demerit	अकुशल
call	आक्षिपति
diagonally	अक्ष्णया
tranquility	अक्षोभ
surplus	अतिरेक
stealing	अदत्तादान
armour	अंसत्र
back	अंसपृष्ठ
handed down	आगम
corporeal	रूपवत्
strong	तूय
sweat	स्विद्यति
darkness	दोषा
grass	ऊबध्य
heretical	पाषण्ड
sharp	तीक्ष्ण
sugar cane	इक्षु
sapphire	इन्द्रनील
prop	स्कम्भ
homestead	ओकस्
stream	ओघ
cake	अपूप
Charsadda	पुष्कलावती
razor	क्षुर
so many	तति
growth	उपचय
pain	उपतापिन्
disease	उपद्रव
offering	उपादान
slut	रण्ड
sound	श्लोक
tanned	म्लात
beget	जनयति
dental	दन्तमूलीय
hiatus	स्वरान्तर
guttural	जिह्वामूलीय
Vedic	प्रतिशाखा
approval	गूर्ति
frenzied	ताण्डव
Mahabharata	कृष्णा
senses	बुद्धीन्द्रिय
sour cream	मस्तु
fire	इद्धाग्नि
tremble	पोस्फोर्ति
roar	रोरोति
be frequently	बोभोति
roar	रोरवीति
fly	पापतीति
be frequently	बोभवीति
be frequently	बोभवति
arrow	बुन्द
binding	बन्ध
troop	यूथ
house	गेह
drop	भ्रंशते
breath	त्मन्
spurn	स्फुरति
flow	रेतस्
carve	ताष्टि
rider	रथी
chew	प्साति
equinox	विषुव
solstice	अयनान्त
appearance	भान
abode	परिष्ठिति
surrounded	परिविष्ट
condition	एवंगत
thus minded	एवंक्रतु
envenomed	आलाक्त
speak	गदति
war	क्रन्दस्
knowledge	वेद्या
knowledge	वेदस्
particle	मरीचि
roaring	क्रन्दनु
where	कुह
face	अनीक
marrow	मज्जा
marrow	मज्जस्
unfinished	अनवपृग्ण
relating	पौष्टिक
sport	क्रीडा
playing	क्रीड
playing	क्रीळ
garlic	लशुन
insufficient	अपर्याप्त
burnt	दुनोति
bearing	भरस्
station	स्थामन्
procuring	अर्जन
acquired	अर्जित
weekly	साप्ताहिक
pick	स्कुनाति
adorned	अलंकृत
Gujarat	द्वारका
grasping	गृभ्
very prosperous	महर्द्धिक
constancy	धृति
potter	कुलाल
surface	प्रस्तर
best	प्रवर
bow	घूठि
spoken	भाषित
bind	टङ्क्
master	गोस्वामिन्
sun	प्रभाकर
hiding place	गुहा
new	नव्य
fart	पर्द
clove	लवंग
bearded vulture	जटायु
and	उत
Old World bean	माष
read aloud	पठति
outer	मलपृष्ठ
dharmachakra	धर्मचक्र
fever	अज्वर
elephant	द्विप
pain	अक
cloak	अत्क
letter	सकार
cut	छिनत्ति
intermediate	अभ्यन्तरकल्प
inflame	संतापयति
cumin	अजाजि
conducted	संक्रमित
equal	तुल्य
hermitage	अरङ्यायतन​
black myrobalan	हरीतकी
Hygrophila	अरुणर्जु
honorable	आर्यमार्ग
salve	आलेपन​
modest	अवत्रापिन्
protected	संरक्षित
healthy	अनामय
joining	संकलन
violent agitation	संवेग
old	जॄ
unforgivable	अक्षम्य
cut off	उच्छिन्न
characteristic	लक्षम्
ignorant	अविद्य
undeveloped	अव्याकृत
sun	ब्रध्न
egg	डिम्ब
leaf	पत्त्र
mix	श्रीणाति
fixed	स्थावर
lord	वैद्यनाथ
bael	बिल्व
favour	अनुग्रह
Buddhist nun	भिक्षुणी
she-wolf	वृकी
purulent matter	पुवस्
attentive	धिष्ण्य
moving	जंहस्
here	इहेह
somehow	समह
current	नूतन
body	पुद्गल
Desmodium gangeticum	अंशुमती
path	अशैक्षमार्ग
training	अशैक्ष
unbeliever	अश्रद्ध​
Cancer	आश्लेषा
ashwagandha	अश्वगन्ध
scissors	कर्तनि
success	सम्पद्
grow	विवर्धते
torment	यातना
end	भवक्षय
hiding place	गुह्
lord	भूपति
pattern	वयुन
thorns	अनृक्षर
rhinoceros	परस्वत्
purify	पुनाति
केलि	केले
pillow	शिरोपधान
soap	फेनक
misleading	ध्रुति
sacrificial oblation	मियेध
grain mashed	ओदन
conqueror	साढृ
remembered	स्मृत
pleasure	मयस्
let go	सृष्ट
led	नीत
restrained	यत
each day	अहरहर्
obstructed	रुद्ध
recited	शस्त
Devanagari	वकार
cut off	छिन्न
torn apart	छिद्र
frog	मण्डूक
fertile soil	उर्वरा
stag	ऋश
eaten	जग्ध
milk	दोग्धि
nutmeg	जातिफल
above	उच्चा
gone	इत
burnt	दग्ध
fighter	योद्धृ
hand glove	हस्तत्राण
handkerchief	करवस्त्र
okra	भिण्डा
ebony	आलुक
cauliflower	पुष्पशाक
cabbage	केम्बुक
broccoli	कपिशाक
bottle gourd	अलाबु
ridge gourd	कोशवती
pumpkin	कुष्माण्ड
spinach	पालङ्की
aubergine	वातिङ्गण
having	रक्तफल
green beans	शैम्ब्य
cucumber	कर्कटिका
beetroot	भशिरा
coriander	धानेयक
raddish	मूलिका
pea	हरेणु
fenugreek	मेथिका
bitter melon	कारवेल्ल
turnip	गृञ्जन
kidney beans	राजमाष
gram	चण
beginning	अथ
less	न्यून
flesh	मांस्
kidney	वृक्क
binding	बन्धन
Vishnu	वैष्णव
Shiva	शैव
scratch	लिखति
anger	हेळ
angry	क्रुध्यति
palm	व्यजन
surgery	शल्यक्रिया
surgeon	शल्यकार
chair	आसन्द
bulb	गोलदीप
tubelight	दण्डदीप
torch	करदीप
vegetable	शाक
Proto-Dravidian	अङ्कनी
ink	मसि
ink	मसी
ink	मषी
inkpot	मसिपात्र
inkpot	मसीपात्र
inkpot	मषिपात्र
inkpot	मषीपात्र
sweet flag	वचा
barber	नापित
smeared	दिग्ध
mad	मोमुघ
thriving	ऋद्ध
rose	जवा
grab	गृह्णाति
bow	धन्वन्
apartment	आगार
bathroom	स्नानागार
wherever	यत्र
wherever	यत्रा
unpredictable	अननुमेय
predictable	अनुमेय
lying down	शयन
bedroom	शयनागार
underlined	रेखाङ्कित
marked	अङ्कित
well	सुनीत
how	कथम्
width	वरस्
left	सव्य
protector	पालिका
surely not	नहि
yes	आम्
Kashmir	कश्यपमेरु
heat	घ्रंस
warrior	युध्म
banana	कदली
prisoner	बन्दिनी
red	लोहित
learned	शास्त्रिन्
ministress	मन्त्रिणी
knower	शास्त्रिणी
domestic	गार्ह्य
chakravartin	चक्रवर्तिन्
wheel	चक्रवर्तिनी
bathed	स्नात
conscience	अन्तःकरण
after that	तदुपरान्त
after	उपरान्त
after that	तत्पश्चात्
spectacles	उपनेत्र
warm	तापयति
grammar	सर्वनामन्
buyer	क्रेतृ
seller	विक्रेतृ
candidate	प्रत्याशिन्
प्रत्याशिन्	प्रत्याशिनी
relating	श्रावण
behind	पश्चा
intelligent	मेधिर
nonacquiescence	अस्वीकार
interior	अन्तःपात्र
paper	कर्गद
table	उत्पीठिका
internet	अन्तर्जाल
mosquito	मश
pregnant	गर्भिणी
making distant	दूरीकरण
crushed	तृढ
unknowing	अज्ञ
paradise	वैकुण्ठ
giver	दायिन्
giver	दायिनी
noun	संज्ञापद
destroy	क्षिणाति
ill	रोगिन्
ill	रोगिणी
Yogi	योगिन्
Yoga	योगिनी
witness	साक्षिन्
spectator	साक्षिणी
wealth	मघ
earthly	भौम
official	अधिकारिन्
official	अधिकारिणी
successor	उत्तराधिकारिन्
heir	उत्तराधिकारिणी
strengthening	ओजोदा
traveller	यात्रिन्
traveller	यात्रिणी
criminal	अपराधिन्
criminal	अपराधिनी
काली	कालिका
patient	क्षमते
useful	उपयोगिन्
उपयोगिन्	उपयोगिनी
ball	कन्दुक
football	पादकन्दुक
football	पादकन्दुकक्रीडा
given	दत्त
breaking	भङ्ग
bitter	कटु
blind	काण
self	अहंकारिन्
and not	नो
student	विद्यार्थिन्
student	विद्यार्थिनी
student	शिष्या
engineer	अभियन्तृ
perspiring	स्वेदन
sweater	स्वेदक
ascetic	संन्यासिन्
ascetic	संन्यासिनी
संयमिन्	संयमी
restraint	संयमिनी
selfishness	स्वार्थ
selfish	स्वार्थिन्
स्वार्थिन्	स्वार्थिनी
solar	सौर्य
agarwood	अगरु
enjoyed	भोग्य
play	केलि
orpiment	तालक
overcome	साढ
invincible	अषाढ
invincible	अषाळ्ह
gardener	मालिन्
चन्द्रमस्	चन्द्रमः
deity	चन्द्रमस्
चन्द्रमस्	चन्द्रमाः
out	निस्-
ऋणिन्	ऋणी
ऋणिन्	ऋणिनी
sad	दुःखिन्
happiness	सुखिन्
मनस्	मनः
विद्वस्	विद्वान्
knows	विद्वस्
costing much	बहुक
generous	दानिन्
दानिन्	दानिनी
gain	सनोति
enclosure	वाटिका
