no	nu
uproot	disrãdãtsinedz
meashti	mescu
lupoanji	lupoanji
lupi	lupã
strike	ascapir
gleam	licur
sparkle	licuredz
illness	lãngoari
sick	lãndzit
wool	lãnar
woolly	lãnos
dispoalji	dispolj
mother	mumã
doing	fatsiri
millet	melj
minute	minutã
thin	minutedz
thin	suptsãri
thinner	suptsãredz
kaymak	tearã
wise	mintimen
wisdom	mintiminilji
softness	muliciuni
moalji	molj
woman	muljari
feminine	muljirescu
womanly	muljireashti
effeminate	muljirashcu
ulcioari	ulcior
worm	ierm
finish	mplinescu
join	mpriunedz
unite	unescu
disunite	disunescu
glue	alãchescu
unglue	dizlãchescu
pigeon	purumbu
pigeon	culumbu
pigeon	pãrumbar
fountain	fãntãnar
lead	pliumbu
cãntãtori	cãntãtor
mosquito	mushconj
mosquito	cunupi
mute	amutsãscu
mute	mutsãscu
muteness	mutsalj
manly	bãrbãtescu
cough	tushedzu
food	mãcari
nãmalji	nãmalj
disembowel	dizmats
over there	didindi
over there	naparti
late	tãrdzãu
late	ntardu
slowly	ãntardã
from	ditru
Aromanians	armãnami
collective nouns	-ami
cãndili	cãndilã
length	lundzimi
forest	arburet
cudalbi	cudalbã
coadã-baturi	coadã-baturã
wagtail	cudubaturã
cut	nfoarfic
cut	furtichedz
dismount	discalic
horses	cãlãriu
midulji	midulj
bladder	bishicã
fever	hivrescu
stave	doagã
cooper	dugar
crumble	dinjic
first	ntãnj
first	ntãnjiu
before	nãinti
desire	mirachi
njali	njauã
njioari	njioarã
ntsindzi	ntsingu
give	cumnic
convince	nduplic
double	diplo
alsivi	alsivã
fold	dipledz
manicheti	mãnichetã
mãnuclji	mãnuclju
glove	mãnushi
handle	mãnar
handful	mãnatã
handy	ndimãnã
skillfulness	ndimãnari
mãdulari	mãdular
lichen	manã
shepherd	mãtricar
feed	mãtric
feed	nutric
obstacle	ambodyiu
prison	ncljisoari
opening	dishcljidzãturã
judge	giudicãtor
arãbushi	arãbush
tally	arãbosh
knife	cutsut
nettle	urdzãcã
cutler	cutsãtar
cutler	cutsitãrii
stab	ncutsut
curteli	curtelã
neighborhood	vitsinãtati
neighborhood	vitsinatã
gurgulji	gurgulj
watchman	avigljitor
vigli	viglã
watch over	priveglju
vipiri	vipirã
embitter	nvipiredz
embittered	nvipirat
pine	dzadã
marble	marmurã
food	pãsturã
pasture	pãshuni
graze	pãshunedz
Lent	cãrleagã
Lent	preasinj
arugoazi	arugoz
reed	shuvar
afindzi	afinã
seatsiti	seatsitã
destiny	scriatã
scriu	scriat
scriu	scriptu
writing	scriiturã
letter	scriturã
sãculji	sãculj
capi	capã
writing	scriari
skull	cãpitsãnã
caftsi	cafcã
cãpitãnji	cãpitãnj
cãpitãnji	cãpitãnjiu
capeli	capelã
bigheaded	cãpos
captain	cãpitan
capitalji	capitalj
hat	cãciulã
cãpi	cãp
Friday	vinjiri
army	oasti
cast	ucljedz
cast	diucljedz
squint-eyed	strãoclju
eighth	uptimi
summit	creashtit
seventy	shaptidzãts
shaptu	shapti
peak	cãrciliu
summit	culmã
ciumi	ciumã
six	shasi
andoila	andoilu
both	amindoilji
antreila	antreilu
drink	biuturã
name	numescu
palji	palj
palji	paljiu
straw	pãljos
arm	armãtusescu
isozmati	isozmã
arãvoani	arãvoanã
engaged	isusescu
honey	njari
neartsi	nearcã
stepfather	nuercu
spiderweb	pãndzinã
spider	merimangã
drop	aleapid
melon	peapini
fish	peashti
fishes	piscãroanji
fisherman	piscãrilji
fishing	piscãrescu
fish	piscuescu
sin	amãrtii
sinful	amãrtios
sin	amãrtipsescu
brick	chirãmidã
picunji	picunj
money	piculj
delouse	dispiducljedz
pitrumtã	pitrumtu
ariseashti	arisescu
liking	plãtseari
rest	amiridz
poplar	plup
orchard	pumet
swineherd	purcar
piglike	purtsescu
spring	prumuvearã
pus	pronj
fester	prunjedz
stony	chitros
stonecutter	chitrar
chitritseali	chitritseauã
threshing floor	aryi
pilicari	pilicar
strãpundzi	strãpungu
Romania	Rumãnia
Romanian	rumãn
Romanian	vlãhut
Romanian	rumãnescu
Romanian	rumãneashti
Aromanian	vlah
Aromanian	vlãhescu
Aromanian	vlahuhoarã
village	hoarã
grochi	groapã
gravedigger	grupar
guvi	guvã
ditch	hãndac
ditch	fusati
bury	ngrop
grupishti	grupishti
graveyard	murmintsã
cemetery	chimitir
cemetery	chimitiriu
grupitsi	grupicã
burial	ngrupãciuni
burial	ngrupari
unearth	dizgrop
bury	murmintedz
peatitsi	peaticã
peatitsi	peatic
mend	mpeatic
hollow	arãm
digger	sãpãtor
pick	sapã
digging	sãpãturã
plug	astup
fame	anamã
uncork	distup
plug	astupãtoari
numb	amurtsãscu
desert	irnjii
lay waste	irmuxescu
desert	pundii
desert	pustilii
solitude	singurami
solitude	singurãtati
solitude	singureatsã
solitary	shcret
revive	anyedz
stranji	stranj
stranji	stranjiu
nviscãmindi	nviscãmindu
see through	strãved
look	videalã
seeing	videari
look	vidzutã
vidzutã	vidzut
clear	limpidzãscu
cãpeastri	cãpestru
dawn	adoarã
see	ndzãrescu
dawn	apiritã
apiritã	apirit
dawn	cripatã
cripatã	cripat
daybreak	hãryii
displace	strãmut
looting	prãdãciuni
loot	pljashcã
priest	popã
prifteasi	prifteasã
priestly	priftescu
feminine	-oanji
she-bear	ursoanji
bear	ursã
rot	putridzãscu
woods	pãduri
wooded	pãduros
afforest	mpãdurescu
lung	plimunã
bread	pãni
morning	dimineatsã
pod	pãstalji
peacock	piunar
wheel	aroatã
roll	arucutescu
charge	nsãrtsinedz
debt	borgi
debt	hreu
borrowing	mprumut
redeem	discumpãr
burdock	brushtir
shame	arushini
shameful	arushinos
ashamed	arushinedz
redden	arushescu
redness	arushiturã
redness	arushatsã
thirst	seati
thirsty	nsitedz
sickle	seatsirã
sickle	seatsiri
sickle	dirpani
sign	simnedz
sparkle	sfuldzir
strike	sfuldzirã
saddle	nshiuedz
saddle	nshel
unsaddle	dishel
knowledge	shtiintsã
skin	coaji
garbage	shilji
seeds	simintsos
insomnia	nisomnu
doze	nsumnedz
sword	apalã
shoulder	spalã
shoulder	plãtari
foam	spumedz
maybe	ghioa
goad	strimburari
narrowing	stringãturã
threads	ljitsã
nest	cuibar
injustice	strãmbãtati
injustice	nidriptati
injustice	adichii
justice	dichii
grimace	strãmbãturã
loosen	distringu
disfatsi	disfac
revenge	arãzgan
unjust	nidreptu
sneeze	shtirnutedz
animate	nsuflitsedz
asurdzashti	asurdzãscu
health	sãnãtati
soap	sãpuni
soapmaker	sãpunar
soapy	sãpunos
fast	agiun
satiety	sãtuleatsã
cut	talj
tãljatã	taljiu
cut	tãljiturã
cut	disicãturã
autumn	tumnãrescu
autumn	tumnatic
autumn	ntumnedz
poisonous	nfãrmãcos
poison	nfarmãc
shake	cutreambur
birch	pilpet
clover	trifolj
wander	cutriyir
early	tahina
path	cãrari
axe	tupoarã
smell	njurizmã
smell	njurzescu
odorous	njurizmos
forget	agãrshescu
forget	xihãsescu
deflate	disumflu
wave	chimã
wave	dalgã
wave	tãlazi
wave	undedz
wavy	undos
nail	unglji
door	derã
dryness	uscãciuni
wasp	yeaspi
wasps	yispar
sting	yispinedz
midsummer	njadzã-vearã
estival	virescu
spend	nviredz
summer	nvireadzã
fade	vishtidzãscu
widowed	veduã
widow	nviduescu
vomiting	virsãturã
dry	vintur
adventurer	vinturatic
dry	zvintu
vervain	yirghinã
wheat	grãneatsã
virgin	virghir
virginity	virghireatsã
virginity	dizvirghir
kid	vitulj
answer	giuvapi
disappear	afãnisescu
love	agãpisescu
love	agapi
love	alughescu
peasant	tsãruhi
vigorous	sãrpit
tulip	pãteadzã
tulip	lalei
payment	arugã
payment	platã
pay	plãtescu
plait	mpiltescu
deceit	vulpilji
-ship	-ilji
-ness	-eatsã
-tion	-ciuni
foreign	striin
wormy	yirminos
roundworm	lãmbric
foreign	strinãtati
foreign	xinãtati
load	ncãrcãturã
praying	ncljinãtor
greetings	ncljinãciuni
idol	idul
entire	ntreg
question	ntribari
ntunicã	ntunic
darkness	ntunearic
darken	ãntunicã
darken	ntunicã
dark	ntunicos
dark	ãntunicos
light	fanã
light	fexi
lantern	fãnari
darkness	scutidi
darken	niguredz
nebulous	niguros
grain	gãrnuts
sieve	tsir
sieve	sitã
goat	cãprinã
goats	cãprindzu
jaw	falcã
jawed	fãlcos
jaw	ciolj
harvest	ayizmu
Ayizmãciuni	ayizmãciuni
crunch	arumin
butcher	cãrnar
butcher	hãsap
elsewhere	aljurea
delirious	aljuredz
cool	avredz
fresh	avros
fan	avritsã
air	aerã
air	airisescu
shave	bãrbirisescu
leek	bãrbutã
leek	prash
cut	disfingu
disfimtã	disfimtu
chestnut tree	cãstãnjiu
chestnut	cãstãnji
cheesemaker	cãshar
cheese	cãshari
nail	cunj
nail	penurã
nail	civii
nail	pirunsescu
cradle	cunã
cradle	leagãn
milk	lãptãrii
hearth	fucurinã
unweave	dizmal
broad bean	fauã
bag	fuljinã
oven	furnu
oven	cireap
baker	furnãgi
baker	ciripar
twitter	gãrãescu
monk	cãlugãr
donkey	shonj
donkey	cãci
donkey	tãronj
donkey	uci
donkey	dãngã
donkey	dãnglãrã
donkey	uricljat
ear	ureaclji
foolish	gumãrescu
rummage	gurnjescu
pinch	chipin
wall	greb
wall	stizmã
working day	lãlãtoari
brown	murnu
brown	oacljish
meet	andãmusescu
reunion	andamusi
cross	stãvrusescu
meet	alãhãescu
meet	astalj
meet	cunushtusescu
meet	astihãsescu
fir	brãdet
happy	hãrios
pedal	puduritsã
loom	arãzboi
vinegar	puscã
Communion	pãrtãciuni
Holy Communion	cumnicãturã
division	mpãrtãciuni
weed	sãrcljedz
hoe	prãshescu
weed	plivescu
salt lick	sãrinji
salt cellar	sãrãtor
ashes	sprunã
ashes	spuzã
garter	stringlji
wool	suelj
shear	suiljedz
wool	sumã
sun	nsurinedz
saw	sharã
saw	nsher
chickpea	tseatsiri
chickpea	arivitclju
useless	vãnãt
vanity	vãnãtati
wind	austru
north	nordu
east	datã
west	ascãpitatã
hornbeam	carpin
blind	urghescu
blindness	urbari
blindness	urbeatsã
low	mudzescu
lowing	mudzit
neigh	arujescu
bleat	azgher
bitterness	amãrãciuni
bitterness	amãreatsã
twin	biznat
heavy	ngrec
heavy	ngriunedz
tongs	cleashti
encircle	ntsircljedz
spun	cheadin
arch	pergurã
among	njadzã
rest	arãpãsedz
rest	arãpas
eat	purintu
meal	purindã
down	dighios
woof	tramã
weave	trãmedz
unweave	distrãmedz
laziness	leani
small change	minutsalji
small change	minutsami
small change	ljanumã
sorrow	cãnjinã
bowl	cãtsãn
skull	cocã
limp	shcljoapic
lame	shcljop
near	aproapi
near	aproapea
law	leadzi
law	zãcon
they	nãsi
her	ljei
him	ãl
him	ãlj
dãsã	dãs
dãs	dãsã
your	tãu
our	noastrã
your	voastrã
this	aestã
restrain	stãpuescu
tow	fuljor
testicle	colj
testicle	coljiu
testicles	coalji
testicle	boashã
drinker	biutor
fall asleep	adormu
mortar	bãtalji
hunter	avinãtor
game	avinatic
Gypsy	cinghine
Gypsy	yiftu
ambrãtsatã	ambrats
ambrãtsatã	mbrats
ambrãtsitatã	ambrãtsitedz
embrace	ambrãtsishedz
chide	dizbash
rough	ascur
dough	asfingu
foam	spumig
pathos	patus
arese	ared
cart	carotsã
cart	cãrutsã
carter	cãrutsar
carriage	caretã
ascent	anifur
hen	puljicã
whiteness	algheatsã
heat up	ncãluredz
heat up	ncãlduredz
take a bath	ascaldu
bathing	ascãldãtoari
lucreadzã	-eadzã
wait	adastu
watch	pãndixescu
nit	lindinã
illness	tetã
tilled	arãturã
tiller	arãtor
ploughman	araci
copper	aramã
copper	bãcãri
cellar	tsilar
God	dumidzelu
beech	fagu
ascumtã	ascumtu
blow	ahulescu
feel	pusputescu
gold	malamã
headscarf	baltsu
rash	blãndã
cowherd	buyear
hemp	cãnichishti
cupirire	coapir
discover	discoapir
sin	crimã
stomach	cljigur
lock	ncljiedz
lock	ncljei
unlock	dishcljiedz
Kastoria	Cljisura
bleed	ncruntu
pull	deapir
kidney	riniclju
reel	deapin
disfãshatã	disfash
thunder	ditun
thunders	ditunã
thunders	tunã
detach	dizgljin
unlearn	dizvets
resound	arãsun
furuncle	furuntsel
avdi	avd
acorn	gljindurã
swollen	gljinduros
eat	mbuc
half	giumitati
praise	alavdã
praise	alãvdãciuni
tear	dizvoc
luminous	lunjinos
boat	lãndurã
thousand	njilji
muscular	mushcljos
vegetable oil	ladi
parish	enurii
people	pupul
crowd	multimi
snack	mirindu
turtle dove	turturã
turtle dove	turtureauã
doll	pupushi
penis	pulã
penis	putsã
penis	putsãrã
foreskin	priputsã
greasy	umtos
shaving	arãsãturã
rise	arsar
hem	arufec
dew	arauã
rust	arudzinã
woolen	saricã
frieze	saric
Sarakatsani	sãrcãcean
cãshledz	cãshleagã
shake	ascutur
resting place	scrob
rye	sicarã
sicatã	sicat
feeling	simtsiri
feeling	sãmtsãri
aspartã	aspartu
hellebore	spingiu
bush	tufã
armpit	sumsoarã
armpit	soarã
punch	shuplu
baby	tsup
slap	shuplic
suli	sulã
ashtearsã	ashtersu
silence	tãtseari
anywhere	iutsido
timnjami	timnjamã
trouble	turbur
troubled	turburi
infuriated	turbu
herd	turmã
tortoise	catã
whoever	tsenushcari
shady	aumbros
shade	aumbredz
burn	ustur
stiffen	sturusescu
dzãmari	dzamã
recover	nsãnãtushescu
healthy	sãnãtos
recover	sãnedz
indebted	dãtor
bucket	ciuturã
turti	turte
four	patur
cãntãtori	cãntãtoru
hundred	tsentu
hundred	tsendu
oat	vrome
laud	lavdu
rest	amiridzu
rest	njiridzu
rest	mirizedz
bucket	gãleatã
truth	delihea
dushmanj	dushman
thaw	jigãrditsã
broad-shouldered	plãtãros
broad-shouldered	bãtalcu
white	bardzu
God	Domnu
mother	dadã
middle	namisa
mother	dodã
head-on	fanara
story	pãrãvulii
promise	tãxescu
try	duchimãsescu
genuine	aslã
force	fortsã
phantom	boshi
dragon	lamnji
gold	avru
prince	printsu
courageous	babagean
babashacan	babashcu
dictionary	dictsiunar
glossary	glusar
philology	filuluyii
pen	cundilj
page	filã
page	padzinã
Pindus	Pindu
tãyiate	tayi
urine	chishat
vagina	chizdã
cave	gãlume
cave	pishtireauã
cellar	pleamitsã
cellar	izbã
chocolate	ciuculatã
trap door	glãvãnie
hole	crubã
fovea	fiju
enemy	dushmanu
owl	bufu
owl	bufã
center	chentru
frosty	brumos
-ity	-ãtate
dzetsi	dzec
center	tsentru
Aromanian	rãmãneshti
ete	chiãro
beauty	mushuteatsã
February	fivruar
frendzi	freng
fremte	fremt
fucãrãdz	fucãrã
caimenã	caimen
orfãnj	orfãn
orphanhood	urfanja
fucaradz	fucãre
agudite	agudest
foreign	curbeti
city	pãzari
tseni	tsen
night	nopti
di	fomi
est	rãmen
Aromanian	rrãmãneshti
agiundzi	agiung
ashtãptate	ashtept
this	aistã
ashterse	ashterg
know	cãnost
wax	tsiare
adãyiate	adiyi
spring	prãmviare
blow	sufl
autumn	tomne
heart	inãme
greshti	grest
zbureshti	zburest
vãdzute	vãdzut
seeing	vãderi
dig	tsap
grave	mãrmint
ditch	hãndachi
pãtretsi	pãtrec
scissors	furtuchice
zdãfatsi	zdãfac
jdãchidi	jdãchid
woman	muyieri
liver	hiãcat
untie	zdãleg
cãrpãturi	cãrpãture
cãrpate	cãrpat
cross	cãrutsi
over there	napãrti
donkey	yumar
inflate	umfl
rãmãn	arãmãn
sow	purtsiau
scãnteli	scãntiau
moyie	moyi
female	sotse
turn over	arãstor
vomiting	vãrsãture
umple	umpl
asparte	asparg
disembowel	zdãmats
unglue	zdãlãchiest
eyebrow	sufurtsiau
glue	alãchiest
tushite	tushest
zdãcarche	zdãcarc
blacken	lãest
lundzite	lundzest
widen	lãrdzest
roundworm	lumburic
wormy	yiãrmãnos
guest	ospi
gãrose	gãros
tall	analt
anãltsate	analts
church	bãserãche
engaged	susest
lãpseshti	lãpsest
arãvdate	aravd
vinegar	pusche
ahurhite	ahurhiest
chiãsite	chiãsest
shurate	shur
chill	arãtsest
cold	arãcori
blood	sendzi
skin	chieli
try	pruvuest
fets	fatse
yellow	gãlbãnest
redden	arushest
ashamed	arushunedz
shame	arusheni
shame	rusheni
shameful	arushunos
shameful	rushunos
ashamed	rushunedz
nephew	nãpot
nãpoti	nãpote
priest	preft
surdzeshti	surdzest
number	tinirami
young	tinãr
arãseashti	arãsescu
arãseshti	arãsest
Sunday	dumenãche
pasc	pãshune
nettle	urdzeche
Aromanian	urdzãcoanji
aduchite	aduchiest
achiãcãsite	achiãcãsest
anywhere	iutsãdo
two	antserts
pisusite	pisusest
forget	agãrshest
onion	tsiape
meet	astayi
meet	andamusest
ashtiare	ashter
stãcurate	stãcor
tail	cuditse
tail	cuditsã
olive	masãne
olive tree	masãn
nvãscute	nvest
mouse	shorãc
entire	antreg
Gypsy	ghiftu
Gypsy	curbet
Gypsy	gheghiftu
clover	tãrfoyi
cut	dãsãcãture
cut	tãyiãture
lame	shchiop
pãstrite	pãstrest
card	scarmãn
solitude	singurãtate
voice	botsi
small	cãrãricã
path	munupati
wedding	numtar
wedding	nuntar
wedding	lumtar
darkness	scutide
darkness	scutidhi
ndultsite	ndultsest
two	dauã
two	doauã
lip	buzã
soft	molav
softness	muliciune
softness	moliciuni
arupte	arupt
snow	aneauã
large	pãdurami
shameful	arshinos
ashamed	arshinedz
shame	arshini
soap	sãpunãrii
caught	furtunat
slope	catifur
ascending	anifuros
descending	catifuros
breasty	tsãtsos
breastfeed	tsãtsuescu
threat	fuverã
threaten	fuvirsescu
name	mecan
farter	bishinos
fart	bãshene
farter	bãshãnos
fart	bãshãnedz
fart	bishinedz
wound	pliguescu
wound	pliguest
wound	yirã
greet	cãlimirsescu
large	celnic
number	cilnicami
families	fãlcari
member	fãlcãryiot
sense	noimã
profession	cilnicatã
celnic	cilnicoanji
cheese	brãndzã
place	strungã
place	strãgã
shepherd	picurãrush
television	tilivizor
TV	tilivizoru
interest	intires
interest	sinfer
fairy	argheandã
demijohn	damageanã
icon	icoanã
iconostasis	icunustas
maker	icunar
snake	nipãrticã
viper	uheauã
purse	pungã
small	punghitsã
excrement	baligã
dung	bãligos
quartz	sturnari
siliceous	sturnãros
Albanian	arbines
Albanian	ghegan
Latin	lãtin
nomad	numad
small	cãmpic
small	cãmpish
plains	cãmpean
plains	cãmpar
inhabitant	Iurucastrit
monastery	mãnãstir
spring	izvur
small	izvuric
vein	dãmar
Aromanians	vlãheashti
Aromanian	rãmene
Aromanian	fãrshirot
Epirus	Ipir
inhabitant	ipirot
inhabitant	culunjat
region	Culonja
Aromanian	grãmustean
grãmustean	grãmustinescu
old	Gramusti
Aromanian	Migidei
Aromanian	migidon
inhabitant	pindean
Aromanian	Grabuva
Aromanian	grãbuvean
Aromanian	Tavan
cocoa	cacauã
sugar	zahãri
philologist	filulog
inside	nãuntru
multitude	arbinishami
Albanian	arbinishescu
Albanian	arbinishashti
Bulgarian	vurgar
multitude	vurgãrami
multitude	vãrgãrami
multitude	muljirami
manly	bãrbãteashti
brotherly	frãtseashti
vernal	prumuvirescu
vernal	primuvirescu
university	univirsitati
quantity	firitsimi
est	rrãmen
Aromanian	rrãmene
happiness	harauã
buttermilk	dhalã
buttermilk	dalã
hearth	vatrã
small	vãtricã
pelican	pilican
flag-bearer	flãmburar
hypocrisy	ipucrizii
hypocrite	ipucrit
actor	teatrin
bee	alghinar
multitude	alghinami
monarchy	munarhii
monarch	munarhu
lawyer	avucat
lawyer	avucãtlichi
lawyer	dichigor
Aromanians	rãmãnii
history	isturii
narrate	isturisescu
tom-cat	macioc
Romania	Rãmãnia
water	shopatu
statue	agalmã
little	fiticã
little	fititsã
girls	fitami
lion	ljundar
butterfly	pitãludhã
butterfly	pitãludã
people	ratsã
Romanian	mucãneashti
Romanian	mucãnescu
Romanians	mucãnami
Aromanians	armãnii
armãn	Armãnii
Romania	Armãnia
fruit	frutã
belt	cureauã
beltmaker	curilar
beltmaking	curilãrii
belt	curau
insurrection	panastasi
insurgent	epanastat
till	pãnã
prostitute	putanã
prostitute	curvã
brothel	putanaryio
prostitutes	putãnescu
curse	blãstem
devil	sãtãnã
brandy	arãchii
brandy	rãchii
aurãtã	aurãscu
ugly	urãt
helicopter	ilicupter
helicopter	elicupter
officer	axiumatico
communism	cumunizmo
engineer	mihanico
Albanian	alvano
olive oil	untulemnu
greasy	umturos
small	arburic
potato	pãtatã
potato	patatã
tomato	dumatã
tomato	tumatã
salad	salatã
small	tsipicã
small	prãvdicã
yogurt	mãrcat
yogurt	mãrcãtãgi
psychopath	psicupat
psychopath	psihupat
plumber	idhravlico
bed	crivati
bed	cãrvat
prostate	prustat
Christendom	crãshtinami
ant-hill	furnicami
expensiveness	scumpeti
expensive	scumpu
psychopathy	psicupatii
psychopathy	psihupatii
ant-hill	furnigami
wet nurse	paramumã
little	tãtic
brother-in-law	bãginac
today	azã
day after tomorrow	pãimãni
lãvose	lãvos
man	cinushar
street	sucachi
throat	gurmadz
has	lãmbricos
has	limbricos
sharp	sumigos
discussion	muabeti
rifle	tufechi
cloak	tãmbari
strong	caimo
this year	aestan
small	pãduricã
hotel	utel
child	cilimean
dough	tãrhãnã
suffer	vuest
maker	tsãruhar
maker	tsãngar
use	purduruest
French	frãncu
United States of America	Amirichii
American	amirican
American	amiricãnescu
Americans	amiricãneashti
German	ghirman
Germany	Ghirmania
Greek	grache
talkative	limbar
barber's	birbirii
barber's	barbirii
understand	aduchescu
food	ghelã
cook	ghelãgiu
appetite	orixi
rennet	rãndzã
rennet	arãndzã
freeze	nghets
Christian	crãshtin
Christianly	crishtineashti
Christianly	crishtineashte
Christianize	crishtinedz
tear	lacrãmã
tearful	lãcrãmos
shed tears	lãcrãmedz
tear	lãcrimeauã
rennet	rendze
rennet	rrendze
razor	xurafi
shave	xursescu
shave	sursescu
shave	sursest
razor	surafi
Romania	Mucãnia
ghegan	ghigãnescu
ghegan	ghigãrii
ghegan	Ghigãrii
golden eagle	iupurar
Macedonia	Machidunii
Macedonian	machedonescu
Romanian	vlãhutescu
Aromanian	rãmãnescu
Aromanian	rrãmãnescu
Macedonia	Machedonii
shoulder	pultari
broad-shouldered	pultãros
shoulder	pãltari
broad-shouldered	pãltãros
Cristian	Cristi
day after tomorrow	puimeni
maybe	nacã
if	macã
light	efcul
lightly	efcula
youth	gioni-aleptu
half	giumãtati
Skopje	Bitule
complete	mburest
Kruševo	Crushuvã
Voskopojë	Moscopole
mushche	mushc
loom	rãzboi
Thesprotia	Yuminitse
Thesprotia	Sãyiadhe
Albanian	rãnjot
Albanian	rãnjote
fern	ferãche
forty	paturdzets
chimney	ugeac
Aromanian	urdzãcoanje
feminine	-oanje
she-bear	ursoanje
she-wolf	lupoanje
she-wolf	luponje
hungry	fumitos
vinegar	puscar
gastric	puscãiturã
bridegroom	yrambo
bridegroom	gambro
bridegroom	grambo
belly	pãnticos
multitude	piducljami
louse	biduclju
multitude	biducljami
lousy	biducljos
small	minciush
inside	nunt
inside	nuntru
shovel	lupatã
shovel	lupãtar
cross	cãrutse
small	crutsicã
wax	chirusescu
always	totãna
