cloudy	gp
encampment	ꜥfꜣy
yell	nhm
saying	r ḏd
drink	zwr
desire	ꜣbj
afraid	snḏ
think	ḫmt
plan	kꜣj
command	wḏ
start	šꜣꜥ
plunder	ḥꜣq
victorious	nḫt
split apart	pšn
skull	ḏnnt
part	jwd
flat piece	pꜣqt
perish	skj
bar	ḫsf
answer	wšb
physically support	twꜣ
take	jṯj
speak	mdwj
totter	nwtwt
ascend	sꜥr
bring about	sḫpr
multiply	sꜥšꜣ
eat	wnm
shine	psḏj
meat	ꜣšr
perish	ꜣq
gather	sꜣq
inferior	sꜣgꜣ
Atef	ꜣtf
oversee	ḫrp
craftsmanship	ḥmwt
high priest	wr-ḫrp-ḥmwt
image	tjt
name	ꜣꜣtꜣ
brain	ꜣjs n ḏnnt
epithet	nb-ꜣꜥꜥw
unite	jꜥb
tread	ḫnd
female baboon	jꜥnt
gluttony	ꜣfꜥ
gorge	ꜣfj
foreign land	ḫꜣst
bring	jnj
encounter	ṯḥn
monthly provision	ꜥqw
one	tw.tw
then	ꜥḥꜥ.n
so then	wn.jn
so then	wn.ḫr
call	jꜣš
spread open	pgꜣ
message	wpwtj
cry out	sbḥ
door	rwt
work	bꜣk
everyone	ḥr-nb
praise	jꜣw
massage	ꜥmꜥm
rub	zjn
voice	ḫrw
Upper Egypt	ẖn-nḫn
lift up	wṯz
stomach	r-jb
smash	ḥḏj
sharp	spd
sharpen	sspd
wretched	ẖzj
early morning	dwꜣw
captain	sḫry
epithet	jmn-rn.f
epithet	nb-nswt-tꜣwj
consult	nḏnḏ
grab hold	nḏrj
make known	srḫ
look	dgj
pull	jtḥ
wash	jꜥj
humankind	tꜣ-tmw
judge	wḏꜥ
yourself	ḏs.k
ritual dancer	mww
companion	rḥw
epithet	rḥwj
deviate	nwd
turn	mḏrj
there is no	nfr pw
not	nfr n
cross	ḏꜣj
sandal	ṯbwt
direct	mꜣꜥ
excitement	ḥꜥꜥwt
probably	smwn
arrive	spr
as well	mjtt
indeed	wnnt
clothe	ḥbs
moreover	grt
hail	j.nḏ ḥr
no	m-bjꜣt
yes	tjw
healthy	snb
Akhenaten	ꜣḫ-n-jtn
light	ḥꜣyt
soft	gnn
negatival complement	-yw
ennoble	špss
turned upside down	pꜣḫd
ruined	wꜣsj
runny	nḏꜣḏꜣ
bring in	sꜥq
heat	sšmm
distinguish	sṯnj
woe	jꜥnw
water	wꜣw
mythical mountain	bꜣẖw
lean	rhn
behead	ḥsq
sandaled	ṯb
god Sokar	zkr
among	mꜣꜥ-ḫrw
excited	ḥꜥj
Upper Egypt	jt-šmꜥ
settlement	jw-m-jtrw
settlement	jwnj
troopship	skt
downstream	m ḫd
cut off	šꜥd
front	m bꜣḥ
light	stj
weapon	ꜥḥꜣw
lie down	sḏr
sweet	bnr
intact	ꜥḏ
join	ẖnm
welcome	jj.tj
farewell	snb.tj
boil	snwḫ
alone	wꜥj
spend	wrš
hungry	ḥqr
thirsty	jbj
join together	dmḏj
nomen	ꜥnḫ ḏt
protect	stp-zꜣ
palace	pr-nswt
if you please	snb.t ꜥnḫ.t
send	hꜣb
responsibility	mdt m ḥr
grasp	ꜣmm
destroy	sksk
sheaf	qnj
praise	ḥknw
war god Montu	mnṯw
way	mṯn
cargo	jnw
distant	wꜣj
evil	ḏwt
rebellion	sbjw
feebleness	wgg
offering	ḥtpwt
girl	ḥwnt
build	qd
endure	ḏdj
supper	msyt
behind	r sꜣ
evening	ḫꜣwj
relaxation	nfr jb
retreat	ḫtj
report	smj
split	wpj
alight	ḫnj
fringe	sdb
box	ꜥfḏt
jaw	ꜥrt
inheritance	jwꜥt
throne dais	ṯnṯꜣt
heap	ẖꜣyt
little	šrr
stinging insect	ḫnws
boy	jdw
stall	jhm
right	wnmj
literature	mdt nfrt
rebel	sbj
provide	ḥtm
gang	zmꜣyt
biased	nmꜥ
rich man	ḫwd
frivolous	wnf jb
succeed	spr r dmj
dried out	wšr
conceive	jwr
Nile catfish	nꜥr
row	ẖnj
reverse	ḫtḫt
approach	tkn
mound	jꜣt
defecate	fgn
moor	mjnj
past	swꜣj
young	rnpj
clean	swꜥb
raise	sqꜣj
quake	smnmn
call	njs
daily	m ẖrt-hrw
offering	wdḥw
ring	šꜣqw
light	stꜣ
flame	tkꜣw
hit	ḥwj
lash	šsm
significant building	ḥwt-ꜥꜣt
slaughter	ḫryt
account	jp
doorkeeper	jrj-ꜥꜣ
sailor	sqd
mine	bjꜣ
sated	sꜣj
offer	drp
reveal	prj ẖr
cut short	sjꜣt
barley	jt-mḥ
poor	mꜣr
water	mḥj
inquire	nḏ
consult	nḏ r
seek	ḏꜥr
Ta-wer	tꜣ-wr
cause	shꜣj
never	nn zp
reproach	ḏbꜥw
correct	ꜥqꜣ
shelter	njꜣj
cold	ḥs
harsh	kꜣhs
rob	ꜥwꜣj
worker	kꜣwtj
exempt	ḫwj
protect	mkj
fool	wḫꜣ
cadaster	ṯmꜣ
nest	zš
official	zẖꜣw n ṯmꜣ
might	wsrw
upstream	ḫntyt
roast	mꜥq
this	pꜣw
wrongdoing	ḏꜣyt
never	nj zp
evil	ḏwj
successfully reach	mjnj zp
old	jꜣwj
east	jꜣbt
eastern	jꜣbtj
correctness	mtt
Avaris	ḥwt-wꜥrt
flee	wtḫ
drive forth	nš
character	bjꜣt
noble	šps
set down	wdn
hourly staff	wnwt-ḥwt-nṯr
Megiddo	mjktj
Kadesh	qdš
haste	ḫꜣz
bowman	pḏtj
engage	ẖꜥm
opponent	ḏꜣyw
celebrate	ḥꜣbj
emmer	bdt
midst	ḥrj jb
temple	jpt-swt
plant	smw
creeping plant	snwtt
plant	qꜣdt
flower	jrj ḥrrt
lotus flower	zšn
lighten	sjzj
worthiness	jmꜣḫ
revered	jmꜣḫw
hieratic sign	𓍴
afflicted	jnd
flesh	jwf
jw.f	jf
offering	ḥtpt
clamor	kj
carrying pole	jnjwbꜣ
really	yꜣ
extent	ꜣw
happiness	ꜣwt-jb
eternally	m ꜣwt ḏt
generous	ꜣwj ḏrt
lay hands on	ꜣwj ḏrt r
extend	ꜣwj-ꜥ
epithet	ꜣwt-ꜥ
plant	ꜣwšꜣ
drive out	ꜣwḥ
happy	ꜣw-ḥr
tremble	ꜣwr
serve	ꜣwḫ
balance scales	jwsw
horn	wpt
enemy	ḫrwy
greedy	ꜥwn-jb
rebel	bšṯ
north	mḥtt
prison	ḫnrt
criminality	ḫnrtt
pass	znj
great distress	znj mnt
royal servant	ḥm-nswt
flee	wꜥr
nj jnk	nnk
nj sj	nsj
ignorant	ḫm
vicinity	hꜣw
tilt	gsꜣ
disturbance	ẖnnw
wooden mallet	ḫrpw
mooring post	mjnt
best oil	ḥꜣtt
myself	ḏs.j
rot	ḥwꜣ
smash	gmgm
burn up	nznzn
forget	smḫ
suckle	snq
grasp	ḫfꜥ
.ṯn wj	.ṯnwj
sound	swḏꜣ
inform	swḏꜣ jb
contest	mdwj m
middle	qꜣb
court	šnwt
wish	ḫrt-jb
trouble	ẖnn
cut off	šꜥ
pound	ḫwzj
set up	sꜥḥꜥ
drive off	sḥrj
make appear	sḫꜥj
take	ṯꜣj
comb	ꜥꜥb
hair	šnj
join	zmꜣ
open	zn
umbilical cord	ẖpꜣ
reed matting	zḥ
pull	sṯꜣ
false door	r-pr
carry off	jṯꜣ
except	wpw
sheriff	jmj-r šnt
close	tmm
border	tꜣš
consecutive	.jn
steering oar	ḥpt
Great Pyramid of Giza	ꜣḫt-ḫw.f-wj
pyramidion	bnbnt
hapax legomenon	ḫt-n-šnj
knead	hbhb
immediately	ḥr ꜥ
immediately	ḥr ꜥwj
side	gbꜣ
western	jmntj
inundated	wꜣḫj
waddle	ḥbꜣbꜣ
obligative	.ḫr
winnow	ḫꜣḫꜣ
tent	jꜣmw
rush	jꜣrw
urinate	wzš
worm	ḥsbwt
overturn	pnꜥ
wise	sbq
turquoise	mfkꜣt
these two	jpwj
potentialis	.kꜣ
move about	wnwn
brighten	sḥḏ
choice cut	stpt
leg	wꜥrt
late	wdfj
seal	ḫtm
slaughterhouse	nmt
turn back	ꜥnn
grow	srd
rear	snḫn
worm	fnṯ
throw	qmꜣ
brood	wꜣ
sole companion	smr-wꜥtj
emerge	bzj
ground	zꜣṯw
perforation	thm
seek	ḥḥj
adult	nḫt-ꜥ
says	ḫrw.fj
temple	jmj-r ḥwt-nṯr
replacement	ḏbꜣw
Eye of Horus	jrt ḥr
funerary ritual	wpt r
popular funerary text	jmj dwꜣt
transport	sḏꜣ
hearer	sḏmw
circumpolar star	j.ḫm-sk
soften	sgnn
travel	sqdj
quell	sjdj
slaughter	zfṯ
recall	sḫꜣj
break	sdyt
reject	wjn
wife	ḥbsyt
deflect	wꜥf
horn	ꜥb
tenant farmer	nswtyw
previously	ḏr bꜣḥ
aware	šsꜣ
green	swꜣḏ
welcome	jjwj
dispel	ḫsr
fisherman	wḥꜥ
yoke	ḥtrw
repulse	dꜣr
robbery	ꜥwꜣ
beside	r gs
conceal	ḥꜣp
wick	gmḥt
epithet	ḏj ꜥnḫ
epithet	ḏj ꜥnḫ ḏd wꜣs
being atop	ḥrj-tp
hypostyle hall	jwnyt
festive	sḥꜣbj
woman	zt-ḥmt
people	fnḫw
violate	tkk
rejoice	ršw
observe	gmḥ
ox	skꜣ
high priest	wr-mꜣw
give up	fḫ
fish	nḫꜣw
worship	dwꜣ
attach	sdmj
brighten	sbꜣqj
wreck	sꜥsꜥ
beautify	sꜥnj
strip	sḥꜣj
belonging	dwꜣtj
little	ktt
prayer	zšꜣ
goddess Sekhmet	sḫmt
multitude	ꜥšꜣt
epithet	stp.n-rꜥ
funerary gift authorize	ḥtp-ḏj-nswt
sacred	ḏsr
necropolis	tꜣ-ḏsr
epithet	nb-tꜣ-ḏsr
epithet	nb-ꜣbḏw
epithet	nṯr ꜥꜣ
god Wepwawet	wp-wꜣwt
funerary offering	prt-ḫrw
linen cloth	sšrw
food	ḏfꜣ
acquaintance	rḫ-nswt
desert	zmyt
white bread	t-ḥḏ
daily	rꜥ nb
delay	swdfj
finery	špssw
physically painful	qsn
forgetful	mhj
analogous	mjwj
colophon	jw.f pw
colophon	jw.s pw
rear	pḥwj
