water buffalo	ຄວາຍ
eighty-three	ແປດສິບສາມ
eighty-four	ແປດສິບສີ່
eighty-five	ແປດສິບຫ້າ
eighty-six	ແປດສິບຫົກ
eighty-seven	ແປດສິບເຈັດ
eighty-eight	ແປດສິບແປດ
eighty-nine	ແປດສິບເກົ້າ
ninety-two	ເກົ້າສິບສອງ
ninety-three	ເກົ້າສິບສາມ
ninety-four	ເກົ້າສິບສີ່
ninety-five	ເກົ້າສິບຫ້າ
ninety-six	ເກົ້າສິບຫົກ
ninety-seven	ເກົ້າສິບເຈັດ
ninety-eight	ເກົ້າສິບແປດ
ninety-nine	ເກົ້າສິບເກົ້າ
grandchild	ຫຼານ
first person	ຜູ້ຂ້າ
he	ຂ້າເຈົ້າ
first person	ຂ້າພຣະພຸດທະເຈົ້າ
use	ໂດຍຂ້ານ້ອຍ
I	ກູ
we	ຕູ
we	ຕູຂ້ອຍ
we	ຕູຂ້າ
cabbage	ກະລ່ຳປີ
authority	ອາດຍາ
newspaper	ໜັງສືພິມ
rope	ເຊືອກ
god	ພຣະອົງ
Laos	ພຣະຣາຊອານາຈັກລາວ
north	ທິດເໜືອ
direction	ທິດ
north	ເໜືອ
south	ໃຕ້
red	ແດງ
opium	ຝິ່ນ
technology	ເຕັກໂນໂລຊີ
text	ຂໍ້ຄວາມ
operating system	ລະບົບປະຕິບັດການ
mobile phone	ໂທລະສັບມືຖື
electric	ໄຟຟ້າ
ໝາກ	ໝາກນັດ
dragon fruit	ໝາກມັງກອນ
ແມ່	ແມ່ເຫຼັກ
chair	ເກົ້າອີ້
bedroom	ຫ້ອງນອນ
hot	ຮ້ອນ
intrude	ບຸ
leave	ປະ
capacity	ຈຸ
puncture	ເຈາະ
practice	ຫັດ
slow	ຊ້າ
ຊ້າ	ຊ້າໆ
quick	ໄວ
quickly	ໄວໆ
ນ້ຳ	ນ້ຳດື່ມ
guest	ແຂກ
ລູກ	ລູກຄ້າ
litre	ລິດ
kilo	ກິໂລ
ອັນ	ອັນເຂັ່ຽຂີ້ກອກຢາ
ອັນ	ອັນໂຄະຂີ້ຢາ
discard	ເຂັ່ຍ
ໂຮງ	ໂຮງງານ
post office	ໄປສະນີ
university	ມະຫາວິທະຍາໄລ
dessert	ຂອງຫວານ
sweet	ຫວານ
safe	ປອດໄພ
ຕູ້	ຕູ້ນິຣະໄພ
ນ້ຳ	ນ້ຳຕົກ
cave	ຖ້ຳ
ແຂງ	ແຂງແຮງ
bake	ອົບ
ປ້ຳ	ປ້ຳນ້ຳມັນ
ຕຳ	ຕຳຈອກ
hit	ຕຳ
sugar cane	ອ້ອຍ
glutinous rice	ເຂົ້າຫລາມ
mortar	ມອກເຈ
wine	ແວງ
money order	ມັງດາ
postman	ຟັກເຕີ
billard	ບີຢາ
whale	ບາແລນ
cement	ຊີມັງ
box	ແກັດ
cucumber	ສະສາ
pho	ເຝີ
die	ເຈດ
group	ຊຸມ
ຮູ	ຮູດັງ
open	ປືດ
rupee	ຣູປີ
accident	ອຸປະຕິເຫດ
ຊ່າງ	ຊ່າງມືມັນຍາກ ຊ່າງປາກມັນງ່າຍ
gratification	ອົດສົ້ມໄດ້ກິນຫວານ ອົດຄ້ານໄດ້ເງິນຄຳ
revolution	ການປະຕິວັດ
hairdresser	ຊ່າງຕັດຜົມ
music	ດົນຕີ
cube	ລູກບາດ
child	ລູກ
die	ລູກເຕົ໋າ
die	ອັກຂະ
socialism	ສັງຄົມນິຍົມ
pen	ປາກກາ
cleaver	ປັງຕໍ
coconut milk	ກະທິ
elder brother	ອ້າຍ
yoghurt	ນົມສົ້ມ
glue	ກາວ
find	ບອກ
Songkran	ສົງການ
raincoat	ເສຶ້ອກັນຝົນ
ຜູ້	ຜູ້ລີ້ໄພ
mathematics	ຄະນິດຕະສາດ
can	ກະປ່ອງ
gizzard	ໄຕ
fat	ຕຸ້ຍ
ໃຍ	ໃຍແມງມຸມ
accent	ສຳນຽງ
knot	ປົມ
salty	ເຄັມ
sour	ສົ້ມ
gold	ທອງ
ask	ຖາມ
smell	ດົມ
poison	ພິດ
green	ຂຽວ
machete	ພ້າ
purple	ມ່ວງ
send	ສົ່ງ
too much	ເກີນ
ຂົນ	ຂົນຕາ
airplane	ຍົນ
ລອຍ	ລອຍນ້ຳ
rubber	ຢາງ
smile	ຍິ້ມ
dirt	ຕົມ
feather	ຂົນ
pen	ບິກ
Korea	ເກົາຫຼີ
tired	ເມື່ອຍ
place	ສະຖານທີ່
sweep	ກວາດ
here	ທີ່ນີ້
kiss	ຈູບ
pull	ດຶງ
beach	ຫາດ
skin	ໜັງ
rock	ຫີນ
mushroom	ເຫັດ
pair	ຄູ່
paternal grandfather	ປູ່
deep	ເລິກ
thing	ເຄື່ອງ
tofu	ເຕົາຮູ້
goods	ສິນຄ້າ
sew	ເຍັບ
land	ແດນ
Luxembourg	ລຸກຊຳບົວ
ໝາກ	ໝາກໝັ້ນ
ຄວາມ	ຄວາມເຈັບ
anchor	ສະມໍ
ບູຮານ	ບູຮານວິທະຍາ
ຫອຍ	ຫອຍນ້ຳຈືດ
cherry	ໝາກເຊີຣິ
strawberry	ໝາກສະຕໍເບີຣີ
brush	ຟອຍ
ໄມ້	ໄມ້ກວາດ
Laotian rock rat	ຂະຍຸ
fried rice	ເຂົ້າຜັດ
group	ກຸ່ມ
lesson	ບົດຮຽນ
angry	ຄຽດ
angry	ພິໂລດ
bride	ເຈົ້າສາວ
ແປ້ນ	ແປ້ນພິມ
ore	ແຮ່
width	ຄວາມກວ້າງ
Africa	ອາຟຣິກກາ
empire	ຈັກກະພັດ
ແນະ	ແນະນຳ
who	ໃຜ
fermented	ແໜມ
knock	ເຄາະ
knock	ໂຄະ
earthworm	ໃສ້ເດືອນ
earthworm	ກະເດືອນ
earthworm	ຖັກແທ່
ຣັຖ	ຣັຖປະຫານ
handkerchief	ຜ້າເຊັດໜ້າ
wipe	ເຊັດ
ເດືອນ	ມັງກອນ
vulture	ແຮ້ງ
20	໒໐
profession	ອາຊີບ
heaven	ສະຫວັນ
ສາວ	ສາວເສີບ
continent	ທະວີບ
dew	ນ້ຳຄ້າງ
ring	ແຫວນ
sow	ຫວ່ານ
ເກີນ	ເກີນໄປ
air conditioner	ເຄື່ອງປັບອາກາດ
be	ຄື
monument	ອານຸສາວະລີ
ພະ	ເຍຊູ
ພະ	ເຢຊູ
boiled egg	ໄຂ່ຕົ້ມ
fermented	ເຕົ້າຈ້ຽວ
mat	ເສື່ອ
genitalia	ອະໄວຍະວະເພດ
discard	ຖິ້ມ
relationship	ຄວາມສຳພັນ
factor	ປັດໄຈ
mask	ໜ້າກາກ
thesis	ວິທະຍານິພົນ
statistics	ສະຖິຕິສາດ
theory	ທິດສະດີ
forget	ລືມ
porcupine	ເໝັ້ນ
structure	ໂຄງສ້າງ
discuss	ໂສ
parliament	ລັດຖະສະພາ
sport	ກີລາ
vase	ແຈກັນ
hero	ວີລະບຸລຸດ
bitter melon	ຟັກຂົມ
bitter	ຂົມ
clove	ກ້ານພູ
particle	ເຈົ້າຂ້ານ້ອຍ
particle	ເຈົ້າຂະນ້ອຍ
who	ຜູ້ໃດ
thick	ໜາ
narrow	ແຄບ
child	ເດັກ
jug	ໄຫ
build	ກໍ່
buttocks	ກົ້ນ
waste time	ເສຍເວລາ
look after	ເບິ່ງແຍງ
mouse	ຊູລີ
velvet	ກຳມະຫຍີ່
spoon	ຊ້ອນ
ເຕົ້າ	ເຕົ້ານົມ
bad	ເລວ
fraction	ແຕ່ສ່ວນຫນຶ່ງ
develop	ພັດທະນາ
room	ສ້ວມ
news	ຂ່າວ
Inthavong	ອິນທະວົງ
Inthavong	ອິນທະວົງສ໌
butter	ເນີຍ
full	ອິ່ມ
saw	ເລື່ອຍ
plain	ທົ່ງ
day	ມື້
rabbit	ກະຕ່າຍ
bend over	ກົ້ມ
night	ຄ່ຳ
flower	ດອກ
melon	ແຕງ
deaf	ໜວກ
embrace	ກອດ
previous	ກ່ອນ
dream	ຝັນ
youtiao	ປາທ່ອງໂກ໋
Myanmar	ພຸກາມ
ethnic group	ຕອງສູ້
right angle	ມຸມສາກ
acute angle	ມຸມແຫຼມ
obtuse angle	ມຸມປ້ານ
obtuse angle	ມຸມຫວາ
papaya	ຫຸ່ງ
anime	ອະນິເມະ
breathe	ຫັນໃຈ
hunt	ລ່າ
tick	ເຫັບ
sailor	ກະລາສີ
independent	ເອກະລາດ
idea	ຄວາມຄຶດ
wave	ຄື່ນ
real	ຈິງ
enduring	ອົດທົນ
rainbow	ຮຸ້ງກິນນ້ຳ
fishing	ຕຶກເບັດ
turkey	ໄກ່ງວງ
caterpillar	ບົ້ງ
chair	ຕັ່ງອີ້
lung	ປອດ
draw	ແຕ້ມ
ແຂວງ	ຫົວພັນ
ແຂວງ	ສະຫວັນນະເຂດ
ແຂວງ	ອັດຕະປື
ແຂວງ	ບໍ່ແກ້ວ
ແຂວງ	ບໍລິຄຳໄຊ
ແຂວງ	ຄຳມ່ວນ
ແຂວງ	ຫຼວງນໍ້າທາ
ແຂວງ	ອຸດົມໄຊ
ແຂວງ	ຜົ້ງສາລີ
ແຂວງ	ໄຊຍະບູລີ
ແຂວງ	ເຊກອງ
ແຂວງ	ໄຊສົມບູນ
chain	ໂສ້
weapon	ອາວຸດ
steal	ຈີ້
vaccine	ວັກຊີນ
compass	ເຂັມທິດ
library	ຫໍສະມຸດ
ສິບ	ສິບສອງພັນນາ
eraser	ຢາງລຶບ
phrase	ວະລີ
squid	ຫມຶກ
squid	ປາອີ່ຮື
have	ປະສົງຮ້າຍ
wish	ຫວັງດີ
bear	ມຸ່ງຮ້າຍ
baozi	ກະ​ລາ​ເປົ໋າ
