dog	chien
marsh	mareis
hope	esperanche
increase	croistre
arrive	ariver
however	nepourquant
bring	aporter
cart	carre
Greek	Grezois
fitting	avenant
Greek	grezois
South Wales	Suhtwales
marl	marle
heresy	iresie
conquer	conquerre
spread out	espandre
ugly	hideus
knee	genoil
noisy	bruiant
remember	rapeler
walk around	pasmer
meet	encontrer
worried	angousseus
help	aidier
implore	plaidier
chivalry	chevalerie
type	buisine
have compassion	compleindre
cunfundu	cunfundre
lament	compleint
blood	sanc
better	meillur
weak	feble
remnant	remanant
whoever	quanque
egg	oef
lead	demener
giant	gaiant
forget	oblier
lamb	agniau
surely	chertainement
change	changier
madly	folement
a lot	biau cop
evade	eschaper
hurt	blecier
Angloise	Anglois
English	anglois
castle	chastelet
clearly	clerement
no	nenil
poverty	poverté
suffering	mesaise
diaeresis	escrier
counter-	contre-
age	aage
recognize	reconnoistre
heritage	eritage
blind	avugle
keep up	soustenir
tension	tenchon
doctor	surgien
disarm	desarmer
both	ambedeus
spear	espiet
joyous	joiant
take pleasure	joir
chainmail	osberc
jongleur	jangleor
treasure	tresor
noble	debonaire
desire	desirrer
feed	norrir
feed	nurrir
complain	conplaindre
remove	tolir
mouth	boche
this	ço
equipment	hernois
unhorse	deschevaler
look at	remirer
Welsh	galois
Welsh	Galois
kingdom	reaume
dryness	secheresce
day	jor
killing	ocision
heat	chalor
evil intention	mautalant
badly	mauveisement
perilous	perilleus
imposition	indiction
sixty	soissante
seventy	setante
eighty	uitante
eighty	oitante
hold back	refraindre
rob	rober
enough	asez
firstly	premierement
acquaintanceship	acointanche
grip	seisir
sigh	souspirer
hold up	sustenir
school	escole
bravely	fierement
Monday	lunsdi
loyalty	loiauté
King Arthur	roi Artur
bag	poket
bag	pouche
Englishman	Einglois
English	einglois
shape	façoner
describe	descrivre
fortress	forteresce
responder	respondeor
unite	alier
nigromancy	nigromancie
spice	espice
soften	adolcir
double	dobler
stay	sejorner
German	alemant
German	Alemant
insult	oltrage
please	esjoir
elated	esjoï
why	por quoi
hypocrisy	ypocrisie
acquire	aquerre
beaver	bievre
buy	porchacier
obtain	purchacer
heron	heiron
voice	voiz
eagle	egle
peaceful	peisible
suffer	doloir
rest	respit
enraged	irié
compete	estriver
young	juene
try	essaier
most of all	sor toz
prison	gaiole
singer	chantur
select	eslire
hardly	gaire
jury	juree
turbulent	troble
know	conoistre
want	revoloir
remember	resovenir
jouster	josteor
wet nurse	norrice
wet nurse	nurice
prove	esprover
prasine	prame
meeting	encontre
strive	professer
prepare	atorner
agreement	acordement
I don't speak	jeo ne parle mie
empress	empereriz
doctor	fisicien
people	pueple
house	estage
stand up	redrecier
return	retor
Jhesu Christ	Jhesu Christ
Jesus	Jhesu
small star	estoilete
light	legier
pursue	pursure
cold	froidure
example	essainple
gutter	goutiere
set free	delivrer
bandage	rebander
long time	lonc tans
anvil	anclume
Norman	Normant
Norman	normant
God	Seignor
Paradise	Paradis
joyous	joieus
deceive	decevoir
untie	deslier
deception	trecherie
cheat	trichier
be born	naistre
narrow	estroit
pretend	fauser
pledge	humage
orchard	vergier
increase	augmentacion
flower	florete
stand up	drecier
reputation	renomee
fee	raençon
bravery	hardiment
error	mesprison
become insane	forsener
nightingale	rosignol
alas	a las
insanity	forsenable
wife	espuse
forceful	impetueux
desirous	desirrous
real	verai
separate	esloignier
sweetness	douçour
choice	chois
shame	hontage
food	norriture
cold	froit
water	eaue
stream	ruissel
parleient	parloient
damnation	dampnation
bailiff	bailif
person	cestui
amuse	deporter
play	vieler
explain	deraisnier
ostrich	ostrige
bascinet	bacynet
Syria	Surie
marquis	marchis
flatterer	flateour
right	dreiture
refuse	escondire
journey	voiage
rancour	rancur
burning	ardur
menses	menstrues
outcry	clamur
fullness	plenté
torture	pener
condemn	condampner
rhyme	chançonete
brunette	brunete
wood	boschet
disloyalty	desloiauté
spring	printans
example	essamplaire
shameful	honteus
mill	molin
spy	espie
herd	herde
avaricious	avaricieux
resume	resumer
start	comencement
start	comencier
humbleness	humblesse
chastise	reprochier
dignity	digneté
opportunity	eise
brave	corageus
hunt	chace
hunter	chaceor
archer	archier
augment	acroistre
hundred	çant
borrow	prester
hire	loiier
light up	anluminer
chamber maid	chanberiere
require	vengeable
hauberk	hauberc
cut	taillier
shaped	taillié
mis-	mes-
redden	rogir
touch	tochier
lentil	lentille
red	roge
covered	ansanglanté
give birth	enfanter
swelling	enfleure
poorly	povrement
sergeant	serjant
sustenance	chevisance
call	espeler
blue	bloe
delivery	livreison
chest	peitrine
scare	angoissier
lie	mançonge
humpbacked	boçu
resting-place	giste
embrace	acoler
sixth	siste
vivify	vivifier
valiant	valeureux
eager	jalous
eager	gelus
blond	blont
crying	plor
cry	replorer
madden	afoler
bliaut	arjant
gain	gaaing
robbery	roberie
half	meitié
breakfast	desjeuner
time	foiz
sleep	somoil
gauging rod	jauge
evil	felunie
evil	felonie
journey	jornee
reach	ataindre
astray	esgarer
knowledge	conoissance
break	brisier
treat medically	medeciner
outside	defors
protector	wardein
lift	sozlever
help	secorre
stun	estoner
change direction	guenchir
give up	guerpir
touch	atochier
crevasse	crevace
concrete noun	-ace
Gascon	gascon
prepare	aprester
bow	umilier
humbleness	umilité
humble	umble
light up	alumer
privately	priveement
recover	recovrer
viscosity	viscosité
jump	assalir
dry	ressuiier
fabric	porpre
suspicion	sospeçon
simony	simonie
coward	coart
mean	senefier
break	quasser
feire sanblant	feire sanblant
shadow	onbre
round	reont
delivery	tradicion
please	abelir
city	citet
vicar	vicaire
miserable	pleintif
gonfalon	gonfanon
advantage	avancement
hit	ferir
gauntlet	gantelet
scabies	scabie
basin	bacin
guide	governer
Trojan	Troyen
pyramidal	piramidal
praetor	pretour
scissors	cisel
desire	abeance
desire	abeer
croup	crope
work	ovrer
work	manovrer
abbey	abaie
manual work	mainoevre
ask	enquerre
promise	prometre
hide	conceler
rebelieve	recroire
angry	marri
novelty	novelté
France	Fraunce
Frenchman	Fraunceis
cuckold	cucuault
however	nepurquant
flee	senfuir
fight	entrecombatre
combat	combatre
look for	encerchier
niece	nece
dismount	desmonter
mock	caviller
misfortune	mesaventure
misfortune	mescheaunce
once	unefoiz
secretly	privement
sacrifice	sacrifise
Cornish	Cornewaleys
sound	soner
nobly	noblement
fever	fievre
clothmaking	draperie
hamlet	hamelet
parchment	parchemin
invade	envair
flock	foulc
flock	fulc
mountain	muntaigne
about	envirun
thousand	milie
sin	pecchet
piece	nuvele
sixty	seisante
African	Affrican
below	suz
olive branch	branche d'olive
Christian	chrestien
especially	especialment
agreeable	agreable
army	armee
brownish	fauve
cover	incruster
please	agreer
assurance	guarantie
protect	guarantir
crash	hurter
navy	navie
garment	garnement
prayer	proiere
humanity	umanité
blond	bloi
disbelieve	mescroire
wrong	mesfaire
sin	mesfait
colorless	descoloré
doubt	doutance
sin	pechié
kiss one another	entrebaisier
sinner	pecheor
chapel	chapele
cliff	faloise
leader	meneor
rock	rochier
hurry	depecier
fear	esfroier
destroy	destruire
want	vuel
assure	acertener
bush	buison
dine	disner
woods	boschage
taste	goster
squire	escuier
around	arire
deer	dain
ambush	embuschement
ambush	embuschier
mie nuit	mie nuit
kid	chevrel
monk	moingne
extract	retraire
feebly	foiblement
regret	regreter
judge	jugier
come to an end	acomplir
troupe	barnage
sparrowhawk	esprevier
again	derechief
disrupt	destorber
stay	demorer
groan	gemissement
government	governement
depict	pourtreire
house	maisniee
youth	jovente
love	druerie
misfortune	meschief
well	bonement
Tuesday	marsdi
bottle	botele
so	atant
footwear	deschaucier
jewel	jouel
sanctuary	saintuaire
rebuke	rebuker
seal	seeler
nowhere	nule part
harpist	herpeor
prefer	preferer
provide	fornir
promise	afier
underground	sousterin
dark	oscur
cellar	celier
leg	ganbete
cow	buef
lover	ameor
kill one another	entrocire
merchant	merceant
according	sulunc
letter	letre
writing	escriture
brave	pruz
kingdom	reialme
always	tuz jurs
traduce	mesparler
love	amur
bush	buissun
injure	nafrer
fate	destinee
treatment	guarisun
poison	poisun
allow	laissier
cliff	faleise
equip	aparillier
excessiveness	desmesure
excessively	a desmesure
keep	dungun
thick	espés
boat	batel
otherwise	altrement
anxious	anguissous
dearness	chierté
appropriate	covenable
debauchery	lecherie
suit	covenir
stay	remeindre
defy	desfier
nobleness	noblesce
forgottenness	ubliance
maintain	meintenir
hair	chevel
richness	richesce
request	requeste
above	haltement
comfort	cunfort
comfort	cunforter
need	buisun
murder	murdrir
bathe	baignier
hot	chalt
scald	eschalder
suddenly	sudeinement
bark	abaier
fiz Marie	fiz Marie
time	feiz
heat	eschalfer
week	semeine
look like	resembler
detach	descupler
advise against	descunseillier
walk	esbaneier
spark	estencele
goodness	bunté
shame	honir
defend	defendre
dishonor	deshonur
quarrel	estrif
spend	despenser
kill	mortifier
love one another	entramer
suffering	sufrance
medicine	medecine
humbly	humblement
palfrey	palefrei
tear	lerme
crying	plur
sigh	suspir
river	flum
creator	creatur
descent	descension
irritate	desplaire
nightingale	austic
pleasing	plaisible
enwrap	envoluper
comfort	recunforter
young man	bacheler
custom	custume
Southampton	Suhttamptune
renowned	renumé
Englishman	Engleis
satisfy	satisfier
desire	volunté
better	mielz
wretch	chaitivel
knife	cultel
separate	desevrer
arm	apareillier
town	burc
hurt	damagier
load	chargier
worry	esfrei
monk	moigne
lamb	aignel
length	lungur
fox	gupil
largeness	grandur
personal	personel
honor	curtesie
hunting	venerie
solemn	solempne
reputation	renoun
book	livere
as well	ausi
discuss	discusser
desire	desir
charm	enchantement
misunderstand	mesprendre
serve	deservir
form	enfourmer
wish	sohait
wish	sohaidier
goat	chievre
as soon as	sitost
enraged	irous
Friday	venresdi
horrible	orible
jeweller	joelier
differ	differer
remember	membrer
almoner	aumosnier
misdeed	offens
potter	poterie
preach	prechier
prisoner	prisonier
summons	sumunse
appear	aparoir
fight	bataillier
chaplain	chapelain
deny	renoier
promise	sairement
take in	osteler
delight	delitier
hemisphere	emisphere
stretch	estendre
appearance	aparance
appearance	aparence
court	corteis
strain	estreindre
put at ease	aisier
compass	compasser
teach	comprehender
arrange	arangier
circumference	circonference
distress	destresce
collar	coler
try	esforcier
invalid	anuller
pastry	pastaierie
grate	rasper
appear	apareir
pick grape	graper
impose	condicioner
money	monoie
rebound	redunder
towel	toaille
belly button	nonbril
crossroads	quarrefor
murder	murtre
murderer	murtrier
rein	resne
fur	forreure
follow	sivre
consider	mediter
save	lucrer
distress	destrecier
trouble	trobler
pierce	espeer
Easter	pascor
give one another	antredoner
banneret	baneret
put on	afubler
remove clothing	desafubler
charret	charrete
painful	penus
hidden store	muce
archangel	archangele
muscle	muscule
muscle	lacerte
swift	ignel
hastily	isnelement
here	ceanz
tomb	tonbe
cemetery	cemetire
side	costoier
weigh down	grever
at ease	a eise
evoke desire	atalanter
knowledge	escience
sail	nagier
desire	covoitier
vassaldom	servage
educated	apris
doubt	dubitation
far	loing
chive	cive
belly	vantre
fear	freor
pull off	arachier
disloyal	desleal
birth	nacion
piteous	piteus
honorable	enorable
herein	iluec
threaten	menacier
better	mialz
complaint	complaignement
put	entremetre
joyously	lieement
passage	passeor
below	desous
under	desus
ointment	oignemant
set free	desprisoner
comfort	reconfort
relic	relique
bed	recouchier
lamp	lanpe
cover	ansanglanter
infuriate	correcier
bigger	graindre
bigger	graignor
highness	hautece
carpenter	charpantier
square	quarré
wise	resnable
suddenly	soudainnemant
imprison	anprisoner
covertly	celeemant
cunt	landie
Anglo-Norman	cercer
action	operacion
birth	naisance
disinherit	deseriter
writing	escripture
spirit	espirit
provisions	vitaile
receive	receivre
why	pur quei
highness	haltece
fountain	funtaine
equal	igal
dive	plongier
competition	ahatine
float	floter
waterway	ewage
bewail	dementer
water	eigue
cold	freid
deep	profont
jurisdiction	bandon
sack	sacel
Thursday	jusdi
Saturday	samadi
verdict	juise
excessive	outragier
escape	eschiver
excessive	outrageus
excessiveness	outragement
gain	aquest
bumblebee	bordon
camel	chamel
wheat	furment
worm	verm
spur	esperon
writer	escrivain
verdant	verdeant
know	antresavoir
impoverish	apovrir
dub	adober
pick	coillir
armpit	eissele
skinny	meigre
female innkeeper	ostesce
pillow	orellier
hate	antrehair
painfully	dolereusemant
knowledge	escient
knowingly	esciemment
report	relacioun
immediately	eneslepas
truncheon	bastonet
forge	forgier
delightful	delitable
unlucky	mesavantureus
cousin	cosin
fish	peschier
ornament	ornement
anoint	enoindre
injury	bleceure
soon	prochenement
apostle	apostre
search	enqueste
tournament	tornoi
merchandise	marcheandise
misery	maleurté
welcome	conjoir
praise	aorer
entirely	entierement
sovereign	soverain
discourage	deshaitier
decorated	acesmé
decorate	acesmer
trachea	chenole
now	huimés
action	faiture
abstain	surseoir
stallion	roncin
spur	esperoner
barrel	tonel
wimple	guimple
deliver	baillier
dance	dancier
branch	raim
poet	poete
whisper	runer
doubt	dubitacion
run	randir
venom	venim
remnant	remenant
set up camp	herbergier
friend	compaignon
banishment	forban
win	gaigner
church	eglise
truce	asseurance
renew	renover
assure	asseurer
profoundly	parfondement
hit	fraper
fall	tumber
detach	destachier
Apostle	apostole
ruunz	ruunt
enemy	enemi
foam	escume
dribble	escumer
mustard	moustarde
must	moust
prophecize	prophetizer
graze	paistre
eat	repaistre
devour	devorer
cushion	coissin
joy	resverie
game	medlee
mixed	medlé
mixture	meslage
evacuate	evacuer
each	cadhuna
play	joer
play	juer
salvation	salvament
get used	acoustumer
bag	escharpe
reduce	reduire
sadness	tristor
sick	vomissement
separate	sevrer
obstacle	empeschement
pilgrim	pelerin
penetrate	penetrer
feeble	endeble
conquer	conquester
cherub	cherubin
smell	odorer
adorn	aorner
merit	meriter
really	veraiement
fatigue	fatigation
in love	amoreus
announce	anoncier
abbess	abeesse
Hell	abisme
apprentice	aprentis
smack	baffe
buckle	bocle
brushwood	broce
put back	remetre
tremble	trambler
person	persoune
treat	treter
sulphur	sulfre
record	recordour
plunderer	pilour
marshal	marescal
rein	reyne
fat	grece
jealousy	gelusie
obey	obeir
smell	resentir
nut	nois
desloial	desloial
garble	garbeler
unpleasant	desagreer
sadden	descomforter
disfigure	desfigurer
deny	desprover
call upon	desclamer
scholar	doctur
count	acunte
belonging	apurtenance
oisel de proie	oisel de proie
cloister	cloistre
chief	chevetaine
school pupil	escoler
job	mestier
discord	descorde
complaint	complainte
scorpion	escorpion
crucify	crucefier
nymph	nimphe
rain	plovoir
time	sojor
spend	sojorner
finish	achevement
February	fevrier
sugar	çucre
Camelot	Camaalot
chimney	cheminee
punishment	chastiement
spit	crachier
blister	blostre
increase	creue
damp	moiste
minister	menistre
Scripture	Escriture
prophecy	prophetie
suffering	soffrance
fox	renart
roast	rostir
curfew	coeverfu
congregation	congregacion
freshly	freschement
market	marchié
strangle	estrangler
strangulation	estranglement
hit	esbatre
human	umain
pilgrimage	pelerinage
prophet	prophete
destruction	destrucion
show	demoustrer
clothing	vesteure
admit	geir
Wednesday	mescredi
society	societé
Egyptian	Egyptien
worker	ovrier
attract	atraire
intention	entencion
vessel	vaissel
prayer	oroison
Orient	oriant
God willing	se Dex me gart
Hebrew	ebrieu
drunk	yvre
boiling	boillant
hateful	haineus
blessing	beneison
walk	marchier
traduce	mesdire
spiritual	esperitable
darkness	oscurté
torment	asproier
shake	fremir
rediscover	redescovrir
Sunday	diemenche
ointment	oignement
cumin	coumin
mackerel	maquerel
warm up	reschauffer
rot	porrir
prelate	prelat
Heaven	paradiz
youth	jonesce
ignorance	nonsavoir
heat	chaufer
problem	tribulacion
alabaster	alabastre
university	universitei
harden	hardir
cradle	bersuel
knight	conroi
incarnation	incarnacion
journey	procés
pell-mell	pesle-mesle
gluttony	gloutenie
young girl	pucelete
chemise	chainse
ruse	guische
chambermaid	chamberiere
canonize	saintefier
marchioness	marchise
obedience	obediance
labor	labur
devotion	devocion
agreement	acort
disagreement	descort
laud	conlauder
smoke	fumee
disease	desaise
crust	croster
thought	pensee
painful	apaisier
apparent	aparent
lament	gaimenter
beech	fau
spiritual	esperitel
floating	flotant
Easter	pasques
doit de pié	doit de pié
chain	enchaigner
faithful	fedeil
treasurer	tresorer
warhorse	destrer
news	nuveles
leather	quir
stepfather	parastre
investigate	enquester
martyrdom	martirie
pride	fiertet
glutton	glutun
spur	esperun
half	meitiet
lung	pulmun
common	cumun
truncheon	trunçun
household	maisnee
together	cumunement
murder	murdrie
amethyst	ametiste
dark	tenebrus
until	josque
behind	derere
discolored	desculuret
this	icest
this	icel
Anglo-Norman	recercer
willingly	volenters
confusion	confusiun
knee	genoill
chivalrous	chevalerus
ocean	occean
affliction	afflictiun
seventh	sedme
eighth	oidme
ninth	noefme
exchange	entreduner
Dane	Daneis
vassal	vassalment
good man	produme
killing	ocisiun
hunting dog	veltre
evening	vespre
evening	vespree
lance	hanste
gonfalon	gunfanun
break	derumpre
ringmail	bronie
interrupt	interpoler
first-person plural present indicative	-omes
send	trametre
announce	descrier
forgottenness	obliance
much	a plenté
Normandy	Normendie
Denmark	Danemarche
interpretation	interpretacion
hardly	a paine
promise	prametre
guarantee	graanter
cruelty	crualté
combattant	cumbateor
gather up	recoillir
weakness	fiebleté
celebration	conrei
enclosed area	closture
marry	espuser
break	fraindre
abbot	abé
convent	covent
hair	cheveul
kill	escerveler
sui anglois	sui anglois
sui angloise	sui angloise
canal	canel
channel	chenel
surprise	sorprendre
blessing	beneichon
weaken	afeblir
bunch	trosel
return	repairement
promise	pramesse
enclose	enclore
assembly	asemblee
marjoram	majorane
starve	afamer
frustrate	marrir
escort	conveier
evil intention	mautalent
pride	bobans
over	ultre
booty	preie
hunter	venour
ewe	berbiz
goose	oue
shape	retaillier
cemetery	cemetiere
scare	esfreer
shiver	friçon
gutter	gutiere
chaplain	capelain
club	machue
drunkenness	ivresce
power	poesté
pierce	percier
shepherd	pastur
go home	repairier
dez ke	dez ke
tell	racunter
aveir chier	aveir chier
arrow	saete
avoir chier	avoir chier
doctor	fisician
waiver	weyver
Charlemagne	Karlemaigne
gonfanon	penun
Jersey	Gersui
undress	defubler
between them	entrels
soldier	soldeier
tenir chier	tenir chier
basket	bascat
to the best of one's knowledge	al sien escient
clergy	clergie
storm	estormir
die	perir
disinheritance	deseriteisun
assault	asalt
splendor	resplendor
satisfaction	satisfacion
carnally	charnelment
letter	semunse
minster	mostier
Pope	Apostoile
sixty	sesante
plover	plovier
pencel	penuncel
advance	avancier
nine	nof
face	viaire
deceiver	engigneor
Hastings	Hastingues
anchor	aanchrer
land	acoster
unload	deschargier
weight	pesance
ancestry	ancessorie
threat	manace
offend	laidir
survey	sorveir
Northumberland	Northonblonde
trickery	engignement
act	coarder
excommunicate	escumengier
worry	crieme
see one another	entreveoir
crush	croissir
lavender	lavendre
addition	adition
England	Engleterre
allegiance	feelté
vaunter	vanteor
small boat	nacele
know	assaveir
scabbard	escalberc
convict	convicter
absolve	assoiler
search	assercher
both	ambe
joyously	joiosement
game	gieu
after	poiz
giving birth	gesine
dispute	plaissier
consent	greer
reinforce	resforcier
nobody	nesun
einsnes	ainznez
watch	agaitier
trickery	tricerie
Caen	Caameiz
Le Mans	Mansel
fructify	fructefier
passage	revolucion
curse	maleir
spend	despendre
run	acorre
claim	pretendre
small bag	sachel
fall asleep	adormir
gravel	gravele
male	masle
obedience	obeissance
mutilation	meshaing
memory	memoire
offer	ofrir
artery	artere
confirm	confermer
fast	jeuner
theologian	theologien
hyena	hyene
aim	pourpos
aim	purpos
descend	condescendre
captivity	caitivison
Italy	Itaire
Greek	grigois
pass	trespas
rescue	socore
ambush	embuscement
Greek	Griu
goddess	deuesse
orphan	orfenin
wise	sené
work	ovraige
tell	aconter
hidden	celeement
educate	doctriner
underground	sosterin
hide	cacier
eldest	aisné
agree	entracorder
flute	doucine
youth	juenesce
oldness	viellece
pain	mariment
destruction	destruiment
armpit	essele
breast	mamele
tank	cuve
forget	entroublier
help	socor
adversary	aversaire
height	hautor
press	destraindre
election	eslection
younger	jovenor
citizen	citeien
first	primerain
game	geu
engender	engenrer
multiply	monteplier
region	regiun
threaten one another	entremanecier
Brittany	Cornuaille
fifteen	quinse
smile	sosrire
plentiful	plenteif
equipment	aparillement
knife	cotel
priory	priorie
menor Bretaigne	menor Bretaigne
small boat	navele
sure	asseur
allow	creanter
give up	surrendre
pond	estanc
interpret	entepreter
covetous	entalenté
cornered	en anglé
on top of	desos
hand	maneuvre
sign	senefiance
charter	chartre
virtuous	vertuos
progress	progrés
return	vertir
crying	plorement
pagan	paien
largeness	grandor
longness	longor
Round Table	Roonde Table
Norway	Norgege
summon	semondre
storyteller	conteor
storyteller	fableor
hit one another	entreferir
offer	poroffrir
four	qatre
South Wales	Sugales
hazard	hasart
chess	eschas
always	tostans
anchor	aencrer
gisarme	guisarme
cause	ensanglenter
castle	castelet
shamefully	hontosement
shameful	huntus
mouth	engoler
runner	coreor
military officer	conestable
cut up	detrancier
evil	vilanie
spark	estinceler
page	pagene
younger	joneor
surpass	sormonter
set alight	enflamer
African	Aufrican
cultivate	coltiver
add	ajoster
subjection	subjesion
sickness	enferté
lying	mendios
shroud	hoben
reincrease	recrestre
feudal	feodal
undertake	emprendre
female	femele
herald	heraud
before	ains
medicinal	medicinable
relate	aferir
decorate sphere	pomel
encourage	encoragier
separate	removoir
liquid	licour
anger	iror
presume	presumer
single	sengle
create	engignier
stop	arestaige
Le Mans	Mancel
emperor	empereor
folly	folaige
angry	corus
winch	windas
limb	menbre
unite against	contralier
heir	iretier
chess	eschés
judge	justicier
virgin	virgene
radiate	raier
gonfalon	confanon
fervency	fervence
remove chainmail	desmaillier
-ation	-acion
security	secorance
ongle del pié	ongle del pié
judge	droiturier
blade	branc
old man	viellart
walk	pormener
break	desrompre
increase	engraignier
exile	essil
ains que	ains que
poor	cuivert
fall	trebuchier
fall	escheoir
nail	ungle
enrage	enragier
pres de	pres de
wish	vut
chagrin	grevance
evil act	maufait
left	senestrier
complain	hargnier
philosophy	phylosophie
procurator	procuratour
protector	protectour
successor	successour
let	laire
hilt	heut
conspirator	conspiratour
glimmer	resplendir
secondly	secondement
revenge	vengement
wait around	atargier
lead away	enmener
Normandy	Normaundie
destroy	desconfire
address	araisnier
Sunday	diemanche
straight	estroitement
cut up	detrenchier
stop	arestison
ha	hahi
delay	delaiement
put	troer
wife	mollier
accuser	accusour
defender	defendour
lessor	lessour
offender	offendour
until	dusqu'a
abbot	abbet
charnel conpaingnie	charnel conpaingnie
prioress	prioresse
cotton	cotoun
birch	boul
snow	negier
flattery	losengerie
thought	pencer
hug one another	entrabrasser
pregnant	ensainte
give birth	acouchier
around	entor
mucus	reume
hard	roit
rabbit	connil
carrion	caroigne
cleansing	mundification
lyric poet	troveor
exhibition	exhibicion
excuse	escusement
cargo	lastage
mouth	engouler
chest	piz
bite	remordre
damn	dampner
drowsiness	dorveille
round cake	gastel
river	flotage
division	parçon
coholder	parçonier
extract	estraire
parcener	parçonneour
delight	delit
beer	cervoise
link	liage
tan	taner
spaulder	espauliere
death	deces
foreigner	estrangier
towards	devers
stretcher	portoir
dispute	desputoison
bread	paneterie
middle	moien
care	soing
bag	puche
appear	paroistre
hereditary	hereditaire
direct	duire
queen	royne
rule	reule
extinguish	esteindre
enlarge	eslargir
flute	fleute
piety	pieté
envenom	envenimer
income	esploit
useful	esploitable
paralysis	paralisie
condition	condicion
debauchery	putage
advantageous	avantageus
apple tree	pumier
finish	chevir
clean	forbir
coverte de baron	coverte de baron
gambol	fringuer
vixen	goupille
ignominious	ignominieux
thicken	espessir
changeable	muable
agist	agister
cuirass	cuirace
make	cuiracer
fasting	jeun
usurer	usurier
utility	utilitet
defence	garison
snake	wivre
vowel	voyeul
shady	ombrage
visible	voiable
cucumber	cocombre
pessary	pessaire
procreation	generacion
small table	tablete
disarrange	desrengier
plurality	pluralité
Westminster	Westmynster
tournament	tornoiement
fall	tumberel
tent	tialz
sustenance	sustentacion
oversee	sourveoir
sirloin	surlonge
supernal	supernel
enough	souffisance
memory	souvenance
seller	marcheant
smile	sourrire
mend	ravauder
dirty	souillier
emblem	segnal
sycamore	sicamor
follow	segonder
breathing	alaine
salty	saumastre
wisely	sapientement
beehive	rusche
Turkish	turquois
fold	reploier
rampart	rampar
refresh	refreschir
boil	draoncle
suppurate	draoncler
remove forcefully	ragier
procreation	procreacion
say out loud	proferer
anticipate	preveoir
procession	pourciession
premise	premisse
poulterer	pouletier
purparty	porpartie
leek	poree
contents	contenz
small bag	pochete
pigeon	pyjon
pilgrimage	peregrinacion
pestle	pestel
request	peticiun
penitent	peneant
rent	panssion
foot	pade
paten	patene
Holy Spirit	paraclit
breathe	pantoisier
parrot	papegai
whiteness	blanchor
orphan	orfelin
shining copper blade	oripel
oriflamme	oriflambe
arithmetic	arismetique
theme	tesme
nest	nigier
fast	ravinos
painful	dolerous
Cîteaux	Cistials
Paris	Costantinople
as	si com
mysterious	mistique
mirror	mireor
midday	meriene
guard dog	mastin
remove	desmanteler
male wild duck	mallart
titmouse	mesenge
lure	loirre
logic	logike
sheet	linçuel
trim	lisiere
lemon	lymon
leopard	lepart
washerwoman	lavandiere
small lance	lancete
give	giveer
long	javelline
join	jointif
boot	huese
barrier	hourt
marriage	husbondrie
ambling mare	haquenee
pommes d'orenge	pommes d'orenge
incredulity	incredulité
inhabit	enhabiter
support	bouteret
gown	gowne
butler	butiller
baker	bolengier
wasp	guespe
Satan	perdiciun
bib	baviere
biscuit	bescuit
visit	revisiter
payment	guerredon
grayish	grisel
grammar	gramaire
governor	gouvreneur
throat	goitron
goblet	gobellet
gizzard	gesier
gyrfalcon	gerfault
looting	gastine
galangal	galingal
fall out	cheoir
action	aucion
cupping glass	ventuse
trick	barater
tin	estain
spurt	sourdre
acquit	alegier
fringe	frenge
animal fodder	fourage
fontanelle	fontenelle
flint	foisil
maddened	forsené
stab	foene
phlegm	fleume
phlebotomy	flebothomie
flan	flaon
withered	flaistre
knock over	flatir
smell	flairier
firewood	fouaille
feudal	forfaiture
hay	fuerre
parchment	filatiere
pheasant	fesan
Saracen	sarrazin
untamed	faroche
faineant	fay neant
Evangelist	evangeliste
stirrup	estrier
disappear	esvanir
staunch	estanchier
stallion	estalon
stanchion	estanchon
stay	estance
marketplace	estaple
witness	espurge
foam	espumer
bushel	setier
husband	espos
peel	peluchier
pill	pillule
spleen	esplen
pillage	espoillier
emerald	esmeralde
enamel	esmal
jump	eslan
Jewdom	juerie
payment	solucion
fear	esfroi
sturgeon	estorjoun
debark	escorcier
bark	escorce
apple orchard	pomeroie
epitaph	epitafe
epistle	epistre
Epiphany	epyphanie
hope	esperer
drunkenness	iveresce
furnace	fornais
furnace	fornaz
ink	enque
guts	entraille
furnace	fornaise
furnace	forneise
trans-	tres-
lean	encliner
therefore	donkes
blossom	floureter
small flower	flouret
dram	dragme
musical instrument	doulcemelle
softness	dolçor
detriment	detriement
devourer	devoreor
devouress	devoureresse
divide	dessevrer
unpleasant	desplaisant
unknot	desnoer
decrease	descreistre
rage	desverie
corporal punishment	descipline
damage	damnifier
sculpt	deboissier
break	debrisier
announce	denuncier
loss	defraudement
lack	defaute
creak	criquer
pillage	embler
suffer	traveillier
however	touteffois
victory	vainquement
chamfron	chanfrain
really	voirement
female lover	amiette
spread	espardre
curdle	coaillier
encourage	enorter
funeral	obseque
load	enchargier
battle	estor
signal	guignier
increase	creseance
cream	cresme
seller	vendeor
hedgehog	heriçun
covenant	covant
double-edged sword	coustille
custrel	coustillier
cut-over woods	copeiz
testicle	coillon
next to	delez
squirrel	escurel
nominatif case	nominatif case
genitif case	genitif case
ablatif case	ablatif case
plural	plurel
singular	singuler
imperative	imperatif
subjunctive	optatif
sell	entremarchander
counterbalance	contrepeser
counterbalance	contrepois
knowing	conoissant
protection	garantison
singer	chanteor
communication	communicacion
welcome	acoil
basket	cofin
weakness	feblesce
provide	aprovender
cockatrice	cocatriz
crocodile	cocodril
