dog	犬
샘	泌
륵	泐
law	法
범	泛
령	泠
bubble	泡
wave	波
니	泥
pour	注
weep	泫
melt	泮
泰拳	泰
dive	泳
foolish	洄
바다	洋
렬	洌
wash	洗
락	洛
ferry	津
설	洩
cleanse	洮
continent	洲
순	洵
activity	活
pool	洼
faction	派
오	洿
류	流
물	浌
wash	浣
estuary	浦
great	浩
랑	浪
리	浬
float	浮
bathing	浴
sea	海
soak	浸
besmirch	浼
black	涅
disappear	消
리	涖
shore	涯
liquid	液
물	涴
량	涼
림	淋
숙	淑
뇨	淖
루	淚
송	淞
clean	淡
록	淥
릉	淩
륜	淪
deep	深
순	淳
abyss	淵
래	淶
clear	淸
엄	淹
천	淺
add	添
갈	渇
섭	渉
scatter	渙
shore	渚
reduction	減
설	渫
harbour	港
thirsty	渴
clear	渽
muddy	渾
turbulent	湃
련	湅
wash	湔
lake	湖
강	湘
담	湛
원	湲
치	湽
원	源
류	溜
부	溥
률	溧
stream	溪
warm	溫
소	溯
구름	滃
destroy	滅
로	滷
riverbank	滸
full	滿
고기	漁
float	漂
록	漉
루	漏
리	漓
performance	演
soak	漚
망	漭
점	漸
최	漼
강	潁
땅	潃
sandbank	潏
sprinkle	潑
clean	潔
집	潗
반	潘
로	潞
pool	潢
륜	潤
료	潦
tide	潮
보	潽
린	潾
물	澈
산골	澗
름	澟
례	澧
오	澳
담	澹
muddy	濁
렴	濂
雪濃湯	濃
Buyeo	濊
녕	濘
relieve	濟
waves	濤
spread out	濩
람	濫
려	濾
물	瀅
ditch	瀆
leak	瀉
류	瀏
폭	瀑
로	瀘
sea	瀛
력	瀝
뢰	瀨
뢰	瀬
렴	瀲
boil	瀹
란	瀾
pour	灌
새	灑
란	灓
shoal	灘
bay	灣
ashes	灰
뜸	灸
작	灼
disaster	災
계	炅
로	炉
flame	炎
hypocaust	炕
light	炚
light	炛
소	炤
shine	炫
charcoal	炭
roast	炰
bright	炳
point	点
효	烋
락	烙
rise	烝
smoke	烟
steam up	焄
burn	焚
temper	焠
nothing	無
흔	焮
flame	焰
휘	煇
련	煉
crimson	煒
bright	煕
warm	煖
smoke	煙
욱	煜
fry	煠
soot	煤
shining	煥
kind	煦
illuminate	照
embers	煨
fan	煽
extinguish	熄
charcoal	熅
효	熇
bright	熈
bear	熊
lamplight	熒
blaze	熛
iron	熨
fever	熱
shine	燁
burn	燃
lamp	燈
scorch	燋
료	燎
burn	燒
encampment	營
dry	燥
blaze	燬
harmonize	燮
fire	燹
로	爐
란	爛
nail	爪
dispute	爭
therefore	爰
do	爲
refreshing	爽
평상	牀
tablet	牌
tablet	牓
molar	牙
prop up	牚
cow	牛
뢰	牢
teem	牣
herd	牧
thing	物
special	特
rhinoceros	犀
리	犁
flee	犇
락	犖
희	犧
run	犮
violate	犯
장	状
wildcat	狌
fox	狐
monkey	狙
오소리	狢
리	狸
랑	狼
회오리바람	猋
개	猑
의	猗
jealousy	猜
monkey	猱
monkey	猴
crafty	猾
ape	猿
lion	獅
roe deer	獐
린	獜
료	獠
hide	獤
obstinacy	獧
alone	獨
회	獪
녕	獰
수달	獱
획	獲
렵	獵
bestiality	獸
otter	獺
헌	獻
monkey	獼
오랑캐	玁
원숭이	玃
로	玈
jade	玉
king	王
jade	玗
각	玨
play	玩
옥	玲
가	珈
jade	珉
減價	珍
각	珏
락	珞
pearl	珠
은	珢
earring	珥
ornaments	珩
group	班
appear	現
선	琁
ball	球
랑	琅
리	理
류	琉
strange	琦
gem	琨
림	琳
금	琴
beautiful	琿
모	瑁
gem	瑗
옥	瑜
auspicious	瑞
유리	瑠
bright	瑩
랑	瑯
extraordinary	瑰
earmuffs	瑱
리	璃
jade	璆
련	璉
로	璐
emerald	璘
jade	璧
ring	環
royal	璽
롱	瓏
cucumber	瓜
roof tile	瓦
령	瓴
bottle	瓶
단지	瓿
bottle	甁
견	甄
리	甅
bowl	甌
considerably	甚
raw	生
born	產
born	産
use	用
녕	甯
cultivated	田
cause	由
첫째	甲
extend	申
man	男
전	甸
ridge	町
견	甽
재	甾
give	畀
plow	畊
전	畑
Silla	畓
stay	留
축	畜
무	畝
전	畠
략	畧
farmer	畯
appropriate	當
boundary	畺
뢰	畾
area	畿
furrow	疇
필	疋
의	疑
scabies	疥
childhood	疳
illness	疾
humpback	痀
전	痊
scar	痕
천연두	痘
앓다	痡
림	痳
chronic	痼
앓을	瘏
류	瘤
thin	瘦
생인손	瘭
라	瘰
recover	瘳
루	瘻
료	療
륭	癃
로	癆
cancer	癌
habit	癖
려	癘
력	癧
라	癩
swelling	癭
thin	癯
go up	登
shoot	發
-ive	的
flowers	皅
highland	皋
highland	皐
white	皜
파	皤
skin	皮
dish	皿
배	盃
small	盅
gain	益
동이	盎
cover	盖
prosper	盛
thief	盜
exhaust	盡
supervision	監
소반	盤
salt	盬
eye	目
look up	盱
blind	盲
straight	直
look	盼
shield	盾
stare	眈
eyebrow	眉
truth	眞
wink	眨
현	眩
wink	眴
look at	眺
eye	眼
arriving	着
bright	睆
leer	睊
goggle-eyed	睍
look at	睎
pupil	睛
pupil	睜
sleeping	睡
gaze	睢
supervise	督
큰	睴
squint	睽
dim	瞀
밝지	瞈
blind	瞍
경	瞏
명	瞑
deceive	瞞
당	瞠
suddenly	瞥
wink	瞬
료	瞭
watch	瞯
watch	瞰
pupil	瞳
clouded	瞹
첨	瞻
eyelid	瞼
frown	矉
spear	矛
긍	矜
spear	矠
arrow	矢
know	知
후	矦
short	短
stone	石
stone	矻
arsenic	砒
grinding	研
라	砢
립	砬
cannon	砲
cinnabar	硃
grinding	硏
랑	硠
barren	确
붕	硼
정	碇
록	碌
obstruct	碍
shred	碎
bowl	碗
갈	碣
blue-green	碧
년	碾
뢰	磊
전	磌
렴	磏
bump	磕
뇨	磠
pebble	磧
린	磷
반	磻
reef	礁
cornerstone	礎
광	礦
뢰	礧
려	礪
력	礫
롱	礱
show	示
company	社
기	祇
grandfather	祖
shiver	祛
wish	祝
니	祢
check	票
제	祭
green	祿
품	禀
prohibition	禁
Zen	禅
sacrifice	禋
fortune	福
제	禔
ancient	禖
Zen	禪
례도	禮
pray	禱
성씨	禹
리	离
rice	禾
Bald	禿
outstanding	秀
private	私
년	秊
sort	科
SI	秒
령	秢
저울	秤
Qin	秦
출	秫
straw	秸
change	移
랑	稂
tax	稅
darnels	稊
세	税
임	稔
infantile	稚
릉	稜
품	稟
조	稠
짚고갱이	稭
work	稼
examine	稽
곡	穀
infantile	穉
적	積
comfortable	穏
동	穜
luxuriant	穠
farm	穡
peaceful	穩
rice	穰
구멍	穴
examine	究
sky	穹
put on	穿
dash	突
로	窂
질	窒
window	窓
embarrassed	窘
cave	窟
nest	窠
nest	窩
wickets	窬
